sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
CCC1(CCC(=O)NC1=O)C=2C=CC(=CC2)NC(=O)CCl,Z1562128936,308.76,308.76,1.625,-2.98,2,3,75.27,4
CN1C(=O)C=2C=CC=CC2C1CNC(=O)CCl,Z3217401097,252.697,252.697,0.883,-2.745,1,2,49.41,3
C=CC(=O)NC=1C=C(C=CC1O)C(=O)NCC2C=3C=CC=CC3C(=O)N2C,Z3756883297,365.383,365.383,1.267,-4.392,3,4,98.74,7
O=C(CCl)NCC(NC(=O)C1=CC=CC=2CNC(=O)C12)C3CCCCC3,Z4425210623,377.866,377.866,2.463,-5.099,3,3,87.3,8
C=C(F)C(=O)NCC=1C=CC=C(C1)C(=O)NC2CCC(=O)NC2=O,Z5081780520,333.315,333.315,-0.196,-3.193,3,4,104.37,7
C=C(F)C(=O)N1CCC(CC1)C(=O)NC=2C=CC=3C(=O)NC(=O)C3C2,Z5082194970,345.326,345.326,0.748,-3.638,2,4,95.58,5
CN1C(=O)C2=CC=CC(NC(=O)CCl)=C2C1=O,Z6574119435,252.654,252.654,1.615,-3.108,1,3,66.48,3
O=C(CCl)NCCN1C(=O)C2=CC=CC=C2C1=O,Z1562128964,266.68,266.68,1.22,-3.297,1,3,66.48,5
O=C(CCl)NC=1C=CC=C2CNC(=O)C12,Z1562121686,224.644,224.644,0.763,-2.214,2,2,58.2,3
C=CC(=O)NC=1C=C(C=CC1F)NC(=O)C=2C=CC=3C(=O)N(C)C(=O)C3C2,Z1410272264,367.331,367.331,1.577,-5.509,2,4,95.58,6
CC=CC(=O)NC1=CC=CC=2C(=O)N(CC12)C3CCC(=O)NC3=O,Z3055835345,327.335,327.335,0.577,-3.592,2,4,95.58,3
CC1(C)OB(OC1(C)C)C=2C=CC=C3C(=O)N(CC23)C4CCC(=O)NC4=O,Z3660953199,370.208,370.208,1.833,-3.864,1,5,84.94,2
O=C(CCl)NN1CC=2C=CC=CC2C1=O,Z3766261884,224.644,224.644,0.922,-2.889,1,2,49.41,3
O=C(CCl)NCC1=CC=CC(=C1)C(=O)NC2CCC(=O)NC2=O,Z4425210232,337.758,337.758,-0.371,-2.881,3,4,104.37,7
O=C(CCl)NC=1C=CC=C(C1)NC2CCC(=O)NC2=O,Z4762760238,295.722,295.722,0.371,-2.683,3,4,87.3,5
C=CC(=O)N(CC=1C(C)=CC=CC1C)C=2C=CC=C3C(=O)NCC23,Z4874246971,320.386,320.386,3.633,-5.219,1,2,49.41,4
C=C(F)C(=O)NCC=1C=CC=2C(=O)N(C(=O)C2C1)C3CCC(=O)NC3=O,Z5112166533,359.309,359.309,0.124,-3.746,2,5,112.65,5
CN1C(=O)C=2C=CC(=CC2C1=O)NC(=O)CCl,Z147647196,252.654,252.654,1.615,-3.13,1,3,66.48,2
N#CC(=CC=1C=CC(Cl)=CC1)C(=O)NC=2C=CC=C3C(=O)NC(=O)C23,Z56593132,351.744,351.744,3.031,-5.52,2,4,99.06,4
N#CC1(CCCCC1)NC(=O)CC2=CC(=O)NC(=O)N2,Z203703868,276.292,276.292,-0.984,-3.158,3,4,111.09,4
C=CC(=O)N1CCC(CC1)C(=O)NC=2C=CC(=CC2)C3(CC)CCC(=O)NC3=O,Z1492400108,397.468,397.468,0.715,-3.588,2,4,95.58,7
C=CC(=O)NC=1C=CC=2CN(C)C(=O)C2C1,Z3024771182,216.236,216.236,0.666,-2.754,1,2,49.41,3
CC(C)CN1C(=O)C=2C=CC(=CC2C1=O)C(=O)N3CCN(CC3)C(=O)CCl,Z3246866496,391.849,391.849,2.07,-4.981,0,4,78,6
O=C(C=1C=CC=C2C(=O)N(CC12)C3CCC(=O)NC3=O)N4CCCO4,Z3543551787,343.335,343.335,-0.113,-3.582,1,5,96.02,3
C=CC(=O)NC=1C=CC(=CC1)C(=O)NCC2(C)NC(=O)NC2=O,Z3755211318,316.313,316.313,-0.534,-3.176,4,4,116.4,5
C=CC(=O)N(CC1=CC=NN1CC2CC2)C=3C=CC=4CNC(=O)C4C3,Z3837400045,336.389,336.389,1.823,-3.551,1,3,67.23,7
C=CC(=O)N(CC1=CC=NN1CC2CCC2)C=3C=CC=4CNC(=O)C4C3,Z3837400142,350.415,350.415,2.382,-4.041,1,3,67.23,7
CN1CC=2C=CC(=CC2C1=O)CNC(=O)CCl,Z3996065387,252.697,252.697,0.344,-2.509,1,2,49.41,4
O=C(CCl)NC=1C=CC=2C(=O)N(C(=O)C2C1)C3CCC(=O)NC3=O,Z4154992664,349.726,349.726,0.629,-3.573,2,5,112.65,3
C=CC(=O)NCCC1CCCCN1C(=O)CC2NC(=O)C=3C=CC=CC32,Z4425282861,355.432,355.432,1.387,-3.707,2,3,78.51,8
O=C1C=C(Br)C(=O)N1C2CCC(=O)NC2=O,Z5102012422,287.067,287.067,-0.127,-2.298,1,4,83.55,1
O=C(CCl)NC=1C=CC=C2C(=O)N(C(=O)C12)C3CCC(=O)NC3=O,Z5184942170,349.726,349.726,0.629,-3.573,2,5,112.65,4
O=C(O)/C=C/C=1C=CC=2C(=O)N(C(=O)C2C1)C3CCC(=O)NC3=O,Z5297200616,328.277,328.277,0.625,-3.549,2,6,120.85,3
O=C(C=CC=1C=CC(Cl)=CC1)NC=2C=CC=C3C(=O)NC(=O)C23,Z56919812,326.734,326.734,3.708,-5.22,2,3,75.27,4
O=C(C=CC1=CN(N=C1C2=CC=CS2)C=3C=CC=CC3)NC=4C=CC=C5C(=O)NC(=O)C45,Z56936276,440.476,440.476,5.033,-6.23,2,4,93.09,6
CCC1(CCC(=O)NC1=O)C=2C=CC(=CC2)NC(=O)C=CC=3C=CC=4OCOC4C3,Z811128712,406.432,406.432,3.48,-5.182,2,5,93.73,6
CN1C(=O)NC(=O)C(=C1N)N2C(=O)C=CC2=O,Z2380027391,236.185,236.185,-1.99,-1.686,2,5,112.81,1
C=CC(=O)NC=1C=CC=2CN(C(=O)C2C1)C3CCC(=O)NC3=O,Z3766086589,313.309,313.309,0.048,-3.247,2,4,95.58,4
C=CC(=O)N1CCCC2=CC(=CC=C21)C(=O)NC3(C)CCC(=O)NC3=O,Z4226212732,355.389,355.389,1.521,-3.941,2,4,95.58,5
O=C(CCl)NCC(NC(=O)C=1C=CC=2C(=O)NCC2C1)C=3C=CC4=CC=CC=C4C3,Z4425211867,421.877,421.877,2.851,-6.078,3,3,87.3,6
O=C(CCl)N[C@@H]1C=2C=CC=CC2C[C@H]1NC(=O)C=3C=CC=C4CNC(=O)C34,Z4439378884,383.829,383.829,1.876,-4.624,3,3,87.3,6
C=CC(=O)N(CC=1C=CC(C)=C(C)C1)C=2C=CC=C3C(=O)NCC23,Z4874247217,320.386,320.386,3.683,-5.219,1,2,49.41,5
C=CC(=O)NC=1C=CC=CC1C(=O)NCCCN2C=CC(=O)NC2=O,Z4899209260,342.35,342.35,0.054,-3.606,3,4,107.61,9
O=C1C=2C=CC=C(C=3C=CC(=CC3)S(=O)(=O)F)C2CN1C4CCC(=O)NC4=O,Z4910996322,402.398,402.398,2.394,-5.055,1,5,100.62,3
O=C(CCl)NC=1C=CC=2C(=O)NC(=O)C2C1,Z147651568,238.627,238.627,1.105,-2.741,2,3,75.27,3
O=C1NC(=O)C=2C(=CC=CC12)NC=C3C(=O)NC(=O)NC3=O,Z94598258,300.227,300.227,0.33,-2.97,4,6,133.47,2
O=C(C=CC1CCCO1)NC2=CC=CC=3C(=O)NCC23,Z2407568562,272.3,272.3,0.685,-2.904,2,3,67.43,3
CN1CC=2C=CC(=CC2C1=O)NC(=O)CCl,Z2981784467,238.67,238.67,1.024,-2.626,1,2,49.41,3
CN1CC2=CC=CC(NC(=O)CCl)=C2C1=O,Z3433758113,238.67,238.67,1.024,-2.626,1,2,49.41,3
CC(Cl)C(=O)NC1=CC=CC=2C(=O)N(C)CC12,Z3774895417,252.697,252.697,1.553,-3.355,1,2,49.41,2
CN(C)C/C=C/C(=O)NCC1C=2C=CC=CC2C(=O)N1C,Z3952173844,287.358,287.358,0.912,-2.712,1,3,52.65,6
C=CC(=O)N(CC=1C=CC(F)=C(C)C1)C2=CC=C3CNC(=O)C3=C2,Z4874583932,324.35,324.35,3.377,-4.76,1,2,49.41,5
O=C(CCl)NC=1C=CC=C2C(=O)N(CC12)C3CC3,Z5187555044,264.708,264.708,1.518,-3.201,1,2,49.41,4
O=C1C=C(C(=O)N1C2CCC(=O)NC2=O)N3CCC=4NC=5C=CC(F)=CC5C4C3,Z5336266181,396.373,396.373,2.016,-4.639,2,5,102.58,2
O=C(C=CC=1C=CNC1)NC2=CC=CC=3C(=O)NCC23,Z2099020948,267.283,267.283,1.259,-3.285,3,2,73.99,4
C=CC(=O)N1CCCC(C1)C(=O)NC=2C=CC(=CC2)C3CC(=O)NC(=O)C3,Z3756447817,369.415,369.415,0.612,-2.962,2,4,95.58,6
O=C(CCl)N1CC=C(CCN2C(=O)C=3C=CC=CC3C2=O)CC1,Z3766269865,332.782,332.782,1.649,-4.042,0,3,57.69,5
C=CC(=O)NCC1=CC=CC(=C1)C(=O)NC2CCC(=O)NC2=O,Z4425205099,315.325,315.325,-0.749,-3.016,3,4,104.37,7
C=CC(=O)NC=1C=CC(=CC1)C(=O)NC=2C=CC=CC2C3CNC(=O)C3,Z4899164528,349.384,349.384,-0.239,-4.072,3,3,87.3,5
CCOC1=CC(C=O)=CC(C=2C=CC=C3C(=O)N(CC23)C4CCC(=O)NC4=O)=C1OC(F)F,Z4910994613,458.412,458.412,1.928,-5.42,1,6,102.01,7
CCN1CC=2C=C(C=CC2C1=O)CNC(=O)CCl,Z5179271412,266.724,266.724,0.873,-2.842,1,2,49.41,5
COC1=CC=2CCN(CC2C(OC)=C1OC)C3=CC(=O)N(C3=O)C4CCC(=O)NC4=O,Z5336266140,429.424,429.424,1.016,-3.265,1,8,114.48,5
COC(=O)C=1C=CC=C2C1NC=3CCN(CC23)C4=CC(=O)N(C4=O)C5CCC(=O)NC5=O,Z5336266178,436.418,436.418,1.98,-4.527,2,6,128.88,4
O=C(CCl)NC=1C=CC=C2C(=O)NCC12,Z1509605383,224.644,224.644,0.763,-2.214,2,2,58.2,3
O=C1NC(=O)C=2C(=CC=CC12)NC=C3C(=O)CC4(CCCCC4)CC3=O,Z238450942,352.385,352.385,3.678,-5.31,2,5,92.34,2
CC=CC(=O)NCC=1C=CC=2CN(C(=O)C2C1)C3CCC(=O)NC3=O,Z3417378989,341.362,341.362,-0.123,-3.456,2,4,95.58,5
C=CC(=O)N1CCCC(C1)C(=O)NC=2C=CC=C(C2)C3CC(=O)NC(=O)C3,Z3756379634,369.415,369.415,0.612,-2.962,2,4,95.58,6
C=CC(=O)N(CC=1C(F)=CC(C)=CC1F)C=2C=CC=C3C(=O)NCC23,Z4874247220,342.34,342.34,3.52,-5.25,1,2,49.41,5
C=CC(=O)NC=1C=CC=CC1CC(=O)N2CCCC3(C2)NC(=O)NC3=O,Z4899349781,356.377,356.377,-1.422,-3.052,3,4,107.61,6
O=C1C=C(C(=O)N1C2CCC(=O)NC2=O)N3CCC(C3)OCC=4C=CC=CC4,Z5266778159,383.399,383.399,1.798,-3.71,1,6,96.02,5
CN(CC1=NC(=NO1)C=2C=CC=CC2)C3=CC(=O)N(C3=O)C4CCC(=O)NC4=O,Z5266778161,395.37,395.37,1.23,-3.811,1,7,125.71,5
C#CC=1C=CC=C(C1)NC(=O)CN(C)C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5336266098,394.382,394.382,1.432,-4.091,2,6,115.89,6
CN(CC=1C=CC=CC1F)C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5336266110,345.326,345.326,1.923,-3.399,1,5,86.79,4
CC(C)(C)OC(=O)[C@@H](CC=1C=CC=CC1)NC2=CC(=O)N(C2=O)C3CCC(=O)NC3=O,Z5336266120,427.451,427.451,2.479,-4.186,2,6,121.88,8
O=C1C=C(C(=O)N1C2CCC(=O)NC2=O)N3CCC4(CC3)CC(=O)C=5C=C(F)C=CC5O4,Z5336266135,441.41,441.41,1.812,-4.903,1,7,113.09,2
O=C1C=C(C(=O)N1C2CCC(=O)NC2=O)N3CCC4(CC3)OCCC=5C=CSC54,Z5336266196,415.465,415.465,1.171,-3.944,1,6,96.02,2
C=CC(=O)NC=1C=CC(=CC1)C(=O)NC=2C=CC=C(C2)C3(C)NC(=O)NC3=O,Z817514176,378.382,378.382,1.122,-4.735,4,4,116.4,5
CN1CC=2C(=CC=CC2C1=O)NC(=O)CCl,Z3766271873,238.67,238.67,1.024,-2.626,1,2,49.41,3
CC1=NN(CC=2C=CC(Cl)=CC2Cl)C(Cl)=C1C=CC(=O)N3CCC(C#CC=4C=CC=C5C(=O)N(CC45)C6CCC(=O)NC6=O)CC3,Z5083081844,678.992,678.992,5.339,-7.791,1,5,104.61,6
O=C(C=CC=1C=CC=C(C1)C=2C=CC(Cl)=CC2)N3CCN(CC3)C=4C=C5C(=O)N(C(=O)C5=CC4F)C6CCC(=O)NC6=O,Z5129925148,601.025,601.025,5.28,-8.492,1,6,107.1,6
CN(C1=CC(=O)N(C1=O)C2CCC(=O)NC2=O)C=3C=CC(F)=C(F)C3,Z5266778158,349.29,349.29,2.148,-3.84,1,5,86.79,3
O=C1C=C(NC2(CC2)C3=CC=CC(F)=C3)C(=O)N1C4CCC(=O)NC4=O,Z5266778167,357.337,357.337,1.984,-3.898,2,5,95.58,4
COC(=O)[C@@H]1C[C@@H](CN1C2=CC(=O)N(C2=O)C3CCC(=O)NC3=O)OC=4C=CC=CC4,Z5336266128,427.408,427.408,1.597,-4.084,1,7,122.32,6
O=C1C=C(C(=O)N1C2CCC(=O)NC2=O)N3CCCN(CC=4C=CC=CC4)CC3,Z5336266167,396.441,396.441,2.13,-3.16,1,6,90.03,4
