"Molecule (Canonical)","ExactMW","Source"
"N#CC(=Cc1ccccc1C(F)(F)F)C(=O)Nc1nccs1",323.03401753599996,"Screening"
"N#CC(=Cc1ccc(C(=O)O)cc1)C(=O)Nc1nccs1",299.03646214800006,"Screening"
"CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(OC)cc1Br",352.042254504,"Screening"
"COc1ccc(N2CCN(C(=O)C(C#N)=Cc3ccccc3)CC2)cc1",347.163376912,"Screening"
"N#CC(=Cc1cccnc1)C(=O)Nc1ccccc1C(=O)O",293.08004121199997,"Screening"
"N#CC(=Cc1ccc(C#N)cc1)C(=O)Nc1cc(Cl)ccc1N1CCOCC1",392.104003464,"Screening"
"CCOc1ccccc1C=C(C#N)C(=O)Nc1ccccc1C(=O)O",336.11100699199994,"Screening"
"N#CC(=Cc1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1)C(=O)Nc1ccccc1C(=O)O",479.04396132,"Screening"
"Cc1ccc(C=C(C#N)C(=O)Nc2nc(-c3ccc(C(C)(C)C)cc3)cs2)cc1",401.156183356,"Screening"
"Cc1ccc(C=C(C#N)C(=O)Nc2ccccc2C(F)(F)F)o1",320.07726225199997,"Screening"
"CCOc1cc(C=C(C#N)C(=O)Nc2cc(Cl)ccc2N2CCOCC2)ccc1OCC(N)=O",484.15134758,"Screening"
"COc1ccccc1N1CCN(C(=O)C(C#N)=Cc2cn(-c3ccccc3)nc2-c2ccccc2)CC1",489.21647510400004,"Screening"
"COC(=O)c1ccc(C=C(C#N)C(=O)Nc2ccccc2C(F)(F)F)cc1",374.08782693600006,"Screening"
"CCN(CC)C(=O)C(C#N)=Cc1ccc(OC(F)F)cc1",294.117984192,"Screening"
"CCCCOc1ccc(C=C(C#N)C(=O)Nc2sc(C)c(C)c2C(=O)OCC)cc1OC",456.17189299599994,"Screening"
"Cc1ccsc1C=C(C#N)C(=O)N1CCN(c2ccccc2)CC1",337.124883228,"Screening"
"Cn1ccnc1Sc1ccc(C=C(C#N)C(=O)Nc2ccccc2C(F)(F)F)cc1[N+](=O)[O-]",473.07694496799996,"Screening"
"N#CC(=Cc1ccc(N2CCCC2)cc1)C(=O)Nc1ccc(C(=O)O)cc1",361.14264146799997,"Screening"
"N#CC(=Cc1cnn(-c2ccc(Cl)cc2)c1)C(=O)Nc1ccccc1Br",425.988300784,"Screening"
"O=C1CC(N2CCN(S(=O)(=O)C=Cc3ccccc3)CC2)C(=O)N1c1cccc(C(F)(F)F)c1",493.128311844,"Screening"
"CCc1ccccc1Nc1nc(N)nc(CN2CCN(S(=O)(=O)C=Cc3ccccc3)CC2)n1",479.21034416799995,"Screening"
"N#CN(Cc1nc(-c2c(F)cccc2F)cs1)c1ccccc1",327.064174792,"Screening"
"CCN(CC(=O)NC1CCS(=O)(=O)C1)S(=O)(=O)C=Cc1ccccc1",386.09701380399997,"Screening"
"O=S1(=O)CCC(NS(=O)(=O)C=Cc2ccc(Cl)cc2)C1",335.005277608,"Screening"
"CC(C)Oc1ccc(S(=O)(=O)N2CCCCC2)cc1NS(=O)(=O)C=Cc1ccccc1",464.1439639959999,"Screening"
"Cc1c(NS(=O)(=O)C=Cc2ccccc2)c(=O)n(-c2ccccc2)n1C",369.11471246800005,"Screening"
"O=S(=O)(C=Cc1ccccc1)Nc1cc(S(=O)(=O)Nc2cccc(Cl)c2)ccc1O",464.026741324,"Screening"
"O=S(=O)(C=Cc1ccccc1)N(Cc1ccco1)c1cccc(F)c1",357.08349259199997,"Screening"
"Cc1nn(Cc2ccc(Cl)cc2)c(Cl)c1C=C(C#N)C(=O)NCc1ccccc1",424.085766556,"Screening"
"Cc1ccc(C)c(NC(=O)C(C#N)=Cc2ccc(Sc3nncn3C)c([N+](=O)[O-])c2)c1",434.11610943600004,"Screening"
"N#CC(=Cc1cccs1)C(=O)Nc1cccc2ncccc12",305.062282972,"Screening"
"COc1ccc(C=C(C#N)C(=O)Nc2cccc3ncccc23)c(OC)c1",359.12699140399997,"Screening"
"Cc1nn(C)c(C)c1C=C(C#N)C(=O)Nc1ccccc1Cl",314.09343878000004,"Screening"
"CCCCNC(=O)C(C#N)=Cc1c(Cl)nc2ccccn12",302.09343878000004,"Screening"
"COCCCNC(=O)C(C#N)=Cc1cn(-c2ccccc2)nc1-c1cc2ccccc2o1",426.16919056399996,"Screening"
"Cc1nn(Cc2ccccc2Cl)c(Cl)c1C=C(C#N)C(=O)NC(C)C",376.085766556,"Screening"
"Cc1nn(-c2ccccc2)c(N2CCCC2)c1C=C(C#N)C(=O)Nc1cc(Cl)cc(Cl)c1",465.112315652,"Screening"
"Cc1c(C=C(C#N)C(=O)Nc2nccs2)c2ccccn2c1C(=O)c1ccc(F)cc1",430.08997494,"Screening"
"COc1ccc(NC(=O)C(C#N)=Cc2cc3ccccc3nc2N2CCOCC2)cc1",414.169190564,"Screening"
"N#CC(=Cc1ccc(OC(F)F)cc1OC(F)F)C(=O)Nc1ccc(N2CCOCC2)cc1",465.13116896800005,"Screening"
"C=CC(=O)N1CCC(C(=O)NC(C(=O)OCC)C2CCOCC2)CC1",352.19982199599997,"Screening"
"N#CC(=Cc1c(C2CC2)nc2sccn12)C(=O)NC1CCCCC1",340.13578226,"Screening"
"N#Cc1cc(N(C#N)CCCCCF)ccc1F",249.107753856,"Screening"
"N#Cc1ccc(N(C(=O)C2CCN(S(=O)(=O)C=Cc3ccccc3)CC2)C2CC2)cc1",435.16166266000005,"Screening"
"N#CC(=Cc1cnn(CCCl)c1)C(=O)NC1CCCCC1",306.124738908,"Screening"
"N#CC(=Cc1nccn1CC(F)(F)F)C(=O)Nc1ccccc1Br",397.99900770000005,"Screening"
"CCCCn1c(N)c(N(Cc2ccccc2OC)C(=O)c2cc(Cl)nc3ccccc23)c(=O)[nH]c1=O",507.16733199199996,"Screening"
"Cc1ccc(F)c(N(C#N)CCCO)c1",208.101191256,"Screening"
"CCOC(=O)CN(C#N)c1ccc(OC)cc1",234.100442308,"Screening"
"C=CC(=O)Nc1cc(NC(=O)CCC(=O)c2cc(C)sc2C)ccc1F",374.110041688,"Screening"
"O=S(=O)(C=Cc1ccccc1)N(Cc1ccc2c(c1)OCO2)C1CCCC1",385.13477921599997,"Screening"
