stereo_smiles,LUMO_eV
Cc1onc(CC(=O)Nc2cccc([C@H]3CCC(=O)NC3=O)c2)c1-c1nn[nH]n1,-7.910776116
Cc1nc(C(=O)Nc2cccc(N[C@@H]3CCC(=O)NC3=O)c2)nn1-c1nnc[nH]1,-8.026973272
Cc1nc(C(=O)Nc2cccc(N[C@H]3CCC(=O)NC3=O)c2)nn1-c1nnc[nH]1,-8.025438021
O=C1CC[C@H](NC(=O)c2cncc3ccccc23)C(=O)N1,-8.226077322
C[C@H](C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-8.025540493
C[C@@H](C(=O)Nc1ccc([C@@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-8.02704571
C[C@H](C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-7.98470765
C[C@@H](C(=O)Nc1ccc([C@H]2CCC(=O)NC2=O)cc1)n1cnc(-c2nn[nH]n2)n1,-8.071859532
O=C1CC[C@H](c2cccc(NC(=O)C[C@@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-7.520577521
O=C1CC[C@@H](c2cccc(NC(=O)C[C@@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-7.568633506
O=C1CC[C@H](c2cccc(NC(=O)C[C@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-7.590497753
O=C1CC[C@@H](c2cccc(NC(=O)C[C@H]3C(=O)Nc4ccc(F)cc43)c2)C(=O)N1,-7.686347167
O=C1CC[C@H](N2Cc3cc(CNC(=O)c4ccc(F)cc4)ccc3C2=O)C(=O)N1,-7.881664184
O=C1CC[C@@H](N2Cc3cc(CNC(=O)c4ccc(F)cc4)ccc3C2=O)C(=O)N1,-7.91749337
O=C1CC[C@@H](NC(=O)c2cncc3ccccc23)C(=O)N1,-8.226069275
O=C1CC[C@H](N2Cc3c(CNC(=O)c4ccc(F)cc4)cccc3C2=O)C(=O)N1,-7.951143533
O=C1CC[C@@H](N2Cc3c(CNC(=O)c4ccc(F)cc4)cccc3C2=O)C(=O)N1,-7.867225943
O=C1CCN(c2ccc(Nc3c4c(nc5ncnn35)CCCC4)cc2F)C(=O)N1,-7.624181981
O=C1CC[C@H](c2ccc(NC(=O)[C@@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-7.675056907
O=C1CC[C@@H](c2ccc(NC(=O)[C@@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-7.644468913
O=C1CC[C@H](c2ccc(NC(=O)[C@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-7.651638326
O=C1CC[C@@H](c2ccc(NC(=O)[C@H]3CC(=O)N(Cc4ccco4)C3)cc2)C(=O)N1,-7.663343382
C#C[C@@H]1CCCN1C(=O)COc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,-7.447489596
C#C[C@H]1CCCN1C(=O)COc1cccc2c1CN([C@@H]1CCC(=O)NC1=O)C2=O,-7.448058209
C#C[C@@H]1CCCN1C(=O)COc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,-7.962727773
COCc1nc(C(=O)N[C@@H]2CCC(=O)NC2=O)cs1,-7.856643592
C#C[C@H]1CCCN1C(=O)COc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O,-7.969347446
COc1ccc2c(c1)OC[C@H](NC(=O)c1cccc(N3CCC(=O)NC3=O)c1)C2,-7.907517251
COc1ccc2c(c1)OC[C@@H](NC(=O)c1cccc(N3CCC(=O)NC3=O)c1)C2,-7.736730621
CNc1cc(-c2ccc3c(c2)CN([C@@H]2CCC(=O)NC2=O)C3=O)nc(COC)n1,-7.910164023
CNc1cc(-c2ccc3c(c2)CN([C@H]2CCC(=O)NC2=O)C3=O)nc(COC)n1,-7.915371021
CCc1[nH]ncc1C(=O)NCc1ccc2c(c1)C(=O)N([C@@H]1CCC(=O)NC1=O)C2,-8.510545613
CCc1[nH]ncc1C(=O)NCc1ccc2c(c1)C(=O)N([C@H]1CCC(=O)NC1=O)C2,-8.513762645
CCCn1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)n1,-8.497268763
CCCn1ccc(C(=O)Nc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)n1,-8.472533541
O=C1CC[C@H](c2cccc(NC(=O)c3ccnc([C@@H]4COCCN4)n3)c2)C(=O)N1,-7.797056387
COCc1nc(C(=O)N[C@H]2CCC(=O)NC2=O)cs1,-7.93941724
O=C1CC[C@@H](c2cccc(NC(=O)c3ccnc([C@@H]4COCCN4)n3)c2)C(=O)N1,-7.814638612
O=C1CC[C@H](c2cccc(NC(=O)c3ccnc([C@H]4COCCN4)n3)c2)C(=O)N1,-7.875069978
O=C1CC[C@@H](c2cccc(NC(=O)c3ccnc([C@H]4COCCN4)n3)c2)C(=O)N1,-7.894267601
CCn1cc(C(=O)NCc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3)cn1,-7.900573729
CCn1cc(C(=O)NCc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3)cn1,-7.893240916
O=C1CC[C@H](NC(=O)c2cc(CNC(=O)c3ccc4c(c3)CCC4)n[nH]2)C(=O)N1,-8.027447701
O=C1CC[C@@H](NC(=O)c2cc(CNC(=O)c3ccc4c(c3)CCC4)n[nH]2)C(=O)N1,-8.031907015
O=C1CC[C@H](NC(=O)c2cn[nH]c2CNC(=O)c2cccc3c2CCC3)C(=O)N1,-7.987380337
O=C1CC[C@@H](NC(=O)c2cn[nH]c2CNC(=O)c2cccc3c2CCC3)C(=O)N1,-8.032385144
N#CN1CCC[C@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-8.376819806
CN1C(=O)CC[C@H](CSc2ccc(Cl)cc2)C1=O,-7.734043196
N#CN1CCC[C@@H](c2ccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-8.304067828
N#CN1CCC[C@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-8.275751009
N#CN1CCC[C@@H](c2ccn(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c(=O)c2)C1,-8.276799299
N#CN1CCC[C@H](c2ccc(=O)n(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-8.259740072
N#CN1CCC[C@@H](c2ccc(=O)n(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2)C1,-8.312677889
N#CN1CCC[C@H](c2ccc(=O)n(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-8.334467196
N#CN1CCC[C@@H](c2ccc(=O)n(Cc3cn([C@H]4CCC(=O)NC4=O)nn3)c2)C1,-8.327604466
N#CN1CCC[C@H](c2cccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-8.306233786
N#CN1CCC[C@@H](c2cccn(Cc3cn([C@@H]4CCC(=O)NC4=O)nn3)c2=O)C1,-7.890621283
