batch_size,hidden_dim,learning_rate,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
16,8,0.0001,-3.164020650183194,0.7874949178112276,0.7185820585384443,-6.888176570658921,1.0815917867196452,0.934433068503623,-2.8600168256105696,0.7593624263833871,0.6922436836842928
16,8,0.0005,-0.2762694456499231,0.3789442239550989,0.3184307222250213,0.6050057108560926,0.2430427290152173,0.1768083832913773,-0.24373579008701748,0.39007591133208425,0.3254862502581719
16,8,0.001,0.6513513964478553,0.22836745889047635,0.1740422272163619,0.5912368867290475,0.24720453567186298,0.17845127195234614,0.6920563304103631,0.21460978614322276,0.16258515218924702
16,16,0.0001,-0.6202362841703455,0.4916987717971432,0.3883407361823273,-1.732408961619715,0.6390384290639909,0.48450434936148673,-0.4453407089908487,0.4647077932050296,0.372668988276178
16,16,0.0005,0.1275941645921026,0.3607875680061414,0.2701610833552219,0.6903570503601243,0.21520423096712527,0.16016110625571223,0.3926505776611868,0.3010453397335973,0.22470898806385076
16,16,0.001,0.3729464517610633,0.3062428223783022,0.22794698306705072,0.6768831650079101,0.21983913048047907,0.16489467969210195,0.49574782438951864,0.27430590638740426,0.2102643414558016
16,32,0.0001,0.33791812941690064,0.3146863436794825,0.22831781628303316,-0.9130075348132823,0.533971179129222,0.3853130172350762,0.44020246273323577,0.28885428449330236,0.2100234564639165
16,32,0.0005,0.535299241893118,0.26359805046248175,0.19438061246217905,0.5676165069941519,0.24702858767450198,0.17791055375026832,0.6243876947221713,0.2370247941888152,0.17867404135026077
16,32,0.001,0.6183573251691074,0.2386173608953821,0.18008637554824927,0.7032296159267485,0.21066861322465155,0.1555160340241555,0.6026363302714568,0.243732442326727,0.18699847980721188
16,64,0.0001,0.5151527761649585,0.2692004988498216,0.19860376975751962,-0.5467059058771748,0.48016153160987723,0.3109048305608341,0.5838914868684254,0.2493924104786861,0.1883944179329667
16,64,0.0005,0.5975426287286907,0.24530496232405274,0.18750991552326904,0.29554955556275253,0.31543336441322184,0.21457152674803315,0.6517173299119478,0.22814595510263821,0.17610304575703842
16,64,0.001,0.6332760090778417,0.233798719307749,0.17798581080179157,0.7183648501640151,0.20524537150866254,0.14967418329836565,0.6434684159752394,0.23041852305653385,0.17505318178869037
32,8,0.0001,-3.806392379313973,0.8458877448491613,0.7714974352467109,-6.855464041167866,1.0778939701184196,0.9184083143373796,-3.3823622733702297,0.8095070424354439,0.734723868138312
32,8,0.0005,-2.1888542921496215,0.6897578098487465,0.6221456196221542,-1.4586030302531927,0.5569009979095223,0.4493115784685475,-1.583584222616091,0.6215724321191767,0.5561632221776521
32,8,0.001,-1.0554070454016433,0.5542969932803298,0.48102893009556974,0.6313835728528043,0.23459174273401795,0.17064920282100884,-0.49595617339637843,0.4697040079936987,0.39966722129720944
32,16,0.0001,-0.5353350224642746,0.47858291074890014,0.37852244055076373,-2.8493657506553647,0.753926414394433,0.6048645435281246,-0.2357743119526392,0.42921499114026146,0.3364758602177666
32,16,0.0005,0.2071696209202705,0.3429200491708378,0.25604484798087207,-0.04071349310367726,0.3881887036976727,0.2776121098735427,0.4069445761926102,0.29754083052213687,0.22418017873209242
32,16,0.001,0.28603963642433067,0.3243831466401706,0.23983974230501603,0.2050028328461105,0.31408383438138926,0.21740936907933894,0.4767372248511918,0.2793002373287898,0.20719364687113426
32,32,0.0001,0.2751887895624507,0.3286698635601901,0.23950098327325478,-1.1308192097604444,0.5645501786897832,0.39458952174373785,0.35287679059337423,0.3109702032095181,0.22738955348174916
32,32,0.0005,0.5263685988461436,0.26588788479148673,0.19831246309442171,-0.40885312344515423,0.45861446908983655,0.30974941018444274,0.5438238934955559,0.2605448286888337,0.19325254377582865
32,32,0.001,0.5432510023317212,0.2612469661434155,0.19304433133453522,0.6697839431546164,0.22120509283020082,0.16181300207235919,0.5803872519157828,0.2500535918162572,0.1890461392997641
32,64,0.0001,0.47371962330443357,0.2804009913265599,0.207646198780855,-0.6559130853360277,0.4976375921614915,0.32846880941661943,0.5384046341374008,0.26271517834979163,0.19604534521747027
32,64,0.0005,0.5962202966080895,0.24575475196326887,0.18674451854005913,-1.0078987551313583,0.5447748683560322,0.3742200803751752,0.6307827150886923,0.23499272545900063,0.18005216261861426
32,64,0.001,0.6099385886939549,0.24150662015385493,0.18472209499286482,0.23654041505393306,0.3259769033667765,0.2178553406462013,0.6451445750765473,0.23007279931412059,0.17638623045763424
64,8,0.0001,-3.8594360971324946,0.8524289668814918,0.7779733294291381,-9.056121202945775,1.2078795055857101,1.0294379573394858,-3.4376972618304795,0.8135117013879313,0.7379297881633065
64,8,0.0005,-2.6894678608637186,0.7340012788165765,0.664425186739217,-2.4020208359620043,0.6682534397329815,0.5335805843866185,-3.4354799731426087,0.814101529578394,0.7499007370335736
64,8,0.001,-3.2694150229443637,0.7980283608216223,0.7320622541812893,-1.486689558018463,0.5943955472109081,0.47111412528303315,-3.5601330542878347,0.8230873095164428,0.7234283557530187
64,16,0.0001,-0.757923095321312,0.5125513351618092,0.4118002855215748,-3.3628002676068824,0.8052541550584156,0.6349034831679963,-0.6511123296719735,0.49680637442304243,0.39160222726330224
64,16,0.0005,-0.3348855889776365,0.4427417072958129,0.35395674696076806,-2.800460685105371,0.745941066833972,0.5716223104871737,0.013567375652942562,0.3788798923872056,0.302505769768321
64,16,0.001,0.026797920395414104,0.3777001732309388,0.29555513568742803,-0.5251246615340658,0.4677354736672566,0.3238086511868197,-0.08421556098743443,0.396597663050059,0.31452115942504133
64,32,0.0001,0.09398789371087642,0.3676091560361792,0.26974926685639333,-1.4668981328357056,0.5970251822495046,0.4092099250498095,0.3152997688070946,0.3196448670363327,0.2316939987343796
64,32,0.0005,0.4711351650835021,0.2809908702817217,0.2047709409844951,0.20763348090894573,0.3394773832356905,0.2320505586942335,0.4314934462202132,0.29112725954513935,0.21361756232963638
64,32,0.001,0.4088642694993984,0.2967123192819489,0.21772343872464128,-0.10574725450795038,0.37508688283374086,0.2580653783470898,0.5377487842611085,0.26291798219468987,0.20034380675677219
64,64,0.0001,0.4879005194728827,0.27659984261898324,0.20420223181100575,-0.5599156745049971,0.4828044283971857,0.3138276394528347,0.5624158696904352,0.255761957976647,0.19073484913840577
64,64,0.0005,0.5174005289120683,0.2684101246305857,0.19996173628188654,-0.23216484268629486,0.4265627093716399,0.2823861353677,0.5598609494040958,0.2562925488727632,0.1926616150030969
64,64,0.001,0.5331026680444069,0.26401331469338063,0.1995290793344349,0.184434356439824,0.3454970670609055,0.23954450651167436,0.6319622534629111,0.23445305433736566,0.1791291920696365
128,8,0.0001,-5.0630524136107,0.9505276821911693,0.8713713112079907,-11.205294725028608,1.3464032098442298,1.163391082849323,-4.8241439867656455,0.9330950794004963,0.8356680531620372
