batch_size,hidden_dim,learning_rate,random_seed,gcn_test_r2,gcn_test_rmse,gcn_test_mae,gin_test_r2,gin_test_rmse,gin_test_mae,gat_test_r2,gat_test_rmse,gat_test_mae
64,32,0.001,42,0.3506602703527655,0.3116582526821714,0.22852276177693634,0.7284778141703401,0.2015325982822423,0.14907556141386769,0.5177980518345623,0.2685697679079875,0.2070371553073851
64,32,0.001,21,0.5164512689453233,0.2689445620810003,0.20111323028216688,-1.265879755016051,0.5821850823783314,0.39360888086926965,0.5557739317353737,0.257777295981215,0.19318533375454514
64,32,0.001,0,0.35948126920010637,0.3095341430826751,0.22353432411482063,0.22016017732185977,0.341542967840649,0.23151169275813202,0.5396743692133896,0.2624068826948671,0.20080893120838633
64,32,0.0005,42,0.5304879429795655,0.2650122920262353,0.19443745840872373,-0.05400615839974243,0.3970673868513237,0.2674117917535158,0.36446522501095413,0.3083275294871542,0.22559965561227505
64,32,0.0005,21,0.41722890636353815,0.29525118170789194,0.21557942577127437,0.1335455073986711,0.36001079425719684,0.24889949244184492,0.5190615243914365,0.2682176819157638,0.19827554615222026
64,32,0.0005,0,0.4656886459074028,0.28270913711103796,0.2042959387734872,0.5433610937279085,0.26135396859855087,0.17984039188733966,0.410953589258249,0.29683656723250007,0.21697748522441387
64,32,0.0001,42,0.1617217025508244,0.3541088287554071,0.2636849474542185,-0.4425802762030395,0.46452879339643244,0.29294401476095144,0.39642148424663914,0.300475820601782,0.21693745814670892
64,32,0.0001,21,-0.04558630068424385,0.3954782336425204,0.28576324152045796,-2.6478801397194145,0.7386911970035082,0.5472790607615556,0.31775626857722494,0.3194570085403249,0.23155816673971957
64,32,0.0001,0,0.1658282792660487,0.3532404057106102,0.25979961159450354,-1.3102339825846632,0.5878555563485734,0.3874066996269214,0.23172155359741964,0.33900177196689124,0.2465863713167103
64,16,0.001,42,0.3313923909767891,0.31624837374011106,0.2336771369836422,-0.5624495604708131,0.4834434122865533,0.3327052378111097,-0.006795561568902819,0.3880728764457883,0.3225349975011887
64,16,0.001,21,-0.3401373761909836,0.4477311425799937,0.36918053238458126,0.21721102557234917,0.3421881718347415,0.23852157979840752,-0.5803208626065597,0.4862003646976803,0.37686099925712613
64,16,0.001,0,0.08913874640043684,0.3691210033727116,0.28380773769406054,-1.2301354497037336,0.577574836880475,0.4001991359509418,0.3344697412131592,0.31551974800670834,0.2441674815168092
64,16,0.0005,42,0.115857512589572,0.3636668996187423,0.2741993010286015,-2.8421633338627372,0.7581070844682676,0.593242434609729,0.37117744973496314,0.3066950010713932,0.23440361782196645
64,16,0.0005,21,-0.3782787251547295,0.4540578305450776,0.36221432633746836,-1.4531930457776312,0.605771038231213,0.44979691423552504,-0.419430041587175,0.4607863865679961,0.3802845886711623
64,16,0.0005,0,-0.7422355543677519,0.5105003917236188,0.42545661351623437,-4.106025675675744,0.8739450778024352,0.6718275826162671,0.08895471881103956,0.3691582895222274,0.2928291028118342
64,16,0.0001,42,-0.6298711742555543,0.49376384124203987,0.38562781163911464,-2.436222523768269,0.7169407793972988,0.570312141069501,-0.5432730662237435,0.4804675173334615,0.37347035120696975
64,16,0.0001,21,-0.7494756385913861,0.5115600170743648,0.40862878054482765,-3.5969207123024853,0.8292321851049899,0.639773210286722,-0.6597277493033202,0.49826579084588524,0.38914735861357547
64,16,0.0001,0,-0.8944224731169954,0.5323301471690227,0.44114426438078225,-4.0552575667498925,0.8695895006729579,0.694625098147766,-0.7503361734888567,0.5116858150897806,0.41218897196936155
64,8,0.001,42,-3.7183681318734356,0.8401146431724177,0.7710370390704748,-0.2561395461367215,0.4334725371243175,0.34671439463519843,-3.583250926522001,0.8279983302500553,0.7112265027689628
64,8,0.001,21,-2.6629191827947523,0.7402123246062524,0.6750475153713125,-2.9373891046881955,0.7674442051169474,0.6167864571725283,-4.46378756995167,0.9040439546999656,0.7766327578091748
64,8,0.001,0,-3.4269577541649037,0.813758114686197,0.7501022081020806,-1.2665400232304722,0.5822698993914595,0.4498415240413727,-2.6333606663898332,0.7372196435993074,0.6824258066809181
64,8,0.0005,42,-1.200587785144033,0.5737358563574013,0.5065137536831659,0.27244233988696165,0.32989547022041055,0.2544109764003843,-3.8519670523220295,0.8519253965248492,0.7770799086907488
64,8,0.0005,21,-3.2087777307796,0.7934519630900378,0.7197279142581631,-4.716876362630149,0.9247451100712034,0.7686855650826465,-3.2358180709465154,0.7959967470548573,0.7363357424847677
64,8,0.0005,0,-3.6590380666675237,0.8348160170022902,0.767033892276322,-2.761628485142826,0.7501197389073302,0.5776452116768248,-3.2186547961592806,0.7943824451554755,0.7362865599252044
64,8,0.0001,42,-3.613360843627281,0.8307136680210645,0.7629025185662733,-9.888533207334378,1.2762252519335793,1.1007703799141446,-3.9043132619705885,0.8565086335090829,0.7639614802541266
