stereo_smiles,LUMO_eV
O=Cc1ccc(OCC#Cc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1,-8.116361809
O=C1CC[C@H](N2Cc3c(C#CCOc4ccccc4)cccc3C2=O)C(=O)N1,-7.847243327
O=C1CC[C@@H](N2Cc3c(C#CCOc4ccccc4)cccc3C2=O)C(=O)N1,-7.848042301
O=C1CC[C@H](c2ccc(NS(=O)(=O)CCCn3cnnn3)cc2)C(=O)N1,-7.74847867
O=C1CC[C@@H](c2ccc(NS(=O)(=O)CCCn3cnnn3)cc2)C(=O)N1,-7.818835209
C=CC(=O)NC[C@]1(c2ccccc2)C[C@H](NC(=O)c2cccc3c2C(=O)NC3)C1,-7.623782351
C=CC(=O)NC[C@]1(c2ccccc2)C[C@@H](NC(=O)c2cccc3c2C(=O)NC3)C1,-7.619560945
CC(C)=CC(=O)N[C@@H]1CC(=O)NC1=O,-7.817728358
CC(C)=CC(=O)N[C@H]1CC(=O)NC1=O,-7.817969597
O=C1CC[C@H](NC(=O)c2cc(S(=O)(=O)F)cc3c2S(=O)(=O)CCC3)C(=O)N1,-8.496791174
O=C1CC[C@@H](NC(=O)c2cc(S(=O)(=O)F)cc3c2S(=O)(=O)CCC3)C(=O)N1,-8.536026243
O=C1CC[C@H](NC(=O)c2ccc(S(=O)(=O)F)c3c2S(=O)(=O)CCC3)C(=O)N1,-8.497694242
O=C1CC[C@@H](NC(=O)c2ccc(S(=O)(=O)F)c3c2S(=O)(=O)CCC3)C(=O)N1,-8.42651365
O=C1CC[C@H](NC(=O)c2cccc3c2S(=O)(=O)CCC3)C(=O)N1,-7.615926187
O=C1CC[C@@H](NC(=O)c2cccc3c2S(=O)(=O)CCC3)C(=O)N1,-7.59923324
O=C1CC[C@H](NC(=O)c2cnc([C@@H]3CCCN3)nc2)C(=O)N1,-8.156094994
O=C1CC[C@@H](NC(=O)c2cnc([C@@H]3CCCN3)nc2)C(=O)N1,-8.158263358
O=C1CC[C@H](NC(=O)c2cnc([C@H]3CCCN3)nc2)C(=O)N1,-8.15860353
O=C1CC[C@@H](NC(=O)c2cnc([C@H]3CCCN3)nc2)C(=O)N1,-8.155795727
Cc1csc(-c2cccc(C(=O)N[C@@H]3CCC(=O)NC3=O)c2)n1,-7.87378739
Cc1csc(-c2cccc(C(=O)N[C@H]3CCC(=O)NC3=O)c2)n1,-7.872049319
C[C@@H]1NCCc2c(C(=O)N[C@@H]3CCC(=O)NC3=O)ccc(Cl)c21,-8.059944093
C[C@H]1NCCc2c(C(=O)N[C@@H]3CCC(=O)NC3=O)ccc(Cl)c21,-8.062855715
C[C@@H]1NCCc2c(C(=O)N[C@H]3CCC(=O)NC3=O)ccc(Cl)c21,-8.066387952
C[C@H]1NCCc2c(C(=O)N[C@H]3CCC(=O)NC3=O)ccc(Cl)c21,-8.065273725
Cn1nc(C(=O)Nc2cccc(C3CC(=O)NC(=O)C3)c2)cc1O,-7.444091713
O=C1CC[C@H](N2CCCc3c(N4CCNCC4)cccc32)C(=O)N1,-7.789409645
O=C1CC[C@@H](N2CCCc3c(N4CCNCC4)cccc32)C(=O)N1,-7.785500646
N#CN1CCC[C@H](c2cccc(NC(=O)c3cccc4c3CN([C@@H]3CCC(=O)NC3=O)C4=O)c2)C1,-7.824259766
N#CN1CCC[C@@H](c2cccc(NC(=O)c3cccc4c3CN([C@@H]3CCC(=O)NC3=O)C4=O)c2)C1,-7.821835562
N#CN1CCC[C@H](c2cccc(NC(=O)c3cccc4c3CN([C@H]3CCC(=O)NC3=O)C4=O)c2)C1,-7.58783077
N#CN1CCC[C@@H](c2cccc(NC(=O)c3cccc4c3CN([C@H]3CCC(=O)NC3=O)C4=O)c2)C1,-7.70064948
Cc1nn(C)c(C)c1-c1cc(C(=O)N[C@@H]2CCC(=O)NC2=O)[nH]n1,-7.953767246
Cc1nn(C)c(C)c1-c1cc(C(=O)N[C@H]2CCC(=O)NC2=O)[nH]n1,-7.9762198
O=C1CC[C@H](NC(=O)c2ccccc2-n2cnc3ccccc32)C(=O)N1,-8.084074867
O=C1CC[C@@H](NC(=O)c2ccccc2-n2cnc3ccccc32)C(=O)N1,-8.011216292
CCn1cc(C(=O)Nc2cccc(C3CC(=O)NC(=O)C3)c2)cn1,-7.890582435
O=C1CC[C@H](Nc2ccc(NC(=O)c3scc4c3OCCO4)cc2)C(=O)N1,-7.900900081
O=C1CC[C@@H](Nc2ccc(NC(=O)c3scc4c3OCCO4)cc2)C(=O)N1,-7.901208295
O=C1CC[C@H](NC(=O)c2cnc(Oc3ccccc3)cn2)C(=O)N1,-7.993605071
