"Molecule (Canonical)","ExactMW","label"
"N#CC(=Cc1ccc(-n2ccnc2)nc1)C(=O)O",240.064725496,"Covalent"
"CCCNC(=O)C(C#N)=Cc1ccc(O)nc1",231.100776656,"Covalent"
"CCCNC(=O)C(C#N)=Cc1ccns1",221.062282972,"Covalent"
"CCCNC(=O)C(C#N)=Cc1conc1C1CC1",245.11642672,"Covalent"
"CCCNC(=O)C(C#N)=Cc1cncn1C1CC1",244.132411132,"Covalent"
"N#CC(=Cc1ccccc1Cl)C(N)=O",206.024690524,"Covalent"
"COc1ccc(C=C(C#N)C(=O)O)cc1",203.058243148,"Covalent"
"COC(=O)C(C#N)=Cc1cccc(F)c1",205.053906716,"Covalent"
"CCOC(=O)C(C#N)=Cc1ccncc1",202.07422756,"Covalent"
"N#CC(=Cc1ccccc1OC(F)F)C(=O)O",239.039399524,"Covalent"
"N#CC(=Cc1csc(-c2ccco2)n1)C(=O)O",246.009913052,"Covalent"
"N#CC(=Cc1ccc2c(c1)OCCO2)C(N)=O",230.06914218,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)NC(C)C)s1",234.082684068,"Covalent"
"Cc1ccc(C=C(C#N)C(=O)NC(N)=O)o1",219.064391148,"Covalent"
"N#CC(=Cc1ccc(F)c(F)c1)C(=O)NC1CC1",248.07611938,"Covalent"
"N#CC(=Cc1ccccc1)C(=O)Nc1nnn[nH]1",240.075958876,"Covalent"
"CN(CC1CC1)C(=O)C(C#N)=Cc1ccco1",230.105527688,"Covalent"
"CC1(C)Cc2cc(C=C(C#N)C(N)=O)ccc2O1",242.105527688,"Covalent"
"CCCNC(=O)C(C#N)=Cc1cnn(C(C)C)c1",246.148061196,"Covalent"
"CCCNC(=O)C(C#N)=Cc1cncc(OC)c1",245.11642672,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1ccc(O)nc1",231.100776656,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1ccnc(O)c1",231.100776656,"Covalent"
"CCCNC(=O)C(C#N)=Cc1conc1C(C)C",247.132076784,"Covalent"
"CCOC(=O)C(C#N)=Cc1ccco1",191.058243148,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1cccs1",220.067034004,"Covalent"
"COC(=O)C(C#N)=Cc1ccc(C)c(C)c1",215.094628656,"Covalent"
"COC(=O)C(C#N)=Cc1ccc2c(c1)OCCO2",245.068807832,"Covalent"
"Cc1cc(C=C(C#N)C(N)=O)c(C)n1C1CC1",229.1215121,"Covalent"
"COc1ccc(C=C(C#N)C(N)=O)c(OC)c1",232.084792244,"Covalent"
"CC(C)NC(=O)C(C#N)=Cc1ccc(C#N)cc1",239.105862036,"Covalent"
"C=CCNC(=O)C(C#N)=Cc1ccc(C#N)cc1",237.090211972,"Covalent"
"N#CC(=Cc1[nH]c2ccccc2c1Cl)C(N)=O",245.035589556,"Covalent"
"COC(=O)C(C#N)=Cc1c[nH]nc1C(C)(C)C",233.11642672,"Covalent"
"CCc1oc2ccccc2c1C=C(C#N)C(N)=O",240.089877624,"Covalent"
"Cc1n[nH]c(C)c1C=C(C#N)C(=O)N1CCCC1",244.132411132,"Covalent"
"COCc1ccc(C=C(C#N)C(N)=O)cc1",216.089877624,"Covalent"
"C=CCOC(=O)C(C#N)=Cc1ccc(C(=O)O)[nH]1",246.0640568,"Covalent"
"N#C/C(=C\c1cccnc1)C(N)=O",173.058911844,"Covalent"
"COc1ccc(/C=C(\C#N)C(=O)O)cc1OC",233.068807832,"Covalent"
"CCCNC(=O)C(C#N)=Cc1ncoc1COC",249.11134134,"Covalent"
"CCCNC(=O)C(C#N)=Cc1cnnn1CC",233.12766009999999,"Covalent"
"COC(=O)C(C#N)=Cc1ccc2[nH]ncc2c1",227.069476528,"Covalent"
"CC#CC(=O)NCc1nccc(C(F)F)n1",225.071368348,"Covalent"
"CC#CC(=O)NC(C1CC1)C(F)(F)F",205.0714486,"Covalent"
