batch_size,hidden_dim,learning_rate,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
32,16,0.0005,0.9690416140460764,0.9336221976419142,0.9897501959843483,0.9779109103475357,0.980622021244301,0.9589242721291851
32,16,0.001,0.974059754918014,0.9442570997163998,0.9901311278221981,0.9789738382119593,0.975790727872643,0.9483392855446832
32,32,0.0001,0.6791897488156949,0.46450485470122144,0.9826681833631223,0.9631336741684539,0.9717395181141054,0.9392997399301443
32,32,0.0005,0.9668658264722644,0.9289397496845194,0.9908696470944234,0.9805003658245219,0.9790796898879833,0.9551077073982018
32,32,0.001,0.9805145879902922,0.9585018614694739,0.9908904292648709,0.9805688672285936,0.9847332073149033,0.9674081018329423
32,64,0.0001,0.9640225130053947,0.9229147001796872,0.9877675325793627,0.9737658744005713,0.9753472574897016,0.9472654521893012
32,64,0.0005,0.9784631093716684,0.9533816062829589,0.9886542813114967,0.9757345996027403,0.979397057217705,0.95587238422728
32,64,0.001,0.9791006640921799,0.9552362582717183,0.9891402762040773,0.9769392665156937,0.9834271007382975,0.9648000033053318
64,8,0.0001,0.3762568562052712,0.02348171273358014,0.9691237825591229,0.9334977591578553,0.3756608658256549,0.02493496772623119
64,8,0.0005,0.5173134084100989,0.259235004334278,0.9786585379454799,0.95427043745283,0.9783629129549499,0.9536270234141616
64,8,0.001,0.9722866415212433,0.9402992013831519,0.9792294556178827,0.9557276766880799,0.9774132416102267,0.9515314529878088
64,16,0.0001,0.5040394633376287,-0.0071631322919602615,0.9790615961900188,0.9553642958055463,0.5668325293714737,0.2811328450519747
64,16,0.0005,0.9680505703942067,0.9314430673874391,0.982647977293921,0.9631620798018745,0.9808751217251919,0.959417910982503
64,16,0.001,0.9691258949303595,0.9338171967280614,0.988676215684437,0.9758402256623774,0.9808541475209956,0.9593753948704862
64,32,0.0001,0.638267189523106,0.42209754136260164,0.9810427233250142,0.9594740609922231,0.9056035422217933,0.7988913256020537
64,32,0.0005,0.9642516929815649,0.923355078505432,0.9867152946186427,0.9716021958078822,0.9755976037038169,0.9478742947500991
64,32,0.001,0.9810623532929692,0.9595312151838725,0.989517877673905,0.9774764455503001,0.985045323939115,0.9679738007795406
64,64,0.0001,0.8579576222191224,0.7588504361546136,0.9872413175821283,0.9726708546986659,0.9734060926313184,0.9427363333998889
64,64,0.0005,0.9758926525931005,0.9480700807937591,0.9899401818189014,0.9784090384800322,0.980894685898854,0.9590740514678743
64,64,0.001,0.9744579465245407,0.9449237845820972,0.9886765997519346,0.9758955135341684,0.9851149072877483,0.9685081294230048
128,8,0.0001,0.3762568562052712,0.013200498919774721,0.8315335633521066,0.5515758174626736,0.3774312249556499,0.031607331633761164
128,8,0.0005,0.572415828775546,0.29873634759463,0.9765294391786169,0.9499854650748438,0.5850215076354367,0.3305223671504416
128,8,0.001,0.5742024463171768,0.36025650504372897,0.9885270260557841,0.9752754169712746,0.9793327903688743,0.9556891279339398
128,16,0.0001,0.397430579722254,0.00815411829158177,0.9737466781250582,0.9441577092621681,0.3716143306713808,0.0
128,16,0.0005,0.6790964051687692,0.47324272170141396,0.9785569972925199,0.9546019928572198,0.9727297278366872,0.9415684974062081
128,16,0.001,0.9705394347609743,0.9368521125496257,0.9884654476794363,0.9753860397373492,0.9801579607246608,0.9578282432773882
128,32,0.0001,0.4912400261696104,0.1877873998236782,0.9795241204396689,0.9562447252096676,0.6925040752690732,0.47244519831858395
128,32,0.0005,0.9629453943712102,0.9206248276520862,0.987938464547207,0.9742290562653118,0.9771605251968332,0.9510921754285823
128,32,0.001,0.9712950875624201,0.938312502781672,0.9894765053667586,0.9773873642099113,0.9839739058722307,0.965749634162454
128,64,0.0001,0.6605272958316414,0.36258063802512974,0.9879584785826595,0.9742155756279179,0.8669243391020262,0.7212333916998199
128,64,0.0005,0.9726025383752676,0.9410388318709487,0.989435325093361,0.977494246756954,0.9796291834943996,0.9563820249129676
128,64,0.001,0.9738886309164209,0.9438978755611469,0.9923245592321845,0.9836482687877003,0.9811895427543891,0.9595092039344831
256,8,0.0001,0.37579260365188216,0.015942790423400053,0.8564009091932516,0.592737885940886,0.3716143306713808,0.0
256,8,0.0005,0.5018993750516799,0.24375706589322133,0.9769922817014717,0.9505941429316791,0.5835456212934792,0.3146352653995531
256,8,0.001,0.43611300489017096,0.08968095781062214,0.9766968487446905,0.9500338078422473,0.9774345998819206,0.9515355572990405
256,16,0.0001,0.3948995749133448,0.017608227613392653,0.9683020688108145,0.9316870776180181,0.3716143306713808,0.0
256,16,0.0005,0.5005976387138694,0.1903892959418961,0.9831541782557028,0.9642304540475841,0.7722741469710837,0.6204433081911462
256,16,0.001,0.5607898491336974,0.3068142651912862,0.9893071096689044,0.9769037471350859,0.9764645304342473,0.9495103313254766
256,32,0.0001,0.3716143306713808,0.0,0.9755603298996874,0.9478799648859835,0.6286774507021525,0.4063350307144375
256,32,0.0005,0.7597012860904551,0.5925194421584,0.9876228255212244,0.973656215001384,0.9772669982820982,0.9514896515863297
256,32,0.001,0.9644418708498664,0.923787074849911,0.9891824166462189,0.9768366810423966,0.9812531072625174,0.959965352755462
256,64,0.0001,0.5832445797744251,0.2317959540842068,0.987685364066316,0.9736648306502788,0.6520595058967792,0.328820317929235
256,64,0.0005,0.9669966041297476,0.9293080212166748,0.9918601146450466,0.9825936913369976,0.9792064952819057,0.9553401526378685
256,64,0.001,0.9741013192589092,0.9443350419083826,0.9906584950219252,0.9800604935143659,0.9792270854186045,0.9552398670362177
