smiles,cov_crbn_label
N#CN1CCCC(c2ccnc(NC(=O)c3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)C1,1
O=C1CCC(c2ccc(NC(=O)c3conc3C3CCNC3)cc2)C(=O)N1,0
N#CN1CCCC(c2ccccc2-c2nc(C(=O)NC3CCC(=O)NC3=O)co2)C1,1
N#CN1CCC(c2ccc3c(C(=O)NC4CCC(=O)NC4=O)cccc3c2)C1,1
CCCOc1ccccc1CNS(=O)(=O)Nc1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0
N#CN1CCCC(c2cnn(-c3ccccc3C(=O)NC3CCC(=O)NC3=O)c2)C1,1
Cc1cc(C)c(Nc2nnc(SC3CCC(=O)NC3=O)s2)c(Cl)c1,0
O=C(Nc1ccc(Oc2cccc(F)c2F)nc1)c1ccc2c(c1)CNC2=O,0
N#CN1CCCC(c2cccc(-c3nc(C(=O)NC4CCC(=O)NC4=O)cs3)c2)C1,1
O=C1NC(=O)c2cc(S(=O)(=O)N(CCO)c3ccccc3)ccc21,0
N#CN1CCC(c2cncc(C(=O)Nc3ccc(C4CCC(=O)NC4=O)cc3)c2)C1,1
N#CN1CCCC(c2nnnn2-c2ccc(C(=O)NC3CCC(=O)NC3=O)cc2)C1,1
CCC1(CNC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,0
CC(NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O)C1CC1,0
O=C1CCC(Cc2cn(C3CCN(Cc4ccccc4)C3)nn2)C(=O)N1,0
O=C1CCC(NC(=O)c2nccnc2-c2ccncc2)C(=O)N1,0
O=C1CCC(NC(=O)c2nccnc2-c2ccnc(S(=O)(=O)F)c2)C(=O)N1,1
O=C1CCC(NC(=O)c2[nH]ncc2CNC(=O)C2CCCCC(=O)N2)C(=O)N1,0
CN1CCN(Cc2ccc(C(=O)NC3CCC(=O)NC3=O)s2)CC1,0
N#CN1CCC(c2cc3c(c(-c4cccc5c4CN(C4CCC(=O)NC4=O)C5=O)c2)CCC3=O)CC1,1
O=C(Nc1ncn(Cc2cccc(F)c2)n1)c1cccc2c1C(=O)NC2,0
N#CN1CCCC(c2ccccc2-n2ccc(=O)c(C(=O)NC3CCC(=O)NC3=O)n2)C1,1
N#CN1CCC(c2ccccc2-n2nnc(C(=O)NC3CCC(=O)NC3=O)n2)C1,1
Cc1cnc2cc(-c3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)ccn12,0
N#CN1CCCC(c2ccc(-n3cncc3C(=O)NC3CCC(=O)NC3=O)nc2)C1,1
N#CN1CCCC(c2csc(-c3n[nH]cc3C(=O)NC3CCC(=O)NC3=O)c2)C1,1
O=C1CCC(NC(=O)c2cn3c(S(=O)(=O)F)nnc3s2)C(=O)N1,1
Cc1c(C(=O)NC2CCC(=O)NC2=O)sc2nnc(S)n12,0
N#CN1CCCC(c2cccc3c2C(C(=O)Nc2ccc(C4CCC(=O)NC4=O)cc2)CC3)C1,1
O=C1CC(c2cccc(NC(=O)c3cc(F)cc4[nH]nnc34)c2)CC(=O)N1,0
COc1ccc2cc(C(=O)Nc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)ccc2n1,0
O=C1CCC(c2ccc(NC(=O)c3nccc4ccsc34)cc2)C(=O)N1,0
Cc1nc2c(cc1C(=O)NC1CCC(=O)NC1=O)c(C)nn2C,0
Cc1nn(C)c2ncc(C(=O)NC3CCC(=O)NC3=O)cc12,0
O=C1CCC(NC(=O)c2c[nH]c3ccc(-c4nn[nH]n4)cc23)C(=O)N1,0
O=C1CCC(c2ccc(NC(=O)Cn3nnnc3-c3ccsc3)cc2)C(=O)N1,0
O=C1CCC(NC(=O)c2nc3cc(S(=O)(=O)F)ccc3s2)C(=O)N1,1
O=C1CCC(NC(=O)c2nc3cc(F)ccc3s2)C(=O)N1,0
O=C1CCC(NC(=O)c2nc3c(S(=O)(=O)F)cccc3s2)C(=O)N1,1
O=C1CCC(NC(=O)c2nc3cccc(S(=O)(=O)F)c3s2)C(=O)N1,1
N#CN1CCCC(c2ccc3ccc(-c4cn(C5CCC(=O)NC5=O)nn4)cc3n2)C1,1
O=C1CCC(NC(=O)c2ccc(Cl)cc2N2CCCC2=O)C(=O)N1,0
O=C1CCC(N2C(=O)c3cc(S(=O)(=O)F)cc4cccc2c34)C(=O)N1,1
O=C1CCC(N2C(=O)c3cc(OS(=O)(=O)F)cc4cccc2c34)C(=O)N1,1
O=C1CCC(N2C(=O)c3cccc4cccc2c34)C(=O)N1,0
O=C1CCC(NC(=O)c2ccc3occ(S(=O)(=O)F)c3n2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc(S(=O)(=O)F)c3occc3n2)C(=O)N1,1
O=C1CCC(NC(=O)c2ccc3occc3n2)C(=O)N1,0
O=C1CCC(NC(=O)c2ccc3oc(S(=O)(=O)F)cc3n2)C(=O)N1,1
Nc1cccnc1Nc1ccc2c(c1)C(=O)NC2=O,0
O=C1CCC(NC(=O)c2cccc(NC(=O)CCCc3cccs3)c2)C(=O)N1,0
N#CN1CCC(c2cc(C(=O)Nc3ccc(C4CCC(=O)NC4=O)cc3)cc3c2CCOC3)C1,1
