smiles,cov_label,crbn_chemspace,source,cov_crbn_label
CCCC(NC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O)C(=O)O,0.0,1,open_database,0
O=C(O)CCCCNC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CC(C)(CNC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2)C(=O)O,0.0,1,open_database,0
CC(C)(CC(=O)O)NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.0,1,open_database,0
O=C(O)CCCCNC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0.0,1,open_database,0
CC(C)(CC(=O)O)NC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
CCCC(NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2)C(=O)O,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NCC4(F)CCCC4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NC4CCSCC4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
O=C1CCC(N2Cc3cc(C(=O)NCCc4cccnc4)ccc3C2=O)C(=O)N1,0.0,1,open_database,0
NCc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)c1,0.0,1,open_database,0
Nc1ccc(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0.0,1,open_database,0
NCc1ccc(NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0.0,1,open_database,0
NCc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1,0.0,1,open_database,0
Nc1ccccc1CNC(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0.0,1,open_database,0
Nc1cccc(CNC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)c1,0.0,1,open_database,0
