smiles,cov_crbn_label
N#CN1CCC(c2ccc(-c3nc(C(=O)NC4CCC(=O)NC4=O)c4n3CCOC4)cc2)C1,1
N#CN1CCCC(c2cc(Nc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)ncn2)C1,1
N#CN1CCCC(c2cnn(Cc3cn(C4CCC(=O)NC4=O)nn3)c2)C1,1
O=C1CCN(c2cccc(C(=O)Nc3cnn(C4CNCCOC4)c3)c2)C(=O)N1,0
O=C1CCC(NC(=O)c2cc(-c3cnccn3)[nH]n2)C(=O)N1,0
O=C1CCC(c2ccc(NC(=O)c3cc(Cl)c4c(c3)CCCN4)cc2)C(=O)N1,0
O=C1CCC(N2Cc3c(OCC(=O)N4CCCCC4)cccc3C2=O)C(=O)N1,0
O=C1CCC(n2cc(-c3cccnc3S(=O)(=O)F)nn2)C(=O)N1,1
O=C1CCC(n2cc(-c3cnccc3S(=O)(=O)F)nn2)C(=O)N1,1
O=C1CCC(n2cc(-c3cccnc3OS(=O)(=O)F)nn2)C(=O)N1,1
O=C1CCC(n2cc(-c3cncc(S(=O)(=O)F)c3)nn2)C(=O)N1,1
Cc1cc(F)ncc1-c1cn(C2CCC(=O)NC2=O)nn1,0
Cc1cnc(F)c(-c2cn(C3CCC(=O)NC3=O)nn2)c1,0
Nc1ncccc1-c1cn(C2CCC(=O)NC2=O)nn1,0
O=C1CCC(n2cc(-c3cncc(OS(=O)(=O)F)c3)nn2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc(Br)cnc2OCC2CC2)C(=O)N1,0
N#CN1CCC(c2cccc3c2CCCC3C(=O)Nc2ccc(C3CCC(=O)NC3=O)cc2)C1,1
N#CN1CCC(c2sccc2-c2cnc(C(=O)NC3CCC(=O)NC3=O)cn2)C1,1
Cn1c(S(=O)(=O)Nc2ccc(C3CCC(=O)NC3=O)cc2)cc2ccccc21,0
O=C1CCC(Nc2ncnc3c2nnn3C2CC2)C(=O)N1,0
N#CN1CCCC(c2ccc3c(c2)-c2sc(C(=O)NC4CCC(=O)NC4=O)cc2CC3)C1,1
N#CN1CCC(c2cnccc2-c2ccc(C(=O)NC3CCC(=O)NC3=O)s2)C1,1
N#CN1CCC(c2cc(-c3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)n(C3CC3)n2)C1,1
CCc1cn2nc(Cl)cc(Nc3ccc(N4CCC(=O)NC4=O)c(C)c3)c2n1,0
N#CN1CCC(c2ccc3c(c2)C(C(=O)Nc2cccc(C4CCC(=O)NC4=O)c2)CCC3)C1,1
N#CN1CCC(c2cccnc2-c2nc(C(=O)NC3CCC(=O)NC3=O)cs2)C1,1
O=C1CCC(N2Cc3c(ccc4c3OCC43CCCN(Cc4ccccc4)CC3)C2=O)C(=O)N1,0
O=C1CCC(N2Cc3cc(-c4cscn4)c(S(=O)(=O)F)cc3C2=O)C(=O)N1,1
O=C1CCC(N2Cc3cc(-c4csc(CO)n4)ccc3C2=O)C(=O)N1,0
O=C1CCC(N2Cc3cc(-c4csc(S(=O)(=O)F)n4)ccc3C2=O)C(=O)N1,1
O=C1CCC(N2Cc3cc(-c4csc(OS(=O)(=O)F)n4)ccc3C2=O)C(=O)N1,1
O=C1CCC(N2Cc3cc(-c4cscn4)ccc3C2=O)C(=O)N1,0
O=C1CCC(N2Cc3cc(-c4ncsc4OS(=O)(=O)F)ccc3C2=O)C(=O)N1,1
N#Cc1nc(-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cs1,0
O=C1CCC(N2Cc3cc(-c4ncsc4S(=O)(=O)F)ccc3C2=O)C(=O)N1,1
Cc1nn(C)c(C)c1-c1cc(C(=O)NC2CCC(=O)NC2=O)[nH]n1,0
CC1Cn2nc(C(=O)NC3CCC(=O)NC3=O)cc2C(=O)N1,0
N#CN1CCC(c2cccnc2NC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CC1,1
O=C1CCC(NC(=O)c2sc(S(=O)(=O)F)c3c2OCCO3)C(=O)N1,1
O=C1CCC(NC(=O)c2scc3c2OCCO3)C(=O)N1,0
O=C(CCn1cnnn1)NCc1cc(C(=O)NC2CCC(=O)NC2=O)on1,0
Cc1cnn(-c2c(C(=O)NC3CCC(=O)NC3=O)c(C)nn2C)c1,0
O=C1CCC(Sc2ccccc2)C(=O)N1,0
O=C1CCC(Sc2ccc(F)cc2)C(=O)N1,0
Cc1ccc(SC2CCC(=O)NC2=O)cc1,0
CCc1cn2c(C(=O)Nc3ccc(NC4CCC(=O)NC4=O)cc3)cccc2n1,0
N=S1(=O)CCCc2ncnc(Nc3ccc(C4CCC(=O)NC4=O)cc3)c21,0
O=C1CCC(N2Cc3c(ccc(S(=O)(=O)F)c3C=C3CCOC3)C2=O)C(=O)N1,1
O=C1CCC(N2Cc3c(C=C4CCOC4)cccc3C2=O)C(=O)N1,0
O=C1CCC(N2Cc3c(C=C4CCOC4)cc(S(=O)(=O)F)cc3C2=O)C(=O)N1,1
O=C1CCN(c2cccc(C(=O)N3CCc4cc(OS(=O)(=O)F)sc4C3)c2)C(=O)N1,1
O=C1CCN(c2cccc(C(=O)N3CCc4c(OS(=O)(=O)F)csc4C3)c2)C(=O)N1,1
O=C1CCN(c2cccc(C(=O)N3Cc4sccc4CC3CO)c2)C(=O)N1,0
O=C(CCC1CCCOC1)NCc1ccc(C(=O)NC2CCC(=O)NC2=O)o1,0
CC1CN(Cc2ccc(C(=O)NC3CCC(=O)NC3=O)cc2)CC(C)O1,0
CCN1CCOC(C(=O)NCc2ccoc2C(=O)NC2CCC(=O)NC2=O)C1,0
N#CN1CCC(c2ccc3c(c2)OCC(Nc2ccc(N4CCC(=O)NC4=O)cc2)C3)C1,1
O=C1CCC(Nc2ccc(NC(=O)c3csc4c(O)ccnc34)cc2)C(=O)N1,0
COc1ccc2nc(C(=O)Nc3ccc4c(c3)CN(C3CCC(=O)NC3=O)C4=O)ccc2c1,0
CCC1CN(C(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CCN1,0
CC1CNCC(C)N1C(=O)c1ccc2c(c1)CN(C1CCC(=O)NC1=O)C2=O,0
O=C1CCC(NC(=O)c2cc3n(n2)CCNS3(=O)=O)C(=O)N1,0
Cc1ccc(NC(=O)NCc2cccc(C3CCC(=O)NC3=O)c2)cc1Cl,0
N#CN1CCC(c2ccccc2-c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)C1,1
O=C1CCC(N2Cc3ccc(Nc4ncnc5[nH]ccc45)cc3C2=O)C(=O)N1,0
NC1CCCc2c(C(=O)Nc3ccc(NC4CCC(=O)NC4=O)cc3)n[nH]c21,0
N#CN1CCC(c2cccc(-n3ccc(C(=O)NC4CCC(=O)NC4=O)n3)c2)C1,1
NC1CCCC(CNC(=O)c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)C1,0
COc1cc(-n2cccc2)c(Cl)cc1C(=O)NC1CCC(=O)NC1=O,0
O=C1CCC(NC(=O)c2ccc(Cl)cc2NCCCn2cccn2)C(=O)N1,0
N#CN1CCC(c2ccc3c(c2)OCC(NC(=O)c2cccc(N4CCC(=O)NC4=O)c2)C3)C1,1
CC1CCN(S(=O)(=O)Nc2ccc(C3CC(=O)NC(=O)C3)cc2)C1,0
CC1CCCN1S(=O)(=O)Nc1ccc(C2CC(=O)NC(=O)C2)cc1,0
C=CC(=O)Nc1ccccc1CC(=O)N1CCCC2(C1)NC(=O)NC2=O,1
CC1c2nc(Cl)nc(N(C)C3CCC(=O)NC3=O)c2CS1(=O)=O,0
O=C1CCC(NC(=O)c2cc(Oc3ccccc3Cl)ccn2)C(=O)N1,0
N#CN1CCC(c2ccccc2-c2nc(C(=O)NC3CCC(=O)NC3=O)c3n2CCOC3)C1,1
N#CN1CCC(c2cccc(-c3cnc(C(=O)NC4CCC(=O)NC4=O)o3)c2)CC1,1
CN(C)c1ccc(N=Nc2ccccc2C(=O)NC2CCC(=O)NC2=O)cc1,0
CC1(C)CN(CCc2cn(C3CCC(=O)NC3=O)nn2)CCS1,0
CCC1CCCN1C(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0
O=C1CCC(NC(=O)c2nc(C3CC3)n(-c3ccccc3)n2)C(=O)N1,0
N#CN1CCC(c2cc(Nc3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)ncn2)CC1,1
O=C1CCC(NC(=O)c2cc3cccc(OS(=O)(=O)F)n3n2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3c(S(=O)(=O)F)cccn3n2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3cc(Cl)ccn3n2)C(=O)N1,0
O=C1CCC(NC(=O)c2cc3cccc(S(=O)(=O)F)n3n2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3ccc(S(=O)(=O)F)cn3n2)C(=O)N1,1
Cc1cccn2nc(C(=O)NC3CCC(=O)NC3=O)cc12,0
O=C1CCC(NC(=O)c2ccc(-c3ccccc3)cn2)C(=O)N1,0
CC1CNc2[nH]nc(C(=O)Nc3ccc(C4CCC(=O)NC4=O)cc3)c2C1,0
N#CN1CCC(c2ccn(-c3cncc(-c4cccc(N5CCC(=O)NC5=O)c4)c3)n2)CC1,1
Cc1c(C(=O)NC2CCC(=O)NC2=O)nnn1CCOc1ccc(F)cc1,0
O=C1CCC(NC(=O)c2n[nH]c3nccc(Cl)c23)C(=O)N1,0
Cc1cnc2[nH]nc(C(=O)NC3CCC(=O)NC3=O)c2c1,0
Cn1nc(C(=O)NC2CCC(=O)NC2=O)c2cc(S(C)(=O)=O)cnc21,0
Cc1ccc(CCNc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)cc1,0
O=C1CCC(NC(=O)c2cc3cc(Br)cn3c(=O)[nH]2)C(=O)N1,0
N#CN1CCC(c2cn[nH]c2-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,1
O=C1CCC(N2C(=O)CC3(CCc4cc(S(=O)(=O)F)ccc43)C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)CC3(CCc4c(OS(=O)(=O)F)cccc43)C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)CC3(CCc4ccc(OS(=O)(=O)F)cc43)C2=O)C(=O)N1,1
O=C1CCC(N2C(=O)CC3(CCc4cc(OS(=O)(=O)F)ccc43)C2=O)C(=O)N1,1
O=C1CCC(CO)(N2C(=O)CC3(CCc4ccccc43)C2=O)C(=O)N1,0
O=C1CCN(c2ccc(-c3ccn(C4CC4(F)F)n3)cc2)C(=O)N1,0
N#CN1CCCC(c2cccc(-n3cc(C(=O)NC4CCC(=O)NC4=O)cn3)n2)C1,1
O=C1CCC(N2Cc3cc(C(=O)NCCc4cccnc4)ccc3C2=O)C(=O)N1,0
O=C1CCC(NC(=O)c2cc(C3CC3)nc3ccnn23)C(=O)N1,0
N#Cc1cnc(Nc2ccc(C3CCC(=O)NC3=O)cc2)c2sccc12,0
N#CN1CCC(c2cnn(C3CC3)c2-c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,1
CC1CCN(CC(C)c2nnc(-c3cccc4c3CNC4=O)o2)CC1,0
Cc1nc2ccccc2cc1C(=O)NN=Cc1cccc([N+](=O)[O-])c1,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1ccccc1Cl,0
Cc1ccc2nc(C)c(C(=O)NN=Cc3cccc(Cl)c3)cc2c1,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1ccccc1,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1cccc(O)c1,0
Cc1ccc2nc(C)c(C(=O)NN=Cc3cccc([N+](=O)[O-])c3)cc2c1,0
Cc1ccc2nc(C)c(C(=O)NN=Cc3cccc(O)c3)cc2c1,0
Cc1nc2ccccc2cc1C(=O)NN=Cc1ccccc1O,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1cccc([N+](=O)[O-])c1,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1cccc(Cl)c1,0
Cc1nc2c(C)cccc2cc1C(=O)NN=Cc1ccccc1O,0
Cc1nc2ccccc2cc1C(=O)NN=Cc1cccc(Cl)c1,0
Nc1ncccc1C(=O)NCc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0
O=C1CCC(N2Cc3ccc(CNC(=O)c4cnccc4O)cc3C2=O)C(=O)N1,0
O=C1CCC(NC(=O)c2ccc3c(S(=O)(=O)F)ncn3c2)C(=O)N1,1
O=C1CCC(NC(=O)c2ccc3cncn3c2)C(=O)N1,0
Cc1c(C(=O)NC2CCC(=O)NC2=O)ccc2cncn12,0
Cc1nc(Br)c2ccc(C(=O)NC3CCC(=O)NC3=O)cn12,0
O=C1CCC(NC(=O)c2cc(S(=O)(=O)F)c3cncn3c2)C(=O)N1,1
N#CN1CCCC(c2cc3c(cc2-c2ccc4c(c2)CN(C2CCC(=O)NC2=O)C4=O)CCO3)C1,1
CC1CCCCC1C(=O)Nc1ccc(C2CC(=O)NC(=O)C2)cc1,0
N#CN1CCCC(c2ccnc(-c3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)C1,1
N#CN1CCC(c2nc3nccc(Nc4cccc(N5CCC(=O)NC5=O)c4)n3n2)C1,1
O=C1CCC(N2Cc3c(NS(=O)(=O)c4ccco4)cccc3C2=O)C(=O)N1,0
N#CN1CCCC(c2cccc3c2C(C(=O)Nc2ccc(C4CCC(=O)NC4=O)cc2)CCC3)C1,1
CN1CCCC1(C)C(=O)Nc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2,0
O=C1CCC(NC(=O)c2ccnc(CNC(=O)c3occ4c3CCC4)c2)C(=O)N1,0
O=C1CCC(NC(=O)c2cc3cc(S(=O)(=O)F)cnc3cn2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3cccnc3c(S(=O)(=O)F)n2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3c(OS(=O)(=O)F)ccnc3cn2)C(=O)N1,1
O=C1CCC(NC(=O)c2cc3cccnc3c(O)n2)C(=O)N1,0
N#CN1CCC(c2cncc(C(=O)Nc3ccc(C4CCC(=O)NC4=O)cc3)c2)C1,1
O=C1CCC(N2Cc3cc(-n4cc(-c5nccs5)nn4)ccc3C2=O)C(=O)N1,0
N#CN1CCCC(c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)s2)C1,1
O=C1CCC(N2Cc3c(cccc3-c3ccc(F)c4[nH]ccc34)C2=O)C(=O)N1,0
O=C1CCC(N2Cc3c(cccc3-c3cccc4[nH]ccc34)C2=O)C(=O)N1,0
Cn1cc2c(C(=O)NC3CCC(=O)NC3=O)cc(F)cc2n1,0
O=C1CCC(NC(=O)c2ccc(S(=O)(=O)F)c3n[nH]cc23)C(=O)N1,1
O=C1CCC(NC(=O)c2cc(S(=O)(=O)F)cc3n[nH]cc23)C(=O)N1,1
Cc1c2c(C(=O)NC3CCC(=O)NC3=O)cccc2nn1C,0
O=C1CCC(N2Cc3cc(N4CCNCC4)ccc3C2=O)C(=O)N1,0
N#CN1CCC(c2ccc(-c3snnc3C(=O)NC3CCC(=O)NC3=O)cc2)C1,1
CCN1CCCC1CNc1ncccc1C(=O)NC1CCC(=O)NC1=O,0
C=CC(=O)NCC1(c2ccccc2)CC(NC(=O)c2cccc3c2C(=O)NC3)C1,1
O=C1CCC(NC(=O)c2cncc3c2CCNC3=O)C(=O)N1,0
O=C1CCC(N2C(=O)c3cccc(N4CC5(COC5)C4)c3C2=O)C(=O)N1,0
O=C1CCC(NC(=O)c2cnc3ccccc3c2)C(=O)N1,0
O=C1CCC(NC(=O)c2cc3cc(F)ccc3nc2O)C(=O)N1,0
CCOc1cc2ncc(C(=O)NC3CCC(=O)NC3=O)c(O)c2cc1OCC,0
Cc1ccc2cc(C(=O)NC3CCC(=O)NC3=O)cnc2c1,0
O=C1CCC(NC(=O)c2cnc3ccc(F)cc3c2C(F)(F)F)C(=O)N1,0
O=C1CCC(NC(=O)c2cnc3c(S(=O)(=O)F)cccc3c2)C(=O)N1,1
CCCOc1nc2ccccc2cc1C(=O)NC1CCC(=O)NC1=O,0
