smiles,cov_crbn_label
N#CN1CCCC(c2cccc(-c3cn[nH]c3C(=O)NC3CCC(=O)NC3=O)c2)C1,1
N#CN1CCC(c2ccnc(NC(=O)c3cccc4c3CN(C3CCC(=O)NC3=O)C4=O)c2)CC1,1
CC1(C(F)F)CC1C(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0
O=C1CCC(N2Cc3c(NC(=O)C4CC4C(F)F)cccc3C2=O)C(=O)N1,0
CC(C)C1CC1C(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,0
CC1(C(=O)Nc2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)CC1,0
N#CN1CCCC(c2ccc(-n3ccc(C(=O)NC4CCC(=O)NC4=O)n3)cc2)C1,1
O=C1CCC(N2Cc3c(cccc3-c3cccc4c3OCCNC4)C2=O)C(=O)N1,0
O=C1CCC(NC(=O)c2ccc(CNC(=O)c3ncc4ccccn34)o2)C(=O)N1,0
O=C1CCC(Nc2ccc(NC(=O)C3CCCc4cncn43)cc2)C(=O)N1,0
CCCCCCn1nc(C(=O)NC2CCC(=O)NC2=O)c2ccccc2c1=O,0
Cn1nc(C(=O)NC2CCC(=O)NC2=O)c2ccccc2c1=O,0
C=CC(=O)NCc1ccc(C(=O)Nc2ccc(CC3NC(=O)NC3=O)cc2)cc1,1
CC(Cn1cccn1)C(=O)NCc1cncc(C(=O)NC2CCC(=O)NC2=O)c1,0
Cn1cncc1CNc1cccc(C(=O)NC2CCC(=O)NC2=O)c1,0
CNc1ccccc1C(=O)NCCn1ccc(=O)[nH]c1=O,0
O=C1CCC(c2ccc(C3CCNCC3)c(OS(=O)(=O)F)c2)C(=O)N1,1
O=C1CCC(c2ccc(C3CCNCC3)cc2)C(=O)N1,0
N#CN1CCC(c2cc3c(s2)CN(C(=O)c2cccc(N4CCC(=O)NC4=O)c2)CC3)C1,1
N#CN1CCC(c2csc(-c3cccc(C(=O)NC4CCC(=O)NC4=O)c3)n2)CC1,1
N#CN1CCC(c2ncoc2-c2cccc(C(=O)NC3CCC(=O)NC3=O)c2)CC1,1
Cc1ccc(C(=O)N2C3CCCC2c2cn[nH]c2C3)cc1N1CCC(=O)NC1=O,0
O=C1CCC(N2Cc3cc(NCc4ccc5ccncc5c4)ccc3C2=O)C(=O)N1,0
CCC1(CNC(=O)c2ccc3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,0
CC(NC(=O)c1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O)C1CC1,0
N#CN1CCCC(c2ccccc2NC(=O)c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,1
O=C1CCC(NC(=O)c2cc3c(OS(=O)(=O)F)ccn3cn2)C(=O)N1,1
Cc1ccc2cc(C(=O)NC3CCC(=O)NC3=O)ncn12,0
O=C1CCC(NC(=O)c2cc3ccc(S(=O)(=O)F)n3cn2)C(=O)N1,1
N#CN1CCCC(c2ccc(C(=O)Nc3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)s2)C1,1
N#CN1CCCC(c2ccc3c(c2)C(C(=O)Nc2cccc(C4CCC(=O)NC4=O)c2)CCC3)C1,1
C=CC(=O)N1CCCC(n2ccc(=O)[nH]c2=O)C1,1
N#CN1CCC(c2cc(-c3ccc4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)c[nH]c2=O)C1,1
Cc1cc(NCC2CCCCc3ccccc32)ccc1N1CCC(=O)NC1=O,0
N#CN1CCC(c2cccc(-n3nc(C(=O)NC4CCC(=O)NC4=O)ccc3=O)c2)CC1,1
N#CN1CCCC(c2cccc(-c3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4)c2)C1,1
CC1(C)CCc2c1n[nH]c2C(=O)NC1CCC(=O)NC1=O,0
CC(C)=NNC(=O)c1cc2cccc(C)c2nc1C,0
O=C1CCC(NC(=O)c2ccc(-c3cccc4cccnc34)o2)C(=O)N1,0
O=C1CCC(N2Cc3cc(C(=O)NCCC4CCCNC4)ccc3C2=O)C(=O)N1,0
Nc1cccc2c1cnn2C1CCC(=O)NC1=O,0
O=C1CCC(n2ncc3ccccc32)C(=O)N1,0
O=C1CCC(n2ncc3cc(OS(=O)(=O)F)ccc32)C(=O)N1,1
O=C1CCC(N2Cc3c(cccc3-c3ccc4oc(=O)[nH]c4c3)C2=O)C(=O)N1,0
O=C1CCC(N2Cc3c(cccc3-c3cncc(OS(=O)(=O)F)n3)C2=O)C(=O)N1,1
O=C1CCC(N2Cc3c(ccc(S(=O)(=O)F)c3-c3cnccn3)C2=O)C(=O)N1,1
O=C1CCC(N2Cc3c(cc(S(=O)(=O)F)cc3-c3cnccn3)C2=O)C(=O)N1,1
Cc1cnc(-c2cccc3c2CN(C2CCC(=O)NC2=O)C3=O)cn1,0
O=C1CCC(N2Cc3c(cccc3-c3cnc(OS(=O)(=O)F)cn3)C2=O)C(=O)N1,1
O=C1CCC(NC(=O)c2cc(CNC(=O)C3Cc4ccccc43)on2)C(=O)N1,0
O=C1CCC(N2Cc3cc(CNC(=O)C(Cc4ccc([N+](=O)[O-])cc4)=NO)ccc3C2=O)C(=O)N1,0
O=C1CCC(N2Cc3cc(CNC(=O)C(Cc4ccc(Cl)cc4)=NO)ccc3C2=O)C(=O)N1,0
