batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gin_test_acc,gin_test_mcc,gat_test_acc,gat_test_mcc
16,8,0.001,42,0.9810174639331815,0.9598629014743407,0.9893697798025817,0.9775078909788601,0.9832953682611997,0.96469655479028
16,8,0.001,21,0.9700557103064067,0.9332312275483663,0.9832869080779945,0.9626826588757408,0.9811977715877437,0.9580771130468909
16,8,0.001,0,0.9658573596358119,0.9285528818881571,0.9878603945371776,0.9745782100115579,0.9749620637329287,0.9477559808247592
16,8,0.0005,42,0.979498861047836,0.9565744151052857,0.9916476841305999,0.9823033995878345,0.9802581624905087,0.9581400704344464
16,8,0.0005,21,0.9568245125348189,0.9056349330787817,0.9811977715877437,0.9580010019177322,0.9763231197771588,0.947026659837013
16,8,0.0005,0,0.9719271623672231,0.941421916163985,0.9833080424886191,0.9650973708348838,0.9749620637329287,0.9478279984888553
16,8,0.0001,42,0.5709946848899012,0.3560405540510065,0.9863325740318907,0.9710779858809212,0.958997722095672,0.9143754926495387
16,8,0.0001,21,0.3412256267409471,0.032776977768349404,0.9818941504178273,0.9596722278385573,0.9735376044568245,0.9408280956570163
16,8,0.0001,0,0.7632776934749621,0.5403271576553977,0.9681335356600911,0.9334483296644527,0.6160849772382397,0.16607137104998612
16,16,0.001,42,0.982536066818527,0.9631672821154953,0.9954441913439636,0.9903429227873781,0.9878511769172361,0.9742285831829576
16,16,0.001,21,0.9735376044568245,0.9408280956570163,0.9895543175487466,0.9767420007680264,0.9860724233983287,0.9689023062767511
16,16,0.001,0,0.9711684370257967,0.9397863059125181,0.9878603945371776,0.9745759467973687,0.9719271623672231,0.941250627471766
16,16,0.0005,42,0.9810174639331815,0.9598129724035422,0.9931662870159453,0.9855186616345574,0.982536066818527,0.9631042264793835
16,16,0.0005,21,0.9686629526462396,0.9304928244658238,0.9888579387186629,0.9751228123864679,0.9860724233983287,0.9689023062767511
16,16,0.0005,0,0.9704097116843703,0.9382188750015499,0.9817905918057663,0.9618611194242341,0.9711684370257967,0.9400281608387084
16,16,0.0001,42,0.9567198177676538,0.9093389067006693,0.9908883826879271,0.9807083609690881,0.9787395596051632,0.9549055915728277
16,16,0.0001,21,0.963091922005571,0.917621017900193,0.9860724233983287,0.9689644085967996,0.9658774373259053,0.9245529361056113
16,16,0.0001,0,0.8042488619119879,0.6539839358455258,0.9673748103186647,0.932149110442291,0.9726858877086495,0.9430612822554244
16,32,0.001,42,0.9855732725892179,0.9694160294600304,0.9939255884586181,0.9871191609742505,0.9939255884586181,0.9871639643524424
16,32,0.001,21,0.9784122562674095,0.9518165685037899,0.9867688022284122,0.9708683111979749,0.9867688022284122,0.9704377476166712
16,32,0.001,0,0.9772382397572079,0.9524109678384747,0.9878603945371776,0.9746122431519414,0.9878603945371776,0.9745903219587431
16,32,0.0005,42,0.9787395596051632,0.9549336396744311,0.9946848899012908,0.9887320186142156,0.9924069855732726,0.9838976539577466
16,32,0.0005,21,0.9853760445682451,0.9676933115754882,0.9916434540389972,0.9813572267792965,0.9811977715877437,0.9580771130468909
16,32,0.0005,0,0.9757207890743551,0.9493233449762577,0.9863429438543247,0.9715153783067445,0.9848254931714719,0.9684005323882628
16,32,0.0001,42,0.9688686408504176,0.9340364140692267,0.9908883826879271,0.9806766345039278,0.9757023538344722,0.9484968735208985
16,32,0.0001,21,0.9533426183844012,0.898066679605531,0.9874651810584958,0.9719992523886715,0.9811977715877437,0.9580771130468909
16,32,0.0001,0,0.960546282245827,0.9172729299122363,0.9726858877086495,0.9431444647282882,0.9734446130500759,0.944704424466492
16,64,0.001,42,0.9916476841305999,0.9822864953089154,0.9924069855732726,0.9839048713122969,0.9931662870159453,0.9855092569615655
16,64,0.001,21,0.979108635097493,0.9537388211034858,0.9874651810584958,0.9721614357373076,0.9811977715877437,0.9579773833805806
16,64,0.001,0,0.9863429438543247,0.9714719116374724,0.9863429438543247,0.9715685076811148,0.9802731411229135,0.9586732689154426
16,64,0.0005,42,0.9886104783599089,0.9758547587156446,0.9939255884586181,0.9871246858248981,0.9924069855732726,0.9839048713122969
16,64,0.0005,21,0.979108635097493,0.953351041002459,0.9874651810584958,0.9721103325513226,0.979108635097493,0.9532795147266787
16,64,0.0005,0,0.9878603945371776,0.9746122431519414,0.9878603945371776,0.974643935151517,0.9711684370257967,0.9400281608387084
16,64,0.0001,42,0.9719058466211086,0.9403583369240934,0.9908883826879271,0.9806761469412428,0.9840546697038725,0.9662101351035809
16,64,0.0001,21,0.9651810584958217,0.9223217782470686,0.9860724233983287,0.9690634633174047,0.9763231197771588,0.9470289139584577
16,64,0.0001,0,0.9643399089529591,0.9252473574569919,0.9817905918057663,0.9618854829381145,0.9719271623672231,0.9415857127793545
32,8,0.001,42,0.9802581624905087,0.9582166822825274,0.9870918754745635,0.9726174653513345,0.9810174639331815,0.959773308740785
32,8,0.001,21,0.9735376044568245,0.940800794520048,0.9902506963788301,0.9782254903375637,0.9784122562674095,0.9517380751652016
32,8,0.001,0,0.9688922610015175,0.9351693065096133,0.9863429438543247,0.9714141122035859,0.9757207890743551,0.9493916283898435
32,8,0.0005,42,0.979498861047836,0.9565744151052857,0.9802581624905087,0.9582166822825274,0.9802581624905087,0.9581732666781944
32,8,0.0005,21,0.9589136490250696,0.9099493923712664,0.9832869080779945,0.9626584216484754,0.979108635097493,0.9533166667156845
32,8,0.0005,0,0.9681335356600911,0.933327004362301,0.9840667678300455,0.9666272424342623,0.9764795144157815,0.950956497314193
32,8,0.0001,42,0.5755504935459378,0.361961504664725,0.976461655277145,0.9500658228324392,0.381169324221716,0.0
32,8,0.0001,21,0.35584958217270196,0.038428609174407546,0.9442896935933147,0.8754828369895805,0.9735376044568245,0.9408280956570163
32,8,0.0001,0,0.7594840667678301,0.5702599354895594,0.9688922610015175,0.9350876145845588,0.40819423368740515,0.08093997673241311
32,16,0.001,42,0.9810174639331815,0.9598629014743407,0.9924069855732726,0.9838976539577466,0.9757023538344722,0.9485398678572926
32,16,0.001,21,0.9707520891364902,0.9346895226733086,0.9916434540389972,0.9814553529970166,0.9805013927576601,0.9564498279380483
32,16,0.001,0,0.9704097116843703,0.9382188750015499,0.9863429438543247,0.9715685076811148,0.9711684370257967,0.9400281608387084
32,16,0.0005,42,0.9749430523917996,0.9468026179178325,0.9931662870159453,0.9855092569615655,0.982536066818527,0.9631672821154953
32,16,0.0005,21,0.9693593314763231,0.931986818771202,0.9874651810584958,0.9720358401689447,0.9881615598885793,0.9735773734333516
32,16,0.0005,0,0.9628224582701063,0.9220771562367082,0.988619119878604,0.9761876339120971,0.9711684370257967,0.9400281608387084
32,16,0.0001,42,0.381169324221716,0.0,0.9924069855732726,0.9839874009595209,0.381169324221716,0.0
32,16,0.0001,21,0.9589136490250696,0.908838226354245,0.9846796657381616,0.965771835386293,0.9296657381615598,0.8464365786757787
32,16,0.0001,0,0.8505311077389985,0.7043622286088413,0.9650986342943855,0.9273800590959952,0.3945371775417299,0.0
32,32,0.001,42,0.982536066818527,0.9631672821154953,0.9946848899012908,0.9887320186142156,0.9916476841305999,0.9823033995878345
32,32,0.001,21,0.9832869080779945,0.9630149573166689,0.9916434540389972,0.9813433184961847,0.9860724233983287,0.9689644085967996
32,32,0.001,0,0.9757207890743551,0.9493233449762577,0.9863429438543247,0.9716312645753805,0.9764795144157815,0.950956497314193
32,32,0.0005,42,0.9749430523917996,0.9468026179178325,0.9946848899012908,0.9887303802344644,0.9802581624905087,0.9581041287657208
32,32,0.0005,21,0.9575208913649025,0.9066896267734248,0.9923398328690808,0.982903432688878,0.9805013927576601,0.9564861631023699
32,32,0.0005,0,0.9681335356600911,0.933327004362301,0.9855842185128983,0.9698672845502232,0.9764795144157815,0.9507328303265148
32,32,0.0001,42,0.381169324221716,0.0,0.9908883826879271,0.9806761469412428,0.9711465451784358,0.9387261918805138
32,32,0.0001,21,0.9310584958217271,0.8464365643016877,0.9874651810584958,0.9719942078056202,0.9721448467966574,0.937751111745934
32,32,0.0001,0,0.7253414264036419,0.5470779998019766,0.9696509863429439,0.9367306677584986,0.9719271623672231,0.941421916163985
32,64,0.001,42,0.9810174639331815,0.9598629014743407,0.9924069855732726,0.9839139380679781,0.9916476841305999,0.9823033995878345
32,64,0.001,21,0.9798050139275766,0.9548893760266213,0.9909470752089137,0.9800556535701451,0.9874651810584958,0.9720684494894523
32,64,0.001,0,0.9764795144157815,0.950956497314193,0.9840667678300455,0.966848207908958,0.9711684370257967,0.9400281608387084
32,64,0.0005,42,0.9810174639331815,0.9598129724035422,0.9886104783599089,0.9758493333483045,0.9886104783599089,0.9758678015186868
