DATAID,SMILES,Name,IUPAC,StdInChl,StdInChIKey,Pharmacophore,Core,ResearchStage,TherapeuticUsage,logP_exp,logD_exp,logS_exp,KineticSolubility,ThermodynamicSolubility,RecruitingProtein_Affinity,IsActive,ModeOfAction,PrimaryTarget,PrimaryTargetDegInfo,DegronType,SecondaryTarget,SecondaryTargetDegInfo,RecruitingProtein,RecruitingProtein_UniProtID,AntiCellProliferation,TernaryEC50,PK,ADMET_profile,SafetyPharmacology,InVivoPD,SourceAddress_Website,PDB,glueCodeInPDB,CryoEM,Formula,MolWeight,ExactMass,clogP,logS,tPSA,HBACount,HBDCount,RotatableBondCount,Rings,AliphaticRings,AromaticRings,AliphaticHeteroRings,AromaticHeteroRings,HeavyAtoms,HeteroAtoms,SpiroAtoms,BridgeheadAtoms
53,CC(=O)N([C@H]1CCC(=O)NC1=O)[C@@H](C(=O)NC1CCCCC1)C1=CC=C(C)C=C1,"(R,S)-2b","(2R)-2-[acetyl-[(3S)-2,6-dioxopiperidin-3-yl]amino]-N-cyclohexyl-2-(4-methylphenyl)acetamide","InChI=1S/C22H29N3O4/c1-14-8-10-16(11-9-14)20(22(29)23-17-6-4-3-5-7-17)25(15(2)26)18-12-13-19(27)24-21(18)28/h8-11,17-18,20H,3-7,12-13H2,1-2H3,(H,23,29)(H,24,27,28)/t18-,20+/m0/s1",JEPJFAOKUIJZTO-AZUAARDMSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,"Assay: microscale thermophoresis, IC50 = 39.8±5.8 μM",1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.mencom.2022.11.013,,,,C22H29N3O4,399.49,399.2158,2.14,-3.08,95.58,7,2,5,3,2,1,1,0,29,7,0,0
62,CC(=O)N1CCN(C2=C(F)C=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)CC1,44,"5-(4-acetylpiperazin-1-yl)-2-(2,6-dioxopiperidin-3-yl)-6-fluoroisoindole-1,3-dione","InChI=1S/C19H19FN4O5/c1-10(25)22-4-6-23(7-5-22)15-9-12-11(8-13(15)20)18(28)24(19(12)29)14-2-3-16(26)21-17(14)27/h8-9,14H,2-7H2,1H3,(H,21,26,27)",ZMDBRAWGJMRYFZ-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,NanoBRET-based intracellular CRBN binding assay,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,NanoBRET based ternary complex formation assay,,,,,https://doi.org/10.1038/s41557-023-01379-8,,,,C19H19FN4O5,402.38,402.1339,-0.10,-1.47,107.10,9,1,2,4,3,1,3,0,29,10,0,0
63,CC(=O)N1CCN(C2=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=CC=C2)CC1,25,"4-(4-acetylpiperazin-1-yl)-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione","InChI=1S/C19H20N4O5/c1-11(24)21-7-9-22(10-8-21)13-4-2-3-12-16(13)19(28)23(18(12)27)14-5-6-15(25)20-17(14)26/h2-4,14H,5-10H2,1H3,(H,20,25,26)",CMUGGXRWRAFAGN-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,,1,non-covalent,ZNF276;ZFP91;E4F1;IKZF3Q147E;SALL4;ZNF517,U2OS cells stably expressing ZF degrons fused to eGFP,G-loop_beta-hairpin,,,CRBN,Q96SW2,,NanoBRET based ternary complex formation assay,,,,,https://doi.org/10.1038/s41557-023-01379-8,,,,C19H20N4O5,384.39,384.1434,-0.24,-1.26,107.10,9,1,2,4,3,1,3,0,28,9,0,0
64,CC(=O)N1CCN(C2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)CC1,39,"5-(4-acetylpiperazin-1-yl)-2-(2,6-dioxopiperidin-3-yl)isoindole-1,3-dione","InChI=1S/C19H20N4O5/c1-11(24)21-6-8-22(9-7-21)12-2-3-13-14(10-12)19(28)23(18(13)27)15-4-5-16(25)20-17(15)26/h2-3,10,15H,4-9H2,1H3,(H,20,25,26)",FUJMSTIXKJOXPL-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,NanoBRET-based intracellular CRBN binding assay,1,non-covalent,ZNF276,U2OS cells stably expressing ZF degrons fused to eGFP,G-loop_beta-hairpin,,,CRBN,Q96SW2,,NanoBRET based ternary complex formation assay,,,,,https://doi.org/10.1038/s41557-023-01379-8,,,,C19H20N4O5,384.39,384.1434,-0.24,-1.26,107.10,9,1,2,4,3,1,3,0,28,9,0,0
68,CC(=O)NC1=CC(C(C)(C)C)=CC(NC2=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=CC=C2)=C1,SJPYT-231,"N-[3-tert-butyl-5-[[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]amino]phenyl]acetamide","InChI=1S/C25H26N4O5/c1-13(30)26-15-10-14(25(2,3)4)11-16(12-15)27-18-7-5-6-17-21(18)24(34)29(23(17)33)19-8-9-20(31)28-22(19)32/h5-7,10-12,19,27H,8-9H2,1-4H3,(H,26,30)(H,28,31,32)",KUYXUOZPCBPBFN-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,,1,non-covalent,GSPT1,Assay: WB ;GSPT1 loss at 10 μM(%±SD): 15 ± 2.1,G-loop_beta-hairpin,,,CRBN,Q96SW2,,Assay: TR-FRET; EC50=3.2 ± 0.2 nM,,,,,https://doi.org/10.1021/acsmedchemlett.2c00223,,,,C25H26N4O5,462.51,462.1903,3.09,-4.69,124.68,9,3,4,4,2,2,2,0,34,9,0,0
69,CC(=O)NC1=CC(C(C)(C)C)=CC(OC2=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=CC=C2)=C1,SJPYT-217,"N-[3-tert-butyl-5-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]oxyphenyl]acetamide","InChI=1S/C25H25N3O6/c1-13(29)26-15-10-14(25(2,3)4)11-16(12-15)34-19-7-5-6-17-21(19)24(33)28(23(17)32)18-8-9-20(30)27-22(18)31/h5-7,10-12,18H,8-9H2,1-4H3,(H,26,29)(H,27,30,31)",NFBBXPBQJJYUTN-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,,1,non-covalent,GSPT1,Assay: WB ; GSPT1 loss at 10 μM(%±SD): 31 ± 9.8,G-loop_beta-hairpin,,,CRBN,Q96SW2,,Assay: TR-FRET; EC50=11 ± 0.6 nM,,,,,https://doi.org/10.1021/acsmedchemlett.2c00223,,,,C25H25N3O6,463.49,463.1743,3.14,-4.56,121.88,9,2,4,4,2,2,2,0,34,9,0,0
70,CC(=O)NC1=CC(SCC2CCC(=O)NC2=O)=CC=C1,14u,"N-[3-[(2,6-dioxopiperidin-3-yl)methylsulfanyl]phenyl]acetamide","InChI=1S/C14H16N2O3S/c1-9(17)15-11-3-2-4-12(7-11)20-8-10-5-6-13(18)16-14(10)19/h2-4,7,10H,5-6,8H2,1H3,(H,15,17)(H,16,18,19)",BGHAVCLWQUSZNI-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,Assay:microscale thermophoresis;Ki = 3.3 ± 1.7 μM,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,Cell:MOLP-8;IC50 = 49.50 ± 19.97 μM,,,,,,https://doi.org/10.1016/j.ejmech.2022.114990,,,,C14H16N2O3S,292.36,292.0882,1.79,-2.61,75.27,5,2,4,2,1,1,1,0,20,6,0,0
71,CC(=O)NC1=CC=C(S(=O)(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C=C1,Z5000147067,"N-[4-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]sulfamoyl]phenyl]acetamide","InChI=1S/C21H20N4O6S/c1-12(26)22-14-2-5-16(6-3-14)32(30,31)24-15-4-7-17-13(10-15)11-25(21(17)29)18-8-9-19(27)23-20(18)28/h2-7,10,18,24H,8-9,11H2,1H3,(H,22,26)(H,23,27,28)",QRPYYGIYQSYWCJ-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,clogP=0.44,,,,,Assay: FP; IC50=70nm    Assay: NanoBRET in HEK293T; IC50=2510nm,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.chembiol.2024.11.002,,,,C21H20N4O6S,456.48,456.1104,1.21,-3.16,141.75,10,3,5,4,2,2,2,0,32,11,0,0
72,CC(=O)NC1=CC=C(SCC2CCC(=O)NC2=O)C=C1,14v,"N-[4-[(2,6-dioxopiperidin-3-yl)methylsulfanyl]phenyl]acetamide","InChI=1S/C14H16N2O3S/c1-9(17)15-11-3-5-12(6-4-11)20-8-10-2-7-13(18)16-14(10)19/h3-6,10H,2,7-8H2,1H3,(H,15,17)(H,16,18,19)",JHMBNUXUWSOKCO-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,Assay:microscale thermophoresis;Ki = 3.0 ± 1.5 μM,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,Cell:MOLP-8;IC50 = 38.32 ± 5.66 μM,,,,,,https://doi.org/10.1016/j.ejmech.2022.114990,,,,C14H16N2O3S,292.36,292.0882,1.79,-2.61,75.27,5,2,4,2,1,1,1,0,20,6,0,0
73,CC(=O)NC1=CC=C2C(=O)N(C3CCC(=O)NC3=O)CC2=C1,48,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]acetamide","InChI=1S/C15H15N3O4/c1-8(19)16-10-2-3-11-9(6-10)7-18(15(11)22)12-4-5-13(20)17-14(12)21/h2-3,6,12H,4-5,7H2,1H3,(H,16,19)(H,17,20,21)",NSNOZCIBZJXIAD-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,IKZF2,17% degradation at 100 nM,G-loop_beta-hairpin,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.3c01736,,,,C15H15N3O4,301.30,301.1063,0.41,-1.53,95.58,7,2,2,3,2,1,2,0,22,7,0,0
