DATAID,SMILES,Name,IUPAC,StdInChl,StdInChIKey,Pharmacophore,Core,ResearchStage,TherapeuticUsage,logP_exp,logD_exp,logS_exp,KineticSolubility,ThermodynamicSolubility,RecruitingProtein_Affinity,IsActive,ModeOfAction,PrimaryTarget,PrimaryTargetDegInfo,DegronType,SecondaryTarget,SecondaryTargetDegInfo,RecruitingProtein,RecruitingProtein_UniProtID,AntiCellProliferation,TernaryEC50,PK,ADMET_profile,SafetyPharmacology,InVivoPD,SourceAddress_Website,PDB,glueCodeInPDB,CryoEM,Formula,MolWeight,ExactMass,clogP,logS,tPSA,HBACount,HBDCount,RotatableBondCount,Rings,AliphaticRings,AromaticRings,AliphaticHeteroRings,AromaticHeteroRings,HeavyAtoms,HeteroAtoms,SpiroAtoms,BridgeheadAtoms
348,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C=C1Cl,CC-885,"1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea","InChI=1S/C22H21ClN4O4/c1-12-2-4-15(9-17(12)23)25-22(31)24-10-13-3-5-16-14(8-13)11-27(21(16)30)18-6-7-19(28)26-20(18)29/h2-5,8-9,18H,6-7,10-11H2,1H3,(H2,24,25,31)(H,26,28,29)",DOEVCIHTTTYVCC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,SPR;Kd=347 nM,1,non-covalent,GSPT1,,G-loop_beta-hairpin,,,CRBN,Q96SW2,"KG-1;I C50= 0.0007
KG-1α; IC50= 0.0008
KASUMI-1; IC50=0.0006
NB4;IC50=0.0006
MV-4-11;IC50=0.0006
MOLM-13;IC50=0.0007
HL-60;IC50=0.0005
U-937;IC50=0.0016
OCI-AML2;IC50=0.0012
OCI-AML3;IC50=0.0016
THLE-2; IC50=0.00104
PBMC; IC50=0.0011",,,,,,https://doi.org/10.1038/nature18611,5HXB,5HXB:85C,,C22H21ClN4O4,440.89,440.1251,2.73,-4.34,107.61,8,3,4,4,2,2,2,0,31,9,0,0
348,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C=C1Cl,1(CC-885),"1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea","InChI=1S/C22H21ClN4O4/c1-12-2-4-15(9-17(12)23)25-22(31)24-10-13-3-5-16-14(8-13)11-27(21(16)30)18-6-7-19(28)26-20(18)29/h2-5,8-9,18H,6-7,10-11H2,1H3,(H2,24,25,31)(H,26,28,29)",DOEVCIHTTTYVCC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,Assay: FP; IC50 = 0.15 ± 0.07 μM; Assay: TEA; IC50 = 0.01 ± 0.01 μM,1,non-covalent,GSPT1;IKZF1;IKZF3,,G-loop_beta-hairpin,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1002/cbic.202300351,,,,C22H21ClN4O4,440.89,440.1251,2.73,-4.34,107.61,8,3,4,4,2,2,2,0,31,9,0,0
348,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C=C1Cl,CC-885,"1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea","InChI=1S/C22H21ClN4O4/c1-12-2-4-15(9-17(12)23)25-22(31)24-10-13-3-5-16-14(8-13)11-27(21(16)30)18-6-7-19(28)26-20(18)29/h2-5,8-9,18H,6-7,10-11H2,1H3,(H2,24,25,31)(H,26,28,29)",DOEVCIHTTTYVCC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,GSPT1;IKZF3,"GSPT1 pEC50(Y min%) = 8.8 (-4)
Aiolos pEC50(Y min%) = 8.3 (4)",G-loop_beta-hairpin,,,CRBN,Q96SW2,,Docking and Rescoring Protocols: pIC50 = 8.2,,,,,https://doi.org/10.1021/acs.jcim.2c01386,,,,C22H21ClN4O4,440.89,440.1251,2.73,-4.34,107.61,8,3,4,4,2,2,2,0,31,9,0,0
348,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)C=C1Cl,CC-885,"1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]methyl]urea","InChI=1S/C22H21ClN4O4/c1-12-2-4-15(9-17(12)23)25-22(31)24-10-13-3-5-16-14(8-13)11-27(21(16)30)18-6-7-19(28)26-20(18)29/h2-5,8-9,18H,6-7,10-11H2,1H3,(H2,24,25,31)(H,26,28,29)",DOEVCIHTTTYVCC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,GSPT1,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1002/anie.202505053,,,,C22H21ClN4O4,440.89,440.1251,2.73,-4.34,107.61,8,3,4,4,2,2,2,0,31,9,0,0
349,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)N=NC3=C2)C=C1,23c,"1-[[3-(2,6-dioxopiperidin-3-yl)-4-oxo-1,2,3-benzotriazin-7-yl]methyl]-3-(4-methylphenyl)urea","InChI=1S/C21H20N6O4/c1-12-2-5-14(6-3-12)23-21(31)22-11-13-4-7-15-16(10-13)25-26-27(20(15)30)17-8-9-18(28)24-19(17)29/h2-7,10,17H,8-9,11H2,1H3,(H2,22,23,31)(H,24,28,29)",USWDBQRILPTSCJ-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,KG-1; EC50=2.0 ± 0.56nM,,,,,,https://doi.org/10.1016/j.bioorg.2022.105923,,,,C21H20N6O4,420.43,420.1546,1.40,-3.53,135.08,10,3,4,4,1,3,1,1,31,10,0,0
350,CC1=CC=C(NC(=O)NCC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)N=NC3=C2)C=C1Cl,23a,"1-(3-chloro-4-methylphenyl)-3-[[3-(2,6-dioxopiperidin-3-yl)-4-oxo-1,2,3-benzotriazin-7-yl]methyl]urea","InChI=1S/C21H19ClN6O4/c1-11-2-4-13(9-15(11)22)24-21(32)23-10-12-3-5-14-16(8-12)26-27-28(20(14)31)17-6-7-18(29)25-19(17)30/h2-5,8-9,17H,6-7,10H2,1H3,(H2,23,24,32)(H,25,29,30)",WJBQWPQUXRYNLP-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,KG-1; EC50=0.064 ± 0.018nM TMD-8;EC50=0.132 ± 0.022nM,,,,,,https://doi.org/10.1016/j.bioorg.2022.105923,,,,C21H19ClN6O4,454.87,454.1156,2.05,-4.20,135.08,10,3,4,4,1,3,1,1,32,11,0,0
351,CC1=CC=C(NC(=O)NCC2=CC=C3CN(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1Cl,9e,"1-(3-chloro-4-methylphenyl)-3-[[2-(2,6-dioxopiperidin-3-yl)-3-oxo-1H-isoindol-5-yl]methyl]urea","InChI=1S/C22H21ClN4O4/c1-12-2-5-15(9-17(12)23)25-22(31)24-10-13-3-4-14-11-27(21(30)16(14)8-13)18-6-7-19(28)26-20(18)29/h2-5,8-9,18H,6-7,10-11H2,1H3,(H2,24,25,31)(H,26,28,29)",JZFGEKDBVDHOTP-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,GSPT1,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.ejmech.2023.115580,,,,C22H21ClN4O4,440.89,440.1251,2.73,-4.34,107.61,8,3,4,4,2,2,2,0,31,9,0,0
352,CC1=CC=C(NC(=O)NCC2=CC=C3N=NN(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1,22c,"1-[[3-(2,6-dioxopiperidin-3-yl)-4-oxo-1,2,3-benzotriazin-6-yl]methyl]-3-(4-methylphenyl)urea","InChI=1S/C21H20N6O4/c1-12-2-5-14(6-3-12)23-21(31)22-11-13-4-7-16-15(10-13)20(30)27(26-25-16)17-8-9-18(28)24-19(17)29/h2-7,10,17H,8-9,11H2,1H3,(H2,22,23,31)(H,24,28,29)",OVGJPTOOJQLTTA-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,KG-1; EC50=0.020 ± 0.0020nM TMD-8;EC50=0.275 ± 0.025nM,,,,,,https://doi.org/10.1016/j.bioorg.2022.105923,,,,C21H20N6O4,420.43,420.1546,1.40,-3.53,135.08,10,3,4,4,1,3,1,1,31,10,0,0
353,CC1=CC=C(NC(=O)NCC2=CC=C3N=NN(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1Cl,22a,"1-(3-chloro-4-methylphenyl)-3-[[3-(2,6-dioxopiperidin-3-yl)-4-oxo-1,2,3-benzotriazin-6-yl]methyl]urea","InChI=1S/C21H19ClN6O4/c1-11-2-4-13(9-15(11)22)24-21(32)23-10-12-3-5-16-14(8-12)20(31)28(27-26-16)17-6-7-18(29)25-19(17)30/h2-5,8-9,17H,6-7,10H2,1H3,(H2,23,24,32)(H,25,29,30)",MSXMWXLIMDYAFF-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,KG-1; EC50=0.04 ± 0.012nM TMD-8;EC50=0.135 ± 0.034nM,,,,,,https://doi.org/10.1016/j.bioorg.2022.105923,,,,C21H19ClN6O4,454.87,454.1156,2.05,-4.20,135.08,10,3,4,4,1,3,1,1,32,11,0,0
354,CC1=CC=C(NC(=O)NCC2=CC=CC=C2C(=O)NC2CCC(=O)NC2=O)C=C1Cl,42,"2-[[(3-chloro-4-methylphenyl)carbamoylamino]methyl]-N-(2,6-dioxopiperidin-3-yl)benzamide","InChI=1S/C21H21ClN4O4/c1-12-6-7-14(10-16(12)22)24-21(30)23-11-13-4-2-3-5-15(13)19(28)25-17-8-9-18(27)26-20(17)29/h2-7,10,17H,8-9,11H2,1H3,(H,25,28)(H2,23,24,30)(H,26,27,29)",JTJHLVXCCRSPRO-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,Assay: HTRF; IC50 = 10.3 ± 3.2 μM,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.3c01848,,,,C21H21ClN4O4,428.88,428.1251,2.51,-4.10,116.40,8,4,5,3,1,2,1,0,30,9,0,0
355,CC1=CC=C(NC(=O)NCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)N=N3)C=C1Cl,21a,"1-(3-chloro-4-methylphenyl)-3-[[3-(2,6-dioxopiperidin-3-yl)-4-oxo-1,2,3-benzotriazin-5-yl]methyl]urea","InChI=1S/C21H19ClN6O4/c1-11-5-6-13(9-14(11)22)24-21(32)23-10-12-3-2-4-15-18(12)20(31)28(27-26-15)16-7-8-17(29)25-19(16)30/h2-6,9,16H,7-8,10H2,1H3,(H2,23,24,32)(H,25,29,30)",TZOPVMYYPPJPRJ-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.bioorg.2022.105923,,,,C21H19ClN6O4,454.87,454.1156,2.05,-4.20,135.08,10,3,4,4,1,3,1,1,32,11,0,0
357,CC1=CC=C(NC(=O)OCC2=CC=C3CN(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1Cl,9f,"[2-(2,6-dioxopiperidin-3-yl)-3-oxo-1H-isoindol-5-yl]methylN-(3-chloro-4-methylphenyl)carbamate","InChI=1S/C22H20ClN3O5/c1-12-2-5-15(9-17(12)23)24-22(30)31-11-13-3-4-14-10-26(21(29)16(14)8-13)18-6-7-19(27)25-20(18)28/h2-5,8-9,18H,6-7,10-11H2,1H3,(H,24,30)(H,25,27,28)",VCEJNBKFGYUOAV-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.ejmech.2023.115580,,,,C22H20ClN3O5,441.87,441.1091,3.16,-4.59,104.81,8,2,4,4,2,2,2,0,31,9,0,0
359,CC1=CC=C(NC2CCC(=O)NC2=O)C(Cl)=C1,Z4871545631,"3-(2-chloro-4-methylanilino)piperidine-2,6-dione","InChI=1S/C12H13ClN2O2/c1-7-2-3-9(8(13)6-7)14-10-4-5-11(16)15-12(10)17/h2-3,6,10,14H,4-5H2,1H3,(H,15,16,17)",RHENVMWAACMFML-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,clogP=2.25,,,,,Assay: FP; IC50=864nm    Assay: NanoBRET in HEK293T; IC50=1610nm,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.chembiol.2024.11.002,,,,C12H13ClN2O2,252.70,252.0666,1.87,-2.68,58.20,4,2,2,2,1,1,1,0,17,5,0,0
361,CC1=CC=C(S(=O)(=O)CC2CCC(=O)NC2=O)C=C1,20c,"3-[(4-methylphenyl)sulfonylmethyl]piperidine-2,6-dione","InChI=1S/C13H15NO4S/c1-9-2-5-11(6-3-9)19(17,18)8-10-4-7-12(15)14-13(10)16/h2-3,5-6,10H,4,7-8H2,1H3,(H,14,15,16)",XRWKXCWLWRLPQL-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,Assay:microscale thermophoresis;Ki = 10.0 ± 2.2 μM,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,"Cell:MOLP-8;IC50 = 5.30 ± 0.57 μM
Cell:KMS-12-PE;IC50 = 6.12 ± 0.90 μM",,,,,,https://doi.org/10.1016/j.ejmech.2022.114990,,,,C13H15NO4S,281.33,281.0722,0.82,-1.73,80.31,5,1,3,2,1,1,1,0,19,6,0,0
363,CC1=CC=C(S(=O)(=O)NC2=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=CC=C2)C=C1,6,"N-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-4-yl]-4-methylbenzenesulfonamide","InChI=1S/C20H17N3O6S/c1-11-5-7-12(8-6-11)30(28,29)22-14-4-2-3-13-17(14)20(27)23(19(13)26)15-9-10-16(24)21-18(15)25/h2-8,15,22H,9-10H2,1H3,(H,21,24,25)",FHOKCLYOXCMOTJ-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,NanoBRET based ternary complex formation assay,,,,,https://doi.org/10.1038/s41557-023-01379-8,,,,C20H17N3O6S,427.44,427.0838,1.20,-2.97,129.72,9,2,4,4,2,2,2,0,30,10,0,0
364,CC1=CC=C(S(=O)(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)C=C1,13,"N-[2-(2,6-dioxopiperidin-3-yl)-1,3-dioxoisoindol-5-yl]-4-methylbenzenesulfonamide","InChI=1S/C20H17N3O6S/c1-11-2-5-13(6-3-11)30(28,29)22-12-4-7-14-15(10-12)20(27)23(19(14)26)16-8-9-17(24)21-18(16)25/h2-7,10,16,22H,8-9H2,1H3,(H,21,24,25)",HYYJFYAZYUNSAB-UHFFFAOYSA-N,Glutarimide,ThalidomideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,NanoBRET based ternary complex formation assay,,,,,https://doi.org/10.1038/s41557-023-01379-8,,,,C20H17N3O6S,427.44,427.0838,1.20,-2.97,129.72,9,2,4,4,2,2,2,0,30,10,0,0
367,CC1=CC=C(SCC2CCC(=O)NC2=O)C=C1,14c,"3-[(4-methylphenyl)sulfanylmethyl]piperidine-2,6-dione","InChI=1S/C13H15NO2S/c1-9-2-5-11(6-3-9)17-8-10-4-7-12(15)14-13(10)16/h2-3,5-6,10H,4,7-8H2,1H3,(H,14,15,16)",MVIKRIPLXUENOJ-UHFFFAOYSA-N,Glutarimide,Non-domideType,Discovery,,,,,,,Assay:microscale thermophoresis;Ki = 5.0 ± 1.6 μM ,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,"Cell:MOLP-8;IC50 = 38.15 ± 3.12 μM
Cell:KMS-12-PE;IC50 = 39.99 ± 9.64 μM",,,,,,https://doi.org/10.1016/j.ejmech.2022.114990,,,,C13H15NO2S,249.34,249.0823,2.14,-2.77,46.17,3,1,3,2,1,1,1,0,17,4,0,0
368,CC1=CC=C2C=C(C(=O)NC3=CC=C4C(=O)N(C5CCC(=O)NC5=O)CC4=C3)COC2=C1,72,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-7-methyl-2H-chromene-3-carboxamide","InChI=1S/C24H21N3O5/c1-13-2-3-14-9-16(12-32-20(14)8-13)22(29)25-17-4-5-18-15(10-17)11-27(24(18)31)19-6-7-21(28)26-23(19)30/h2-5,8-10,19H,6-7,11-12H2,1H3,(H,25,29)(H,26,28,30)",VUGINFJQDOWAIE-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,IKZF2,73% degradation at 100 nM,G-loop_beta-hairpin,CK1α,64% degradation at 100 nM,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.3c01736,,,,C24H21N3O5,431.45,431.1481,2.17,-3.88,104.81,8,2,3,5,3,2,3,0,32,8,0,0
369,CC1=CC=C2N=C(C)C(C(=O)N/N=C/C3=CC=CC([N+](=O)[O-])=C3)=CC2=C1,AN5584,"2,6-dimethyl-N-[(E)-(3-nitrophenyl)methylideneamino]quinoline-3-carboxamide","InChI=1S/C19H16N4O3/c1-12-6-7-18-15(8-12)10-17(13(2)21-18)19(24)22-20-11-14-4-3-5-16(9-14)23(25)26/h3-11H,1-2H3,(H,22,24)/b20-11+",OFBSFFNWJQIYTL-RGVLZGJSSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,"Cell: U266; IC50 >40 μM
Cell: U937; IC50 >40 μM
Cell: K562; IC50 >40 μM
Cell: OCI-AML-2; IC50 >40 μM",,,,,,https://doi.org/10.1016/j.ejmech.2024.116524,,,,C19H16N4O3,348.36,348.1222,3.52,-4.86,97.49,7,1,4,3,0,3,0,1,26,7,0,0
370,CC1=CC=C2N=C(C)C(C(=O)N/N=C/C3=CC(Cl)=CC=C3)=CC2=C1,AN5661,"N-[(E)-(3-chlorophenyl)methylideneamino]-2,6-dimethylquinoline-3-carboxamide","InChI=1S/C19H16ClN3O/c1-12-6-7-18-15(8-12)10-17(13(2)22-18)19(24)23-21-11-14-4-3-5-16(20)9-14/h3-11H,1-2H3,(H,23,24)/b21-11+",XWRSELVRKJHFDM-SRZZPIQSSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,1,non-covalent,GSPT1,,Unknown,,,CRBN,Q96SW2,"Cell: U266; IC50 > 40 μM; 
Cell: U937; IC50 > 40 μM; 
Cell: K562; IC50 > 40 μM; 
Cell: OCI-AML-2; IC50 > 40 μM; ",,,,,,https://doi.org/10.1016/j.ejmech.2024.116524,,,,C19H16ClN3O,337.81,337.0982,4.27,-5.69,54.35,4,1,3,3,0,3,0,1,24,5,0,0
371,CC1=CC=C2N=C(C)C(C(=O)N/N=C/C3=CC(O)=CC=C3)=CC2=C1,AN5722,"N-[(E)-(3-hydroxyphenyl)methylideneamino]-2,6-dimethylquinoline-3-carboxamide","InChI=1S/C19H17N3O2/c1-12-6-7-18-15(8-12)10-17(13(2)21-18)19(24)22-20-11-14-4-3-5-16(23)9-14/h3-11,23H,1-2H3,(H,22,24)/b20-11+",AQHURQQAPNZHNR-RGVLZGJSSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,1,non-covalent,GSPT1,,Unknown,,,CRBN,Q96SW2,"Cell: U266; IC50 > 40 μM; 
Cell: U937; IC50 > 40 μM; 
Cell: K562; IC50 > 40 μM; 
Cell: OCI-AML-2; IC50 > 40 μM; ",,,,,,https://doi.org/10.1016/j.ejmech.2024.116524,,,,C19H17N3O2,319.36,319.1321,3.32,-4.52,74.58,5,2,3,3,0,3,0,1,24,5,0,0
372,CC1=CC=C2N=C(C)C(C(=O)N/N=C/C3=CC=CN=C3)=CC2=C1,AN5602,"2,6-dimethyl-N-[(E)-pyridin-3-ylmethylideneamino]quinoline-3-carboxamide","InChI=1S/C18H16N4O/c1-12-5-6-17-15(8-12)9-16(13(2)21-17)18(23)22-20-11-14-4-3-7-19-10-14/h3-11H,1-2H3,(H,22,23)/b20-11+",QZXAQKBCLSVYCJ-RGVLZGJSSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,0,,,,,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.ejmech.2024.116524,,,,C18H16N4O,304.35,304.1324,3.01,-4.46,67.24,5,1,3,3,0,3,0,2,23,5,0,0
373,O=C1CCC(N2CC3=CC=CC=C3C2)C(=O)N1,CPD-2380,"3-(1,3-dihydroisoindol-2-yl)piperidine-2,6-dione","InChI=1S/C13H14N2O2/c16-12-6-5-11(13(17)14-12)15-7-9-3-1-2-4-10(9)8-15/h1-4,11H,5-8H2,(H,14,16,17)",VJWHSCYAWWAUKE-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,Assay: HiBiT; IC = 23000 nM,1,non-covalent,IKZF1,DC50 = 90 nM; Dmax = 60%,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1039/d3md00652b,,,,C13H14N2O2,230.27,230.1055,0.81,-1.70,49.41,4,1,1,3,2,1,2,0,17,4,0,0
379,CC1=CC=CC(S(=O)(=O)NC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)CC3=C2)=C1,Z5000145518,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-3-methylbenzenesulfonamide","InChI=1S/C20H19N3O5S/c1-12-3-2-4-15(9-12)29(27,28)22-14-5-6-16-13(10-14)11-23(20(16)26)17-7-8-18(24)21-19(17)25/h2-6,9-10,17,22H,7-8,11H2,1H3,(H,21,24,25)",MSGIMIUTQKVWSI-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,clogP=1.60,,,,,Assay: FP; IC50=118nm    Assay: NanoBRET in HEK293T; IC50=40nm,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1016/j.chembiol.2024.11.002,,,,C20H19N3O5S,413.46,413.1045,1.56,-3.27,112.65,8,2,4,4,2,2,2,0,29,9,0,0
381,CC1=CC=CC=C1C(=O)NC1=CC2=C(C=C1)C(=O)N(C1CCC(=O)NC1=O)C2,15,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-2-methylbenzamide","InChI=1S/C21H19N3O4/c1-12-4-2-3-5-15(12)19(26)22-14-6-7-16-13(10-14)11-24(21(16)28)17-8-9-18(25)23-20(17)27/h2-7,10,17H,8-9,11H2,1H3,(H,22,26)(H,23,25,27)",YDKGAFLLEDYAIB-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,CK1α,CK1α: DC50 = 28 nM; Dmax = 80%(10 μM); (24 h),Unknown,,,CRBN,Q96SW2,Cell: MOLM13; IC50 = ND nM; 72 h,Assay: NanoBRET; EC50 = 72 nM;(CK1α; 2 h),,,,,https://doi.org/10.1021/acsmedchemlett.4c00250,,,,C21H19N3O4,377.40,377.1376,2.01,-3.57,95.58,7,2,3,4,2,2,2,0,28,7,0,0
382,CC1=CC=CC=C1N1CCC(=O)NC1=O,3B,"1-(2-methylphenyl)-1,3-diazinane-2,4-dione","InChI=1S/C11H12N2O2/c1-8-4-2-3-5-9(8)13-7-6-10(14)12-11(13)15/h2-5H,6-7H2,1H3,(H,12,14,15)",SVNZIAGWQZKSII-UHFFFAOYSA-N,Dihydrouracil,Non-domideType,Discovery,,,,,,,Assay:fluorescent polariza; Kd=1.24±0.39μM,1,non-covalent,,,Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.2c01941,,,,C11H12N2O2,204.23,204.0899,1.44,-2.10,49.41,4,1,1,2,1,1,1,0,15,4,0,0
383,CC1=CC=CC2=C1CN([C@H]1CCCC(=O)NC1=O)C2=O,BXT-161,"(3S)-3-(7-methyl-3-oxo-1H-isoindol-2-yl)azepane-2,7-dione","InChI=1S/C15H16N2O3/c1-9-4-2-5-10-11(9)8-17(15(10)20)12-6-3-7-13(18)16-14(12)19/h2,4-5,12H,3,6-8H2,1H3,(H,16,18,19)/t12-/m0/s1",CNIZBMYCKRUTHY-LBPRGKRZSA-N,miscellaneous,Non-domideType,Discovery,,,,,,,,1,non-covalent,CK1α;FAM83F,"CK1α: MV4-11, HCT116, DLD-1 cells
FAM83F: HCT116, DLD-1 cells",Unknown,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.26508/lsa.202000804,,,,C15H16N2O3,272.30,272.1161,1.15,-2.04,66.48,5,1,1,3,2,1,2,0,20,5,0,0
384,CC1=CC=CC2=NC(C(=O)NC3=CC4=C(C=C3)C(=O)N(C3CCC(=O)NC3=O)C4)=CN12,QXG-131-7,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-5-methylimidazo[1,2-a]pyridine-2-carboxamide","InChI=1S/C22H19N5O4/c1-12-3-2-4-18-24-16(11-26(12)18)20(29)23-14-5-6-15-13(9-14)10-27(22(15)31)17-7-8-19(28)25-21(17)30/h2-6,9,11,17H,7-8,10H2,1H3,(H,23,29)(H,25,28,30)",OQUSNFDKOQRACC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,CK1α,Assay: WB; DC50 = 3.3 nM; Dmax = 93%,G-loop_beta-hairpin,,,CRBN,Q96SW2,"Cell: MOLM13; IC50 = 28 nM; 72 h;
Cell: MOLM14; IC50 = - nM; 72 h; Cell: MOLM13; EC50 = 28 nM; Cell: MOLM14; EC50 = 63 nM ",,,,,,https://doi.org/10.1101/2024.10.01.616159,,,,C22H19N5O4,417.43,417.1437,1.66,-3.81,112.88,9,2,3,5,2,3,2,2,31,9,0,0
384,CC1=CC=CC2=NC(C(=O)NC3=CC4=C(C=C3)C(=O)N(C3CCC(=O)NC3=O)C4)=CN12,21,"N-[2-(2,6-dioxopiperidin-3-yl)-1-oxo-3H-isoindol-5-yl]-5-methylimidazo[1,2-a]pyridine-2-carboxamide","InChI=1S/C22H19N5O4/c1-12-3-2-4-18-24-16(11-26(12)18)20(29)23-14-5-6-15-13(9-14)10-27(22(15)31)17-7-8-19(28)25-21(17)30/h2-6,9,11,17H,7-8,10H2,1H3,(H,23,29)(H,25,28,30)",OQUSNFDKOQRACC-UHFFFAOYSA-N,Glutarimide,LenalidomideType,Discovery,,,,,,,,1,non-covalent,CK1α,CK1α MOLT-4: DC50 = 3.3 ± 1.6 nM,G-loop_beta-hairpin,,,CRBN,Q96SW2,,,,,,,https://doi.org/10.1021/acs.jmedchem.4c02415,,,,C22H19N5O4,417.43,417.1437,1.66,-3.81,112.88,9,2,3,5,2,3,2,2,31,9,0,0
