stereo_smiles,HOMO_eV,LUMO_eV,gap_eV,cov_crbn_label,electrophilicity_index_eV
O=C1CC[C@@H](NC(=O)c2ccc(CNC(=O)c3ncc4ccccn34)o2)C(=O)N1,-10.90053605,-8.966729722,1.933806326,0,51.02737589959703
Cc1cnn(CC(=O)Nc2ccc3c(c2)C(=O)N([C@@H]2CCC(=O)NC2=O)C3=O)c1,-10.70774948,-8.637052151,2.070697329,0,45.180595070775354
Cc1cnn(CC(=O)Nc2ccc3c(c2)C(=O)N([C@H]2CCC(=O)NC2=O)C3=O)c1,-10.70848994,-8.636272638,2.072217303,0,45.147272761575486
CN(Cc1nc(-c2ccccc2)no1)C1=CC(=O)N([C@@H]2CCC(=O)NC2=O)C1=O,-10.89957207,-8.631030952,2.268541121,1,42.036316960700525
CN(Cc1nc(-c2ccccc2)no1)C1=CC(=O)N([C@H]2CCC(=O)NC2=O)C1=O,-10.89954856,-8.631122134,2.268426423,1,42.03873375502804
O=C1CC[C@H](c2ccc(NC(=O)CCc3nc(-c4nnc[nH]4)no3)cc2)C(=O)N1,-10.41132186,-8.120024484,2.291297374,0,37.46903405228645
O=C1CC[C@@H](c2ccc(NC(=O)CCc3nc(-c4nnc[nH]4)no3)cc2)C(=O)N1,-10.46939717,-8.174564192,2.294832976,0,37.867385001764596
O=C1CC[C@@H](NC(=O)c2cnc3ccccc3c2)C(=O)N1,-10.32091544,-8.059592583,2.261322861,0,37.35015917123028
O=C1CC[C@H](NC(=O)c2[nH]ncc2CNC(=O)c2cnc3ccccn23)C(=O)N1,-10.13479852,-7.960885899,2.17391262,0,37.65719371370587
O=C1CC[C@@H](NC(=O)c2[nH]ncc2CNC(=O)c2cnc3ccccn23)C(=O)N1,-10.87109727,-7.786707211,3.084390059,0,28.215762386752626
O=C1CC[C@H](NC(=O)c2cc(CNC(=O)c3ccc4[nH]ccc4n3)n[nH]2)C(=O)N1,-10.87812714,-7.833864228,3.044262913,0,28.75397353665643
O=C1CC[C@@H](NC(=O)c2cc(CNC(=O)c3ccc4[nH]ccc4n3)n[nH]2)C(=O)N1,-10.13407365,-7.960512697,2.173560951,0,37.658715634176716
O=C1CC[C@H](NC(=O)c2[nH]ncc2CNC(=O)c2cc3cnccc3[nH]2)C(=O)N1,-10.69795188,-8.121989412,2.575962463,0,34.374548864915525
O=C1CC[C@@H](NC(=O)c2[nH]ncc2CNC(=O)c2cc3cnccc3[nH]2)C(=O)N1,-10.63175839,-8.150610516,2.481147872,0,35.54578363730387
Cc1onc(CC(=O)Nc2cccc([C@@H]3CCC(=O)NC3=O)c2)c1-c1nn[nH]n1,-10.12913695,-7.911608791,2.21752816,0,36.69271407261515
