molecule_id,filename,avg_homo_ev,avg_lumo_ev,avg_gap_ev,gm_uma_energy_ev,num_conformers
10087,ligand_10087.sdf,-10.66865884,-7.987380337,2.681278506,-36724.24656,27
10088,ligand_10088.sdf,-10.65342865,-8.032385144,2.621043504,-36724.24377,29
10089,ligand_10089.sdf,-10.37328337,-8.376819806,1.996463562,-36617.45107,20
1009,ligand_1009.sdf,-10.19383127,-7.734043196,2.459788071,-42652.36707,10
10090,ligand_10090.sdf,-10.42433969,-8.304067828,2.120271866,-36617.45189,21
10091,ligand_10091.sdf,-10.42257635,-8.275751009,2.146825339,-36617.44538,19
10092,ligand_10092.sdf,-10.45075431,-8.276799299,2.173955013,-36617.46055,22
10093,ligand_10093.sdf,-10.22893376,-8.259740072,1.96919369,-36617.45232,20
10094,ligand_10094.sdf,-10.34770843,-8.312677889,2.035030541,-36617.41763,24
10095,ligand_10095.sdf,-10.39049166,-8.334467196,2.056024459,-36617.38481,18
10096,ligand_10096.sdf,-10.42433751,-8.327604466,2.096733046,-36617.38476,20
10097,ligand_10097.sdf,-10.40509311,-8.306233786,2.098859325,-36617.38258,22
10098,ligand_10098.sdf,-10.05506802,-7.890621283,2.164446733,-36617.57416,19
10099,ligand_10099.sdf,-10.05069588,-7.853678562,2.197017321,-36617.56576,20
101,ligand_101.sdf,-10.72775495,-8.038033442,2.689721504,-21600.1714,4
1010,ligand_1010.sdf,-10.19217761,-7.72997583,2.462201783,-42652.36343,10
10100,ligand_10100.sdf,-10.0969441,-7.870109896,2.2268342,-36617.58847,22
10101,ligand_10101.sdf,-10.25136936,-7.891234944,2.360134418,-36617.38695,30
10102,ligand_10102.sdf,-10.32590842,-7.877149987,2.448758435,-36617.38826,26
10103,ligand_10103.sdf,-10.33705927,-7.883992506,2.453066764,-36617.3598,29
10104,ligand_10104.sdf,-10.30605455,-7.884416507,2.421638044,-36617.36524,28
10105,ligand_10105.sdf,-10.71967023,-7.879565387,2.840104847,-44514.36775,6
10106,ligand_10106.sdf,-10.7191428,-7.877492044,2.841650758,-44514.36635,7
10107,ligand_10107.sdf,-9.853930599,-7.219625099,2.634305501,-35880.83256,27
10108,ligand_10108.sdf,-9.885224753,-7.257576617,2.627648137,-35880.88986,33
10109,ligand_10109.sdf,-10.55471081,-7.870593226,2.684117584,-35881.07726,32
1011,ligand_1011.sdf,-10.68702755,-7.880568369,2.806459185,-89141.62322,10
10110,ligand_10110.sdf,-10.58036689,-7.834143305,2.746223587,-35880.99008,26
10111,ligand_10111.sdf,-10.55829196,-7.860880024,2.697411941,-35881.08916,25
10112,ligand_10112.sdf,-10.56520131,-7.862806858,2.702394457,-35881.05098,32
10113,ligand_10113.sdf,-10.02257675,-7.791270857,2.231305888,-35880.84026,24
10114,ligand_10114.sdf,-9.737035976,-7.891326735,1.84570924,-35880.75959,27
10115,ligand_10115.sdf,-9.618408316,-7.855563349,1.762844966,-35880.79364,26
10116,ligand_10116.sdf,-9.927582883,-7.768357247,2.159225636,-35880.85114,22
10117,ligand_10117.sdf,-9.766387613,-7.941081394,1.825306219,-35882.13279,33
10118,ligand_10118.sdf,-9.786955876,-7.951812233,1.835143643,-35882.12754,31
10119,ligand_10119.sdf,-9.732531578,-7.942060031,1.790471547,-35882.10743,34
1012,ligand_1012.sdf,-10.68725616,-7.880543386,2.806712777,-89141.62198,11
10120,ligand_10120.sdf,-9.729024647,-7.926623265,1.802401381,-35882.1084,32
10121,ligand_10121.sdf,-10.36855544,-7.928959664,2.439595774,-35882.96013,23
10122,ligand_10122.sdf,-10.38430751,-7.899144026,2.485163486,-35883.15036,18
10123,ligand_10123.sdf,-10.36790722,-7.954118284,2.413788941,-35882.98406,24
10124,ligand_10124.sdf,-10.36810173,-7.866460768,2.501640964,-35883.0706,10
10125,ligand_10125.sdf,-10.38441636,-7.920172764,2.464243593,-35883.16337,20
10126,ligand_10126.sdf,-10.34853169,-7.904876882,2.443654806,-35883.11693,11
10127,ligand_10127.sdf,-10.35394546,-7.9046502,2.44929526,-35883.11865,11
10128,ligand_10128.sdf,-10.35975029,-7.952396671,2.407353618,-35883.12026,11
10129,ligand_10129.sdf,-10.3921707,-7.911203911,2.480966791,-35883.16809,17
1013,ligand_1013.sdf,-10.14247297,-8.820070572,1.322402396,-26817.68157,2
10130,ligand_10130.sdf,-10.34283042,-7.91533547,2.427494953,-35883.15625,24
10131,ligand_10131.sdf,-9.818450531,-7.281984763,2.536465767,-35881.04441,32
10132,ligand_10132.sdf,-9.864434669,-7.275106918,2.589327752,-35880.97849,31
10133,ligand_10133.sdf,-10.49254843,-7.932464344,2.560084083,-35882.32039,19
10134,ligand_10134.sdf,-9.97894004,-7.932724854,2.046215186,-35881.08705,8
10135,ligand_10135.sdf,-10.47117601,-7.961915323,2.509260689,-35882.48614,18
10136,ligand_10136.sdf,-10.48602247,-7.93698735,2.549035124,-35882.31772,19
10137,ligand_10137.sdf,-10.48254195,-7.923082835,2.559459119,-35882.48056,23
10138,ligand_10138.sdf,-9.958515272,-7.978486146,1.980029126,-35881.12898,11
10139,ligand_10139.sdf,-10.00040679,-7.960687741,2.039719045,-35881.12039,8
1014,ligand_1014.sdf,-10.14226265,-8.82015995,1.322102696,-26817.67909,2
10140,ligand_10140.sdf,-9.986031863,-7.96577755,2.020254313,-35881.04268,8
10141,ligand_10141.sdf,-10.63051624,-7.876504757,2.754011483,-35882.26706,21
10142,ligand_10142.sdf,-10.61019442,-7.876118904,2.734075515,-35882.26674,22
10143,ligand_10143.sdf,-10.62021286,-7.881065185,2.739147678,-35882.26583,18
