"Molecule (Canonical)","ExactMW","label"
"C=CC(=O)N[C@@H]1C[C@@H]2[C@H](C1)C2(C)C",179.131014164,"Covalent"
"C=CC(=O)N1C[C@H]2CC[C@H]2[C@H]1C(=O)O",195.089543276,"Covalent"
"C=CC(=O)N1CCO[C@@H](C)[C@@H]1C(=O)O",199.084457896,"Covalent"
"C=CC(=O)N[C@H]1COC[C@H]1CO",171.089543276,"Covalent"
"C=CC(=O)N1[C@@H](C)CCC[C@H]1C(=O)O",197.10519334,"Covalent"
"C=CC(=O)NCC1(n2ccnn2)CC1",192.101111004,"Covalent"
"C=CC(=O)Nc1ccc([C@@H](C)O)cc1",191.094628656,"Covalent"
"C=CC(=O)N(C)CC1CCCOC1",183.125928784,"Covalent"
"C=CC(=O)NCCc1ccnn1C",179.105862036,"Covalent"
"C=CC(=O)N1CCC(C)(OCC)CC1",197.141578848,"Covalent"
"C=CC(=O)N1CCn2cccc2C1C",190.110613068,"Covalent"
"C=CC(=O)N1CC(=O)NC(C)C1",168.089877624,"Covalent"
"C=CC(=O)NC(C)c1nnc(C)s1",197.062282972,"Covalent"
"C=CC(=O)NC(CO)c1ccsc1",197.051049592,"Covalent"
"C=CC(=O)NCc1nc(C2CC2)n[nH]1",192.101111004,"Covalent"
"C=CC(=O)N1CCNC(=O)CC1C",182.105527688,"Covalent"
"C=CC(=O)NC1C(C)OC(C)C1C",183.125928784,"Covalent"
"C=CC(=O)NCCc1cn(C)nn1",180.101111004,"Covalent"
"C=CC(=O)NCc1cc(C)n(C)n1",179.105862036,"Covalent"
"C=CC(=O)N(C)C[C@@H]1CCC(=O)N1",182.105527688,"Covalent"
"C=CC(=O)N1CCSCC1(C)C",185.0874351,"Covalent"
"C=CC(=O)Nc1ccc2ncnn2c1",188.069810876,"Covalent"
"C=CC(=O)NC(C)c1ccnc(C)n1",191.105862036,"Covalent"
"C=CC(=O)NC(C)Cc1cnccn1",191.105862036,"Covalent"
"C=CC(=O)N1CC(COC)(C2CC2)C1",195.125928784,"Covalent"
"C=CC(=O)N(C)C1CCC(=O)N(C)C1",196.121177752,"Covalent"
"C=CC(=O)NCC1CC(=O)N(CC)C1",196.121177752,"Covalent"
"C=CC(=O)Nc1ccc(C(F)F)nc1",198.060469316,"Covalent"
"C=CC(=O)N1CCC[C@@H](O)[C@H]1C",169.11027872,"Covalent"
"C=CC(=O)N[C@@H]1COCC[C@H]1OC",185.10519334,"Covalent"
"C=CC(=O)N1CC(=O)N(C)C(C)C1",182.105527688,"Covalent"
"C=CC(=O)N[C@@H]1C[C@H]1C1CCOCC1",195.125928784,"Covalent"
"C=CC(=O)N[C@@H]1CCO[C@H]1C1CC1",181.11027872,"Covalent"
"C=CC(=O)NC[C@H]1C=C[C@@H]2C[C@H]1CO2",193.11027872,"Covalent"
"C=CC(=O)NCC(=C)c1ccccc1",187.099714036,"Covalent"
"C=CC(=O)NCC(=C)C1CCOCC1",195.125928784,"Covalent"
