"Molecule (Canonical)","ExactMW","Source"
"COc1ccc(OC(F)F)c(C=C(C#N)C(N)=O)c1",268.06594862000003,"Fragment"
"Cc1csc(CNC(=O)C(C#N)=Cc2ccco2)n1",273.057197592,"Fragment"
"N#CC(=Cc1c[nH]nc1-c1ccccc1F)C(=O)Nc1ccccc1F",350.097917444,"Fragment"
"COc1ccc(F)cc1C(C)NC(=O)C(C#N)=Cc1ccco1",314.10667056,"Fragment"
"N#CC(=Cc1ccc(F)cc1)C(=O)N1CCC(c2ccccc2F)CC1",352.13871963599996,"Fragment"
"Cc1c(C=C(C#N)C(=O)N2CC3(CC3)c3ccccc32)cc(C#N)n1C",342.148061196,"Fragment"
"COc1ccc(NC(=O)C(C#N)=Cc2occc2C)cc1OC",312.111006992,"Fragment"
"CCCNC(=O)C(C#N)=Cc1c[nH]c(-c2ccccc2)n1",280.132411132,"Fragment"
"CCC(NC(=O)C(C#N)=Cc1nc(Cl)cs1)c1ccccc1",331.054610748,"Fragment"
"CCC(NC(=O)C(C#N)=Cc1ccn(C)n1)c1ccccc1",294.148061196,"Fragment"
"CCCNC(=O)C(C#N)=Cc1nn(CC)c2ccccc12",282.148061196,"Fragment"
"N#CC(=Cc1cc(Cl)ccc1OCC1CCCO1)C(N)=O",306.07712002,"Fragment"
"N#CC(=Cc1ccc(O)c(O)c1)C(=O)N1CCCC1",258.100442308,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cc(C(F)(F)F)nn1C",286.10414569600005,"Fragment"
"N#C/C(=C\c1ccoc1)C(=O)O",163.02694302,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cc(C(=O)OCC)no1",277.10625596,"Fragment"
"N#CC(=Cc1ccc2oncc2c1)C(=O)NC1CCCC1",281.11642672,"Fragment"
"CCCNC(=O)C(C#N)=Cc1ccc(C(F)(F)F)[nH]1",271.093246664,"Fragment"
"COc1cc(C=C(C#N)C(=O)NC(C)C)sn1",251.072847656,"Fragment"
"CCCNC(=O)C(C#N)=Cc1ccc2c(c1)CC(C)O2",270.136827816,"Fragment"
"Cc1ccc(-n2c(C)cc(C=C(C#N)C(=O)N3CNC(=O)C3)c2C)cc1",348.15862588,"Fragment"
"CC(NC(=O)C(C#N)=Cc1ccn(C(C)C)n1)c1ccccc1",308.16371126,"Fragment"
"Cc1ccccc1CNC(=O)C(C#N)=Cc1ccn(C(C)C)n1",308.16371126,"Fragment"
"CCCNC(=O)C(C#N)=Cc1conc1C(F)(F)F",273.07251121999997,"Fragment"
"N#C/C(=C\c1ccc2[nH]ncc2c1)C(=O)O",213.053826464,"Fragment"
"Cc1nn(-c2cccc(C(F)(F)F)c2)c(Cl)c1/C=C(\C#N)C(=O)O",355.033538868,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cn(C)nc1-c1cccc(F)c1",312.13863938400004,"Fragment"
"CCCNC(=O)C(C#N)=Cc1cccc2ccncc12",265.1215121,"Fragment"
"CCCNC(=O)C(C#N)=Cc1ccc(-c2nnn[nH]2)cc1",282.12290906799996,"Fragment"
"Cc1ccc(C=C(C#N)C(=O)N2CC[C@H](NC(=O)Cc3ccccc3)C2)cc1",373.179026976,"Fragment"
"COc1cc(C=C(C#N)C(N)=O)ccc1O",218.06914218,"Fragment"
"N#CC(=Cc1ccc(O)cc1)C(=O)NCc1ccco1",268.084792244,"Fragment"
"N#CC(=Cc1cccs1)C(N)=O",178.020083812,"Fragment"
"CC(C)c1ccc(C=C(C#N)C(=O)O)cc1",215.094628656,"Fragment"
