batch_size,hidden_dim,learning_rate,gcn_test_acc,gcn_test_mcc,gcn_gen_all_acc,gcn_gen_all_mcc,gin_test_acc,gin_test_mcc,gin_gen_all_acc,gin_gen_all_mcc,gat_test_acc,gat_test_mcc,gat_gen_all_acc,gat_gen_all_mcc
16,8,0.0001,0.9189753117114403,0.837356079992552,0.6709401709401709,0.4507484140628874,0.9750174131529018,0.9493250421442486,0.6538461538461539,0.4456982489917994,0.9785682482530834,0.9564225553954245,0.7606837606837606,0.6257017626519586
16,8,0.0005,0.975594556372478,0.950659235298987,0.8076923076923076,0.6770881574492961,0.9861225476231462,0.9718633101420533,0.6367521367521367,0.4624161556784343,0.9828942967640057,0.9652110724002304,0.8162393162393163,0.7047633840168231
16,8,0.001,0.980413144935862,0.9603178519142901,0.8846153846153846,0.792574855536197,0.9909709101093039,0.9816704628364276,0.6324786324786325,0.4571591849958563,0.9847976056149995,0.9691257325787778,0.8931623931623931,0.8077915368558722
16,16,0.0001,0.9665393634288207,0.9319357928589604,0.7307692307692308,0.5765889166205219,0.9890963962824674,0.9778387575986129,0.6068376068376068,0.42641590438806704,0.9816260882678839,0.9626407598663512,0.7264957264957266,0.5732837587925587
16,16,0.0005,0.9850298012431637,0.96955788899399,0.8247863247863249,0.7014556460424628,0.9898461528682713,0.9793567610114268,0.7051282051282052,0.5468833803150228,0.98886558105629,0.9773667989482968,0.8290598290598291,0.7124888031261039
16,16,0.001,0.9837896535972367,0.9670317015888387,0.8418803418803419,0.7269552135397612,0.9896150929174397,0.9788867376036566,0.6068376068376068,0.42622284996781673,0.9894711522130422,0.9785850803921411,0.9188034188034188,0.8582067526834866
16,32,0.0001,0.9694222307767904,0.9382384455604806,0.7136752136752137,0.5559407220002521,0.9904230513631934,0.9805509940980146,0.7136752136752137,0.5570795680410949,0.9868178420515904,0.9731600609210309,0.8632478632478632,0.7596802348353116
16,32,0.0005,0.9842482785209637,0.9681540763793762,0.8376068376068376,0.7276042094207055,0.9940867072594003,0.9879640381445568,0.5854700854700855,0.40099567410165865,0.9889508304514291,0.9775863988898631,0.888888888888889,0.8115382868205702
16,32,0.001,0.9913750728756715,0.9824671908158081,0.8846153846153846,0.7969976881130746,0.9939134820815374,0.9876280906587516,0.7051282051282052,0.560028990486109,0.9847406273783205,0.9692185572152544,0.8675213675213675,0.7752096576003326
16,64,0.0001,0.9834423122888323,0.9663450345296362,0.8376068376068376,0.7208965464604136,0.989730884825704,0.97912907008697,0.7606837606837606,0.6159768395800104,0.9858076186791623,0.9711480438604347,0.8974358974358975,0.8123096131679164
16,64,0.0005,0.9918955169996116,0.9834578576517382,0.8717948717948718,0.7791670026232533,0.9920971701146506,0.9838940860350549,0.7735042735042734,0.6538592511663796,0.9899041979495052,0.9794594108983076,0.8461538461538461,0.736739481264631
16,64,0.001,0.9916057657395219,0.9829301694571927,0.8717948717948718,0.7723453789358575,0.9909999498581156,0.9817140943222059,0.8205128205128206,0.7078248269138526,0.9885205646321001,0.9768561172197702,0.8632478632478632,0.7725313931560955
32,8,0.0001,0.7790165882644503,0.5545386846619801,0.6794871794871794,0.4146458822134929,0.9787393932713858,0.9567899843517017,0.6623931623931624,0.4937714520190717,0.8367093569268219,0.6712410759839895,0.7094017094017094,0.4759487766316544
32,8,0.0005,0.9707197581627666,0.9407472932966666,0.7393162393162394,0.5875711619212537,0.9779880995048793,0.9556058977749808,0.6880341880341879,0.5234361896771834,0.9854323388828904,0.9704120704206772,0.8205128205128206,0.7122470973395952
32,8,0.001,0.9765757399960947,0.9525750972184875,0.7735042735042735,0.6304082814085479,0.9914331523732943,0.9825614133761841,0.6196581196581197,0.44168345570788964,0.9872206244159711,0.9740462537650485,0.9316239316239315,0.8697191985488236
32,16,0.0001,0.9591545839504194,0.9170541179543692,0.7777777777777778,0.6378816520828913,0.9884032164299725,0.976434603192493,0.6837606837606837,0.52027384616462,0.9771825003597291,0.9536978073895995,0.7008547008547009,0.5448338128556974
32,16,0.0005,0.9791730508194841,0.957693400544431,0.8162393162393163,0.6881308453500671,0.9886633161296157,0.9769718342292162,0.6923076923076922,0.5304320371277629,0.9854908198838833,0.9704975417611036,0.8333333333333334,0.7166010754908193
32,16,0.001,0.9855765243119419,0.970703643090777,0.8247863247863249,0.7018124340822697,0.9921830313214253,0.9840883475003142,0.6709401709401709,0.5063322196723458,0.9879711151757374,0.9755351906111073,0.8547008547008548,0.7514576450972404
32,32,0.0001,0.9687586145388041,0.9366783470746682,0.7350427350427351,0.5814901369010868,0.988950585726775,0.9775781978439383,0.6623931623931624,0.49287059888757184,0.9845107375212104,0.9684787297088328,0.8675213675213675,0.7665242121035144
32,32,0.0005,0.9809017885070173,0.96143404526748,0.8290598290598291,0.7138657747766978,0.9924137241852756,0.9846077526758604,0.7905982905982906,0.6776847046676447,0.9848846024991067,0.9693136339874836,0.9444444444444445,0.894552864566359
32,32,0.001,0.9862969084783417,0.972174137263285,0.8547008547008547,0.7487332759034256,0.9954136070647803,0.990673046385243,0.7136752136752137,0.5680236518947914,0.9901629516635503,0.9800646847179785,0.8803418803418803,0.8005544371438202
32,64,0.0001,0.9708367736943018,0.9407213478015127,0.7948717948717948,0.6591031547288244,0.9929341683092158,0.9855606912498217,0.7521367521367521,0.6102217985094146,0.9824045519319067,0.9642198881726046,0.9188034188034188,0.8458989881421402
32,64,0.0005,0.98886558105629,0.9773471852423449,0.8974358974358974,0.8124947418128624,0.9938561367578771,0.9875059646996309,0.7692307692307692,0.6516439511201448,0.9826642157117907,0.965063698731758,0.9273504273504273,0.8604234991653233
32,64,0.001,0.9916639675994717,0.9830263640265571,0.905982905982906,0.8263795167814764,0.9932210364030051,0.9862694265667384,0.7863247863247863,0.6719197117404891,0.9856070324086783,0.9710194896447928,0.9145299145299145,0.8382025211792978
64,8,0.0001,0.7200018066699171,0.4608782449925672,0.5512820512820513,0.1930427835271502,0.9585873100430836,0.9173381799723478,0.6324786324786325,0.26556895642558837,0.7485800426288884,0.5071002341861582,0.5299145299145299,0.12339922768999041
64,8,0.0005,0.9082990107164602,0.8145346550167013,0.7478632478632479,0.5581965718763588,0.9835873198377847,0.9667931640598614,0.7777777777777778,0.6505676663351099,0.9846252369734262,0.9687047743775441,0.8547008547008547,0.7520973811518097
64,8,0.001,0.9760271470760215,0.9516528321537269,0.7692307692307692,0.6276650897746688,0.9891821351269149,0.9780200237228919,0.6410256410256411,0.4670646274491077,0.9837017657604511,0.9668532137272501,0.8247863247863249,0.7192878950400062
64,16,0.0001,0.785306369819852,0.5130184288430156,0.7307692307692308,0.41075280254700974,0.9879705033641021,0.975575686174117,0.6837606837606837,0.5215254711657301,0.8007930291623683,0.592173612989851,0.6666666666666666,0.3509964898226999
64,16,0.0005,0.9696543040426274,0.9385642885430702,0.7606837606837606,0.617006536096894,0.991952583182229,0.9835991711592617,0.6752136752136751,0.5106396918599003,0.9820298839472702,0.9634980973920798,0.7606837606837606,0.6203506006457195
64,16,0.001,0.9793176721682947,0.9580210390822246,0.7863247863247863,0.6477500167256579,0.9903374348810731,0.9803087209689921,0.7094017094017094,0.5522531839155548,0.9859515593835596,0.9715953533454171,0.8846153846153846,0.8021026490190236
64,32,0.0001,0.8949449183952655,0.7864261288710018,0.6752136752136751,0.39705090246210045,0.9895570134198168,0.9787813672747326,0.6623931623931624,0.496146039526709,0.9840205911857413,0.9675501300602304,0.782051282051282,0.6479385868283596
64,32,0.0005,0.9778439140758278,0.9551828310908088,0.7991452991452993,0.673827233620127,0.9914033784505204,0.9825298622810301,0.7222222222222222,0.5674625919602155,0.9858657861227234,0.9712515262786653,0.8760683760683761,0.7808185611444068
64,32,0.001,0.98413496827563,0.9677192497791159,0.9145299145299145,0.8390550108739374,0.9910282210165754,0.9818997007071891,0.7905982905982906,0.678708034502991,0.9890671118090019,0.9777945928149602,0.8504273504273504,0.7460781781003277
64,64,0.0001,0.9663065904054099,0.9317019311547461,0.7179487179487181,0.5599347737486214,0.9901633187505315,0.9800247468831245,0.7991452991452991,0.6650382822882714,0.979144657298697,0.9575775773018869,0.9145299145299145,0.8386454368016588
64,64,0.0005,0.9854917987824999,0.9704253839942713,0.8888888888888888,0.7984248381993025,0.992587561174774,0.9848899229188998,0.7350427350427351,0.5822548920953767,0.98520204752241,0.9699076724733503,0.9102564102564102,0.8336330681219577
64,64,0.001,0.9905960318164021,0.980909545192376,0.9102564102564102,0.8336330681219577,0.9885497267432387,0.9768542656597886,0.7008547008547009,0.5415591741255047,0.9887217627142197,0.9770443713278496,0.8504273504273504,0.7482473486299624
128,8,0.0001,0.657525932360055,0.3878603581855948,0.5598290598290598,0.30244966278090574,0.977528040649616,0.9544514239673,0.6752136752136751,0.49935459168461477,0.6802814384957081,0.29861117506141066,0.4829059829059829,-0.0829080085072492
128,8,0.0005,0.8891273769378122,0.7769125981335109,0.7948717948717948,0.6235052761413914,0.9888364189451515,0.9773227728664434,0.6880341880341879,0.5265894977121414,0.9008066703711274,0.7979238890266837,0.6923076923076924,0.4555615273772415
128,8,0.001,0.973374605504921,0.9462029268645576,0.7435897435897436,0.5965362832366365,0.9905963989033834,0.9809396590240755,0.7435897435897436,0.605717229995331,0.9826629920885198,0.9648241693448029,0.7863247863247863,0.6635315903770077
128,16,0.0001,0.5963051523146975,0.182976193582294,0.6367521367521367,0.11324920278591423,0.9854616577727446,0.9704856296128247,0.6794871794871794,0.507297059359667,0.7704662688227365,0.5346888128455234,0.6752136752136751,0.3136706687494207
128,16,0.0005,0.9697406891150991,0.9384259739007086,0.7606837606837606,0.6142292645496467,0.9895862978932825,0.9788296349471066,0.6752136752136751,0.5094488046881444,0.9833853340521532,0.9662422836071776,0.7393162393162394,0.5920012673032312
