batch_size,hidden_dim,learning_rate,random_seed,gcn_test_acc,gcn_test_mcc,gcn_gen_all_acc,gcn_gen_all_mcc,gin_test_acc,gin_test_mcc,gin_gen_all_acc,gin_gen_all_mcc,gat_test_acc,gat_test_mcc,gat_gen_all_acc,gat_gen_all_mcc
16,8,0.001,42,0.9860690490611751,0.9717343474103559,0.9102564102564102,0.8309489698388165,0.9939430648092066,0.9877134960477953,0.6025641025641025,0.42136803439293213,0.9830405814657783,0.9654158063261215,0.8205128205128205,0.6940659729095142
16,8,0.001,21,0.9818370524130773,0.9626178532498854,0.9230769230769231,0.8527096238602604,0.9916969382459782,0.9829076886573843,0.7051282051282052,0.5439837932759934,0.9901401141670991,0.9797153437560959,0.9487179487179487,0.8983596678192863
16,8,0.001,0,0.9733333333333334,0.9466013550826288,0.8205128205128205,0.6940659729095142,0.9872727272727273,0.9743902038041029,0.5897435897435898,0.4061257273186433,0.9812121212121212,0.9622460476541163,0.9102564102564102,0.8309489698388165
16,8,0.0005,42,0.9818291944276196,0.9630010993227042,0.782051282051282,0.6416482767773892,0.9933373712901272,0.9864164319293374,0.5897435897435898,0.4061257273186433,0.9794064203513022,0.9579934385809027,0.6282051282051282,0.45175395145262565
16,8,0.0005,21,0.981318111053451,0.9617039495449676,0.7948717948717948,0.6587970897341433,0.9916969382459782,0.9829160872756374,0.717948717948718,0.5597547053237274,0.9880643487285937,0.9754261172532537,0.9230769230769231,0.8527096238602604
16,8,0.0005,0,0.9636363636363636,0.9272726570292895,0.8461538461538461,0.7308191058363557,0.9733333333333334,0.9462574112211852,0.6025641025641025,0.42136803439293213,0.9812121212121212,0.9622136613665347,0.8974358974358975,0.8098265767375833
16,8,0.0001,42,0.9715324046032707,0.9422688285648453,0.717948717948718,0.5597547053237274,0.982434887946699,0.9642951996909969,0.6282051282051282,0.39791858180796824,0.9745608721986675,0.948121420085644,0.6025641025641025,0.42136803439293213
16,8,0.0001,21,0.8920601971977167,0.7846348694891985,0.6025641025641025,0.2641267691044857,0.9807991696938246,0.9606019741411966,0.7435897435897436,0.5918367346938775,0.9823559937727037,0.9637137811703412,0.9102564102564102,0.8309489698388165
16,8,0.0001,0,0.8933333333333333,0.7851645419236124,0.6923076923076923,0.528363767760449,0.9618181818181818,0.9230779526005523,0.5897435897435898,0.34733943047355237,0.9787878787878788,0.9574324649302882,0.7692307692307693,0.6247882837241272
16,16,0.001,42,0.9848576620230164,0.9691437644667367,0.8333333333333334,0.712241974147557,0.9927316777710479,0.9851900615089321,0.5512820512820513,0.3598114585644622,0.9927316777710479,0.9851862834480717,0.8076923076923077,0.676260590231173
16,16,0.001,21,0.98287493513233,0.9649221034369302,0.7948717948717948,0.6587970897341433,0.9906590555267255,0.9807705308993782,0.6666666666666666,0.49748905694605594,0.9896211728074727,0.9786520925630818,0.9487179487179487,0.8983596678192863
16,16,0.001,0,0.9836363636363636,0.9670292368628495,0.8974358974358975,0.8098265767375833,0.9854545454545455,0.9706996204026597,0.6025641025641025,0.42136803439293213,0.9860606060606061,0.9719168651652697,1.0,1.0
16,16,0.0005,42,0.9836462749848577,0.9666593695320951,0.7948717948717948,0.6587970897341433,0.9927316777710479,0.9851761304553173,0.5769230769230769,0.39080949395602194,0.9903089036947305,0.9802338228417874,0.9102564102564102,0.8309489698388165
16,16,0.0005,21,0.9859885832900882,0.9712805721545749,0.8076923076923077,0.676260590231173,0.9901401141670991,0.9797153437560959,0.782051282051282,0.6416482767773892,0.9896211728074727,0.9786291444781573,0.8461538461538461,0.7308191058363557
16,16,0.0005,0,0.9854545454545455,0.9707337252953,0.8717948717948718,0.7693092581620721,0.9866666666666667,0.9731788088228668,0.7564102564102564,0.6081923702116572,0.9866666666666667,0.973237429524946,0.7307692307692307,0.5756983337031396
16,16,0.0001,42,0.9612356147789218,0.9208852432064998,0.6923076923076923,0.528363767760449,0.9915202907328892,0.9827079031630607,0.5897435897435898,0.4061257273186433,0.9757722592368262,0.9506776233165072,0.6282051282051282,0.45175395145262565
16,16,0.0001,21,0.9735339906590555,0.9456910568987725,0.782051282051282,0.6416482767773892,0.9891022314478464,0.9775709401078321,0.6025641025641025,0.42136803439293213,0.9854696419304618,0.9701668340615521,0.8076923076923077,0.676260590231173
16,16,0.0001,0,0.9648484848484848,0.9292310784716091,0.717948717948718,0.5597547053237274,0.9866666666666667,0.973237429524946,0.6282051282051282,0.45175395145262565,0.9836363636363636,0.9670778222209944,0.7435897435897436,0.5918367346938775
16,32,0.001,42,0.9933373712901272,0.9864131447924225,0.7948717948717948,0.6587970897341433,0.9969715324046032,0.9938279052568169,0.6153846153846154,0.4365678536420445,0.9775893397940641,0.9551322678598292,0.8076923076923077,0.676260590231173
16,32,0.001,21,0.9916969382459782,0.9829043481970392,0.8974358974358975,0.8098265767375833,0.9932537623248573,0.9861155611695158,0.5769230769230769,0.39080949395602194,0.9911779968863519,0.981834645494943,0.8076923076923077,0.676260590231173
16,32,0.001,0,0.9890909090909091,0.9780840794579626,0.9615384615384616,0.922369397867497,0.9915151515151515,0.9829408055499221,0.9230769230769231,0.8527096238602604,0.9854545454545455,0.9706887582909909,0.9871794871794872,0.9731077923386515
16,32,0.0005,42,0.9897032101756511,0.9790139238016685,0.7564102564102564,0.6081923702116572,0.9957601453664445,0.9913654769157397,0.5769230769230769,0.39080949395602194,0.9933373712901272,0.9864131447924225,0.7692307692307693,0.6247882837241272
16,32,0.0005,21,0.9891022314478464,0.9775895584630887,0.9487179487179487,0.8983596678192863,0.9937727036844837,0.9871807664930382,0.6025641025641025,0.42136803439293213,0.9916969382459782,0.9829043481970392,0.8974358974358975,0.8098265767375833
16,32,0.0005,0,0.973939393939394,0.9478587468733716,0.8076923076923077,0.676260590231173,0.9927272727272727,0.9853458710248927,0.5769230769230769,0.39080949395602194,0.9818181818181818,0.9634417036801276,1.0,1.0
16,32,0.0001,42,0.9660811629315567,0.931704203256851,0.6538461538461539,0.48219009594737383,0.9933373712901272,0.9864205476121173,0.6666666666666666,0.49748905694605594,0.9890975166565718,0.9777713330698001,0.8846153846153846,0.789294644932975
16,32,0.0001,21,0.9797612869745719,0.9587339951530586,0.7051282051282052,0.5439837932759934,0.9906590555267255,0.9807939390087393,0.6666666666666666,0.49748905694605594,0.9865075246497146,0.9722249940682495,0.9102564102564102,0.8309489698388165
16,32,0.0001,0,0.9624242424242424,0.9242771382715322,0.782051282051282,0.6416482767773892,0.9872727272727273,0.9744384956731873,0.8076923076923077,0.676260590231173,0.9848484848484849,0.9694838556250432,0.7948717948717948,0.6587970897341433
16,64,0.001,42,0.9951544518473653,0.9901252053367242,0.8076923076923077,0.676260590231173,0.9939430648092066,0.9876882528895107,0.6794871794871795,0.5128728387747147,0.9794064203513022,0.9587734797959537,0.7948717948717948,0.6587970897341433
16,64,0.001,21,0.9911779968863519,0.9818370757591054,0.8974358974358975,0.8098265767375833,0.9911779968863519,0.9818554519992069,0.8333333333333334,0.712241974147557,0.9922158796056045,0.9839723508477712,0.7948717948717948,0.6587970897341433
16,64,0.001,0,0.9884848484848485,0.9768282272757483,0.9102564102564102,0.8309489698388165,0.9878787878787879,0.9755985780779004,0.9487179487179487,0.8983596678192863,0.9939393939393939,0.9878225210155855,1.0,1.0
16,64,0.0005,42,0.9921259842519685,0.983948082960306,0.7564102564102564,0.6081923702116572,0.9939430648092066,0.9876485022593291,0.5897435897435898,0.4061257273186433,0.9866747425802543,0.9728545386673471,0.8076923076923077,0.676260590231173
16,64,0.0005,21,0.9896211728074727,0.9786316358089726,0.9102564102564102,0.8309489698388165,0.9896211728074727,0.9786520925630818,0.7564102564102564,0.6081923702116572,0.9927348209652309,0.9850424475343789,0.7948717948717948,0.6587970897341433
16,64,0.0005,0,0.9939393939393939,0.9877938541859363,0.9487179487179487,0.8983596678192863,0.9927272727272727,0.9853816632827538,0.9743589743589743,0.947259655968838,0.9903030303030304,0.9804812464931967,0.9358974358974359,0.8751607638285768
16,64,0.0001,42,0.9854633555420957,0.9703526046306682,0.8205128205128205,0.6940659729095142,0.9945487583282859,0.9888961444537695,0.6794871794871795,0.5128728387747147,0.9897032101756511,0.9790031536566834,0.8461538461538461,0.7308191058363557
16,64,0.0001,21,0.9854696419304618,0.9700884551504225,0.8974358974358975,0.8098265767375833,0.98858329008822,0.976492740718567,0.7948717948717948,0.6587970897341433,0.9865075246497146,0.9723003755808898,0.9102564102564102,0.8309489698388165
16,64,0.0001,0,0.9793939393939394,0.9585940438078181,0.7948717948717948,0.6587970897341433,0.9860606060606061,0.9719983250885736,0.8076923076923077,0.676260590231173,0.9812121212121212,0.9621406023437312,0.9358974358974359,0.8751607638285768
32,8,0.001,42,0.9812235009085403,0.9617776421137411,0.782051282051282,0.6416482767773892,0.9933373712901272,0.9864437602585875,0.5769230769230769,0.39080949395602194,0.9890975166565718,0.9777640078182978,0.9102564102564102,0.8309489698388165
32,8,0.001,21,0.9818370524130773,0.962657928590568,0.7692307692307693,0.6247882837241272,0.9906590555267255,0.9807803130897064,0.6794871794871795,0.5128728387747147,0.9901401141670991,0.9796969401421148,0.9102564102564102,0.8309489698388165
32,8,0.001,0,0.9666666666666667,0.9332897209511538,0.7692307692307693,0.6247882837241272,0.9903030303030304,0.9804601667802587,0.6025641025641025,0.42136803439293213,0.9824242424242424,0.9646778133347327,0.9743589743589743,0.947259655968838
32,8,0.0005,42,0.9745608721986675,0.9482802650393521,0.782051282051282,0.6416482767773892,0.9775893397940641,0.9550362209883273,0.717948717948718,0.5597547053237274,0.9848576620230164,0.9691167040892061,0.6282051282051282,0.45175395145262565
32,8,0.0005,21,0.9782044628956927,0.9555103240219975,0.7564102564102564,0.6081923702116572,0.9891022314478464,0.9775834752994349,0.6923076923076923,0.528363767760449,0.9896211728074727,0.9786316358089726,0.9358974358974359,0.8751607638285768
32,8,0.0005,0,0.9593939393939394,0.9184512908286504,0.6794871794871795,0.5128728387747147,0.9672727272727273,0.9341979970371801,0.6538461538461539,0.48219009594737383,0.9818181818181818,0.9634878713638529,0.8974358974358975,0.8098265767375833
32,8,0.0001,42,0.7044215626892792,0.38850472676894676,0.717948717948718,0.5597547053237274,0.9836462749848577,0.9666459793715596,0.6282051282051282,0.45175395145262565,0.7510599636583889,0.5011843124056921,0.44871794871794873,0.0833061012439888
32,8,0.0001,21,0.8453554748313441,0.7010164264672383,0.6538461538461539,0.32524382782582933,0.98287493513233,0.9647345860543195,0.6025641025641025,0.42136803439293213,0.9802802283341983,0.9594437417107416,0.9102564102564102,0.8309489698388165
32,8,0.0001,0,0.7872727272727272,0.5740949007497552,0.6666666666666666,0.3589391134909221,0.9696969696969697,0.9389893876292262,0.7564102564102564,0.6081923702116572,0.7787878787878788,0.553095173835535,0.7692307692307693,0.513591258812158
32,16,0.001,42,0.9836462749848577,0.9666471325131815,0.8461538461538461,0.7308191058363557,0.9939430648092066,0.987655744392398,0.6025641025641025,0.42136803439293213,0.9866747425802543,0.9728255141103788,0.7435897435897436,0.5918367346938775
32,16,0.001,21,0.9906590555267255,0.9807711497395574,0.8589743589743589,0.7498299126863263,0.9916969382459782,0.9829043481970392,0.8076923076923077,0.676260590231173,0.9911779968863519,0.981834645494943,0.8974358974358975,0.8098265767375833
32,16,0.001,0,0.9824242424242424,0.964692647019592,0.7692307692307693,0.6247882837241272,0.990909090909091,0.9817049499115054,0.6025641025641025,0.42136803439293213,0.9860606060606061,0.9719454122280001,0.9230769230769231,0.8527096238602604
