sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
O=C(NCCCCC1=NC(=CS1)C=2C=CC=NC2)NC=3C=CC(F)=C(C3)N4CCC(=O)NC4=O,Z8266446064,482.533,482.533,1.254,-4.078,3,5,116.32,8,https://real.enamine.net/public-enum-files/Z8266446064
COC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)N3CCCCC3C4=NC=C(N4)C=5C=CC=C(C)C5,Z8266927046,487.551,487.551,2.295,-5.872,2,5,107.63,5,https://real.enamine.net/public-enum-files/Z8266927046
O=C(O)C(F)(F)F.O=C(NCCC1CCNCCC1(F)F)C=2C=CC(=CC2)N3CCC(=O)NC3=O,Z9312342809,508.44,394.417,-0.763,-3.953,3,4,90.54,6,https://real.enamine.net/public-enum-files/Z9312342809
CC(NC(=O)C=1C=CC(=CC1)N2CCC(=O)NC2=O)C=3C=CC=C(C3)NC(=O)CC=4C=CC=CC4F,Z8267156980,488.511,488.511,1.509,-5.872,3,4,107.61,7,https://real.enamine.net/public-enum-files/Z8267156980
CC=1C=CC2=C(C1)N(CCN2C3CC3)C(=O)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z8267166051,404.463,404.463,1.442,-5.532,1,4,72.96,3,
O=C(C=1C=CC(=CC1)N2CCC(=O)NC2=O)N3CCC(C3)(C4=NC(=NO4)C=5C=CC=CC5)C(F)(F)F,Z8267167632,499.443,499.443,0.563,-5.778,1,5,108.64,5,https://real.enamine.net/public-enum-files/Z8267167632
O=C(NCC1CCN(C1)C=2C=CC(Cl)=CC2F)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267168921,444.887,444.887,1.336,-5.572,2,4,81.75,5,https://real.enamine.net/public-enum-files/Z8267168921
O=C(O)C(F)(F)F.O=C(NC=1C=CN(CCCN2CCCC2)N1)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9401381154,524.494,410.471,-0.111,-3.828,2,5,99.57,8,https://real.enamine.net/public-enum-files/Z9401381154
O=C(NC(CC1CCCC1)C=2C=CC(=CC2)OC=3C=CC=CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z8267174410,497.586,497.586,4.998,-8.141,2,3,87.74,8,https://real.enamine.net/public-enum-files/Z8267174410
NC(=O)CCN(C(=O)C=1C=CC(=CC1)N2CCC(=O)NC2=O)C3CCOC=4C=CC=CC43,Z8267176269,436.462,436.462,-0.389,-4.671,2,5,122.04,6,https://real.enamine.net/public-enum-files/Z8267176269
CC1=NOC(CN2CCCCC(NC(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)C2=O)=N1,Z8267176533,440.454,440.454,-1.475,-3.427,2,6,137.74,5,https://real.enamine.net/public-enum-files/Z8267176533
O=C(NC=1C=CC(=NC1)N2CCC=3SC=CC3C2)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z8267185472,447.512,447.512,1.345,-5.128,2,5,94.64,4,https://real.enamine.net/public-enum-files/Z8267185472
CCN(CC1=NC=2CCC(C)CC2S1)C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267191652,426.534,426.534,1.43,-4.556,1,4,82.61,5,https://real.enamine.net/public-enum-files/Z8267191652
O=C(NCC=1C=CC=2C(=O)N(CC2C1)C3CCC(=O)NC3=O)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z8267196099,489.481,489.481,-1.337,-4.599,3,6,144.99,5,https://real.enamine.net/public-enum-files/Z8267196099
CC1=CC=C(CN(CC2CCCCC2)C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)O1,Z8267197661,423.506,423.506,2.791,-5.984,1,3,82.86,6,https://real.enamine.net/public-enum-files/Z8267197661
O=C(NCC1=CC(=NO1)C=2C=CC(F)=C(C2)C(F)(F)F)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267198149,476.381,476.381,1.661,-5.917,2,4,104.54,6,https://real.enamine.net/public-enum-files/Z8267198149
"COCCN1C(=O)C[C@H](CNC(=O)C=2C=CC(=CC2)N3CCC(=O)NC3=O)[C@H]1C=4C=NN(C4)C(C)C |&1:8,27,r|",Z8267223622,496.56,496.56,-1.023,-2.68,2,6,125.87,9,https://real.enamine.net/public-enum-files/Z8267223622
COCCC=1C=CC(=CC1)OCC(O)CNC(=O)C=2C=CC(=CC2)N3CCC(=O)NC3=O,Z8267233065,441.478,441.478,-0.39,-3.903,3,6,117.2,10,https://real.enamine.net/public-enum-files/Z8267233065
O=C(CNC(=O)C=1C=CC(=CC1)N2CCC(=O)NC2=O)NC=3C=CC4=CNN=C4C3,Z8267239283,406.396,406.396,-0.398,-4.709,4,5,136.29,5,https://real.enamine.net/public-enum-files/Z8267239283
O=C(O)C(F)(F)F.O=C(CN1CCN(CC1)C(=O)C=2C=CC(=CC2)N3CCC(=O)NC3=O)NC4CCS(=O)(=O)C4,Z9595297155,591.56,477.536,-2.754,-3.201,2,7,136.2,6,https://real.enamine.net/public-enum-files/Z9595297155
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)NC3COC4=CC(CO)=NN4C3,Z8382576550,399.401,399.401,-1.47,-3.587,3,6,125.79,4,https://real.enamine.net/public-enum-files/Z8382576550
