sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
COC=1C=CC=CC1CN2C=NC=3C=C(C=CC32)C(=O)NC=4C=CC=C(C4C)N5CCC(=O)NC5=O,Z9302752144,483.52,483.52,1.556,-5.819,2,5,105.56,6,https://real.enamine.net/public-enum-files/Z9302752144
CC=1C=CC(=CC1C(=O)N(C)CCC2=CN(N=N2)C3=CC=CC4=CC=NC=C34)N5CCC(=O)NC5=O,Z9302752150,483.523,483.523,0.363,-4.828,1,6,113.32,6,https://real.enamine.net/public-enum-files/Z9302752150
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)NC3=CC=C(OC=4C=CC=C(F)C4)C5=CC=NC=C35,Z9302752248,484.48,484.48,3.359,-6.992,2,4,100.63,5,https://real.enamine.net/public-enum-files/Z9302752248
O=C(C=1C=CC=2NC=3CCCCCC3C2C1)N4CCC(CC4)C=5C=CC(=CC5)N6CCC(=O)NC6=O,Z9302752263,484.591,484.591,3.306,-6.791,2,3,85.51,3,https://real.enamine.net/public-enum-files/Z9302752263
CN(CCN1C=C(N=N1)C=2C=CC=3OC=CC(=O)C3C2)C(=O)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9302752349,486.481,486.481,-0.472,-4.628,1,7,126.73,6,https://real.enamine.net/public-enum-files/Z9302752349
CC=1C=CC(=CC1NCC2=CNN=C2C=3C=CC(Br)=CC3Cl)N4CCC(=O)NC4=O,Z9302752523,488.765,488.765,2.542,-6.279,3,4,90.12,5,https://real.enamine.net/public-enum-files/Z9302752523
O=C(O)C(F)(F)F.O=C1CCN(C=2C=CC(=CC2)C3CCN(CC4=CC(=O)N5C(=N4)SC=6CCCCC65)CC3)C(=O)N1,Z9310700242,605.631,491.607,1.811,-5.384,1,5,85.32,5,https://real.enamine.net/public-enum-files/Z9310700242
CC1=NN(CC=2C=CC=CC2Cl)C(C)=C1CN(C)C(=O)C3=CC(=CC=C3C)N4CCC(=O)NC4=O,Z9302752840,493.986,493.986,2.189,-5.161,1,4,87.54,6,https://real.enamine.net/public-enum-files/Z9302752840
CC=1N=CSC1C2=NC=3C=CC=CC3N2CC(=O)NC4=CC(Cl)=CC(=C4)N5CCC(=O)NC5=O,Z9302752913,494.955,494.955,1.907,-5.681,2,5,109.22,5,https://real.enamine.net/public-enum-files/Z9302752913
O=C(O)C(F)(F)F.CN(CCCOC=1C=CC(F)=CC1)C(=O)CN2CCC(CC2)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9310743769,610.598,496.575,3.099,-4.676,1,5,82.19,10,https://real.enamine.net/public-enum-files/Z9310743769
N#CC=1C=CC=CC1OCC2=CC=C(O2)C(=O)N3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9302753129,498.531,498.531,1.5,-5.86,1,5,115.88,6,https://real.enamine.net/public-enum-files/Z9302753129
O=C(NCC1=NC=2C(C#CC=3C=CC(F)=CC3)=CC=CC2N1)C4=CC=C(F)C(=C4)N5CCC(=O)NC5=O,Z9302753164,499.469,499.469,3.049,-6.87,3,4,107.19,6,https://real.enamine.net/public-enum-files/Z9302753164
CC1=NN(C(C)=C1C=2C=CC(=CC2)N3CCC(=O)NC3=O)C4CCOCC4,Z6475627337,368.43,368.43,-0.614,-3.628,1,4,76.46,3,https://real.enamine.net/public-enum-files/Z6475627337
O=C(CN1C=CC=N1)NC=2C=CC=C(C2)CNC(=O)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z7806445289,446.46,446.46,-0.423,-3.993,3,5,125.43,7,https://real.enamine.net/public-enum-files/Z7806445289
COC=1C=CC=2CC(COC2C1)NC(=O)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z7806451067,395.409,395.409,0.61,-4.558,2,5,96.97,4,https://real.enamine.net/public-enum-files/Z7806451067
CO[C@@]1(C[C@]2(C1)COCCN2C(=O)C=3C=CC=C(C3)N4CCC(=O)NC4=O)C(F)(F)F,Z7806452959,441.402,441.402,-1.362,-4.707,1,5,88.18,4,https://real.enamine.net/public-enum-files/Z7806452959
O=C(C=1C=CC=C(C1)N2CCC(=O)NC2=O)N3CCCN(CC3)S(=O)(=O)C4=CC=C(Cl)S4,Z7806554056,496.99,496.99,0.391,-6.28,1,5,107.1,3,https://real.enamine.net/public-enum-files/Z7806554056
O=C(C=1C=CC=C(C1)N2CCC(=O)NC2=O)N3CC4=CC=CC=C4OC5(CCOC5)C3,Z7806554159,421.447,421.447,0.036,-5.129,1,5,88.18,2,https://real.enamine.net/public-enum-files/Z7806554159
O=C(C=1C=CC(F)=C(C1)N2CCC(=O)NC2=O)N(CC3=CC=CS3)C45CC6CC(CC(C6)C5)C4,Z8265661208,481.584,481.584,2.99,-6.896,1,3,69.72,5,https://real.enamine.net/public-enum-files/Z8265661208
COC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N3CCC4(CCC=5C=C(Br)C=CC54)C3,Z8265681240,498.37,498.37,1.937,-5.571,1,4,78.95,3,https://real.enamine.net/public-enum-files/Z8265681240
CN(C(=O)C1=CC=C(F)C(=C1)N2CCC(=O)NC2=O)C=3C=CC4=C(C3)OC=5C=CC=CC54,Z8265768105,431.417,431.417,2.21,-6.85,1,3,82.86,3,https://real.enamine.net/public-enum-files/Z8265768105
O=C(O)C(F)(F)F.O=C(NCC=1C=CN=C(C1)N2CCCC(O)C2)C=3C=CC(F)=C(C3)N4CCC(=O)NC4=O,Z9418101182,555.48,441.457,-0.598,-4.511,3,6,114.87,6,https://real.enamine.net/public-enum-files/Z9418101182
O=C(NC=1C=CC=2NC(=NC2C1)C3CCCO3)C4=CC=C(Br)C(=C4)N5CCC(=O)NC5=O,Z8266180170,498.33,498.33,1.241,-5.352,3,5,116.42,4,https://real.enamine.net/public-enum-files/Z8266180170
O=C(O)C(F)(F)F.O=C(NC1=CC=C(F)C(=C1)N2CCC(=O)NC2=O)[C@H](CC3=CNC=N3)NC(=O)C4CCCCC4,Z9401381153,584.521,470.498,-0.361,-6.204,4,5,136.29,8,https://real.enamine.net/public-enum-files/Z9401381153
O=C(NC=1C=CC(F)=C(C1)N2CCC(=O)NC2=O)C3CCCC=4SC(=NC43)NC=5C=CC=CC5,Z8266312104,479.529,479.529,2.613,-6.223,3,5,103.43,5,https://real.enamine.net/public-enum-files/Z8266312104
NC(=O)C(NC(=O)C=1C=CC(Br)=C(C1)N2CCC(=O)NC2=O)C3=CC=C4CCCCC4=C3,Z8266369913,499.358,499.358,1.668,-6.945,3,4,121.6,5,https://real.enamine.net/public-enum-files/Z8266369913
"CO[C@H]1C=2C=CC=CC2C[C@H]1N(C)C(=O)NC=3C=CC(F)=C(C3)N4CCC(=O)NC4=O |&1:2,10,r|",Z8266431174,426.442,426.442,1.234,-4.303,2,4,90.98,4,https://real.enamine.net/public-enum-files/Z8266431174
O=C(NC=1C=CC(F)=C(C1)N2CCC(=O)NC2=O)N(CC3=NC=CS3)CC=4C=CC(F)=C(F)C4,Z8266546447,489.472,489.472,0.929,-4.947,2,4,94.64,6,https://real.enamine.net/public-enum-files/Z8266546447
O=C(O)C(F)(F)F.O=C(NC=1C=NN(C1)C2CNCCOC2)C=3C=CC=C(C3)N4CCC(=O)NC4=O,Z9314606891,512.44,398.417,-1.822,-3,3,6,117.59,5,https://real.enamine.net/public-enum-files/Z9314606891
O=C(O)C(F)(F)F.CN(C)C=1C=CC=C(C1)C2(N)CCN(C2)C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9402912077,535.517,421.493,-0.203,-4.894,2,5,98.98,5,https://real.enamine.net/public-enum-files/Z9402912077
"O=C(NS(=O)(=O)N1CCC[C@H]2CCCC[C@H]21)C=3C=CC(=CC3)N4CCC(=O)NC4=O |&1:10,15,r|",Z8267161792,434.511,434.511,1.945,-4.571,2,5,115.89,2,https://real.enamine.net/public-enum-files/Z8267161792
O=C(NCCCN1C(=O)NC=2C=CC=CC2C1=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267194260,435.434,435.434,0.292,-4.985,3,5,127.92,6,https://real.enamine.net/public-enum-files/Z8267194260
O=C(NCC(F)(F)C1=NNC=2CCCC12)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267196611,403.384,403.384,-0.123,-4.354,3,4,107.19,5,https://real.enamine.net/public-enum-files/Z8267196611
O=C(NC1C=2C=CC=C(Br)C2CC1(F)F)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267204051,464.261,464.261,2.063,-6.253,2,3,78.51,3,
O=C(O)C(F)(F)F.CCN(CC1=NOC(C)=N1)C2CCCN(CC2)C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9402047411,568.547,454.523,-1.167,-3.709,1,6,111.88,7,https://real.enamine.net/public-enum-files/Z9402047411
O=C(O)C(F)(F)F.CN(C)CC=1C=COC1C2=NC(CNC(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)=NN2,Z9310315212,551.476,437.453,-0.905,-4.042,3,6,136.46,8,https://real.enamine.net/public-enum-files/Z9310315212
O=C(O)C(F)(F)F.CCOCCN(C)CC(CC=1C=CC=CC1)NC(=O)C=2C=CC(=CC2)N3CCC(=O)NC3=O,Z9310316651,566.571,452.547,1.556,-4.778,2,5,90.98,12,https://real.enamine.net/public-enum-files/Z9310316651
"CCCOC=1C=CC2=C(C1)C[C@@H](C)N(C(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O)[C@H]2C |&1:11,30,r|",Z8267210130,435.517,435.517,2.766,-5.25,1,4,78.95,5,https://real.enamine.net/public-enum-files/Z8267210130
NC(=O)C1CCCN(C1)C=2N=CC=CC2CNC(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267216965,450.491,450.491,-1.212,-3.873,3,6,137.73,6,https://real.enamine.net/public-enum-files/Z8267216965
CC=1C=CC(CN(CC(C)C#N)C(=O)C=2C=CC(=CC2)N3CCC(=O)NC3=O)=C(F)C1,Z8267227173,422.453,422.453,1.231,-5.378,1,4,93.51,6,https://real.enamine.net/public-enum-files/Z8267227173
CC(CO)(CN1C=NC=2C=CC=CC21)NC(=O)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z8267233935,421.45,421.45,0.114,-4.218,3,5,116.56,6,https://real.enamine.net/public-enum-files/Z8267233935
O=C(C=1C=CC(=CC1)N2CCC(=O)NC2=O)N3CCCC(C3)NS(=O)(=O)C=4C=CC=C(F)C4,Z8267245969,474.507,474.507,0.566,-4.953,2,5,115.89,4,https://real.enamine.net/public-enum-files/Z8267245969
O=C(NC=1C=CC(=C(F)C1)N2CCC(=O)NC2=O)C=3C=CC=C4CN(C(=O)C34)C5CCC(=O)NC5=O,Z9292775436,493.445,493.445,-0.829,-4.987,3,6,144.99,4,https://real.enamine.net/public-enum-files/Z9292775436
"O=C(N[C@@]12COC[C@H]2CS(=O)(=O)C1)C=3C=C(C=CC3F)N4CCC(=O)NC4=O |&1:3,7,r|",Z9302746839,411.407,411.407,-1.518,-3.432,2,6,121.88,3,https://real.enamine.net/public-enum-files/Z9302746839
"CC=1C=CC(=CC1C(=O)N2C[C@H]3COC[C@]3(C2)C4=NN=C(N)O4)N5CCC(=O)NC5=O |&1:11,15,r|",Z9302746883,426.427,426.427,-3.168,-3.884,2,7,143.89,3,https://real.enamine.net/public-enum-files/Z9302746883
"O=C(O)C(F)(F)F.CC=1C=CC2=C(C1)[C@H]3CN(C)CC[C@H]3N2C(=O)C=4C=CC=C(C4C)N5CCC(=O)NC5=O |&1:14,20,r|",Z9401379598,546.539,432.516,1.188,-5.72,1,4,72.96,3,https://real.enamine.net/public-enum-files/Z9401379598
CO[C@@H]1C[C@@H](C2=NC(=NN2)C3CC3)N(C1)C(=O)C=4C=CC(C)=C(C4)N5CCC(=O)NC5=O,Z9302746975,438.481,438.481,-0.567,-3.746,2,6,120.52,5,https://real.enamine.net/public-enum-files/Z9302746975
"CNC(=O)CN(C[C@@]1(O)CCC[C@H](C)C1)C(=O)C2=CC=CC(=C2C)N3CCC(=O)NC3=O |&1:7,12,r|",Z9302747042,444.525,444.525,0.487,-4.413,3,5,119.05,6,https://real.enamine.net/public-enum-files/Z9302747042
O=C(NC12CC(C1)(CS(=O)(=O)C2)C=3C=CC=CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9302747137,453.513,453.513,-0.767,-4.022,2,5,112.65,4,https://real.enamine.net/public-enum-files/Z9302747137
"CCN1C(=O)CO[C@H](C(=O)NC=2C=C(C)C=C(C2)N3CCC(=O)NC3=O)[C@H]1C4=NC=CN4C |&1:7,26,r|",Z9302747162,454.48,454.48,-0.93,-3.337,2,6,125.87,5,https://real.enamine.net/public-enum-files/Z9302747162
N#CC1(CC(C1)NC=2C=CC(F)=C(C2)N3CCC(=O)NC3=O)C4=CC=C(Br)C=N4,Z9302747197,458.284,458.284,1.115,-4.061,2,5,98.12,4,https://real.enamine.net/public-enum-files/Z9302747197
CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)N3C[C@H](O)C[C@H]3C4=NNC(=N4)C=5C=CC=CC5,Z9302747268,460.486,460.486,0.06,-5.384,3,6,131.52,4,https://real.enamine.net/public-enum-files/Z9302747268
"O=C(O)C(F)(F)F.CN1C=NC=C1[C@@H]2CN(C[C@H]2CNC(=O)C3CC3)C(=O)C=4C=C(C=CC4F)N5CCC(=O)NC5=O |&1:13,17,r|",Z9387735818,596.532,482.509,-2.065,-4.484,2,5,116.64,7,https://real.enamine.net/public-enum-files/Z9387735818
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N3CC(C3)N4C=C(C=N4)C5=CN(N=N5)[C@H](C)[C@H](C)O,Z9302747569,492.532,492.532,-1.33,-3.172,2,7,138.48,6,https://real.enamine.net/public-enum-files/Z9302747569
CC=1C=C(C=C(C1)N2CCC(=O)NC2=O)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)C45CC6CC(CC(C6)C5)C4,Z9302747653,494.584,494.584,0.842,-6.537,3,5,119.05,4,https://real.enamine.net/public-enum-files/Z9302747653
O=C(O)C(F)(F)F.CC1=CC(=CC(=C1)N2CCC(=O)NC2=O)C(=O)NCC34CNCCN4CCOC3,Z9312344238,515.484,401.46,-0.928,-3.551,3,6,103.01,5,https://real.enamine.net/public-enum-files/Z9312344238
CC=1C=C(C=C(C1)N2CCC(=O)NC2=O)C(=O)N=S3(=O)CCOC=4C=CC=CC43,Z9302748026,413.449,413.449,0.377,-5.98,1,6,105.14,2,https://real.enamine.net/public-enum-files/Z9302748026
CC=1C=CC(=CC1C(=O)N2CCC3(C2)CCCC=4C=CC=CC43)N5CCC(=O)NC5=O,Z9302748041,417.501,417.501,1.912,-5.766,1,3,69.72,2,https://real.enamine.net/public-enum-files/Z9302748041
CCCOC=1C=C2CC(C)OC2=CC1CNC=3C=CC(=C(C)C3)N4CCC(=O)NC4=O,Z9302748159,423.506,423.506,2.979,-4.98,2,5,79.9,7,https://real.enamine.net/public-enum-files/Z9302748159
COCCN1N=CC=2CCCC(NC(=O)C=3C=C(C)C=C(C3)N4CCC(=O)NC4=O)C21,Z9302748171,425.482,425.482,-0.078,-3.596,2,5,105.56,6,https://real.enamine.net/public-enum-files/Z9302748171
CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)NC(C)CC3=CSC=4C=CC(O)=CC34,Z9302748285,437.513,437.513,1.619,-5.401,3,4,98.74,5,https://real.enamine.net/public-enum-files/Z9302748285
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N(C)C(C)C3=NC=4C=C(Cl)C=CC4N3,Z9302748355,439.895,439.895,1.488,-5.226,2,4,98.4,4,https://real.enamine.net/public-enum-files/Z9302748355
O=C(O)C(F)(F)F.O=C(NC=1C=CC2=C(C1)OCC3CNCCN23)C=4C=C(Cl)C=C(C4)N5CCC(=O)NC5=O,Z9314605186,569.918,455.895,0.438,-5.676,3,6,103.01,4,https://real.enamine.net/public-enum-files/Z9314605186
CS(=O)(=NC(=O)C=1C=C(Cl)C=C(C1)N2CCC(=O)NC2=O)C=3C=CC=C4C=CC=NC34,Z9302748615,456.904,456.904,0.495,-6.082,1,6,108.8,3,https://real.enamine.net/public-enum-files/Z9302748615
CC(C(=O)NC=1C=CC(=C(F)C1)N2CCC(=O)NC2=O)N3C(S)=NN=C3C4=CC=CS4,Z9302748671,460.508,460.508,1.044,-5.968,3,5,109.22,5,https://real.enamine.net/public-enum-files/Z9302748671
CC1CC=2C=C(Br)C=CC2N1C(=O)C=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9302748701,462.724,462.724,2.473,-6.247,1,3,69.72,2,https://real.enamine.net/public-enum-files/Z9302748701
CC=1C=CC(=CC1C(=O)NCC=2C=CC=C(C2)C(=O)N3CCOC(C)C3)N4CCC(=O)NC4=O,Z9302748746,464.515,464.515,-0.192,-5.213,2,5,108.05,5,https://real.enamine.net/public-enum-files/Z9302748746
O=C(NC=1C=CC(=C(F)C1)N2CCC(=O)NC2=O)C3CCN(C3=O)C4=CC=C5OCCOC5=C4,Z9302748790,468.435,468.435,0.867,-5.129,2,6,117.28,4,https://real.enamine.net/public-enum-files/Z9302748790
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)N3CC=4C=CC(Br)=CC4OCC3C,Z9302748845,472.332,472.332,2.493,-5.872,1,4,78.95,2,https://real.enamine.net/public-enum-files/Z9302748845
O=C(NC(CC1=NN=NN1)C=2C=CC(F)=CC2F)C=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9302748932,475.837,475.837,0.743,-4.99,3,6,132.97,6,https://real.enamine.net/public-enum-files/Z9302748932
O=C(NC(C1=NC=2C=CC=CC2N1)C3CCCCC3)C4=CC(Cl)=CC(=C4)N5CCC(=O)NC5=O,Z9302749044,479.959,479.959,3.268,-7.161,3,4,107.19,5,https://real.enamine.net/public-enum-files/Z9302749044
CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)N3CCC4(CC3)CC(O)C5=NN(C=C5O4)C(C)C,Z9302749061,481.545,481.545,-1.195,-4.035,2,6,117,3,https://real.enamine.net/public-enum-files/Z9302749061
CCN=S1(=O)CCC2(CC1)CN(CCO2)C(=O)C=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9302749098,482.982,482.982,-1.158,-5.025,1,6,108.38,3,https://real.enamine.net/public-enum-files/Z9302749098
O=C(NC1CCC2=NC(=CN2C1)C=3C=CC(F)=CC3F)C4=CC(=CC=C4F)N5CCC(=O)NC5=O,Z9302749118,483.444,483.444,1.034,-5.421,2,4,96.33,4,https://real.enamine.net/public-enum-files/Z9302749118
CC1=CC(=CC(=C1)C(=O)N2CC=3C=C(C=CC3CC2C)OCC=4C=CC=CC4)N5CCC(=O)NC5=O,Z9302749119,483.559,483.559,3.456,-6.509,1,4,78.95,5,https://real.enamine.net/public-enum-files/Z9302749119
CC=1C=C(C=CC1N2CCC(=O)NC2=O)NC(=O)C(C)OC=3C=CC(Cl)=CC3C4CCCCC4,Z9302749131,483.988,483.988,4.229,-7.782,2,4,87.74,6,https://real.enamine.net/public-enum-files/Z9302749131
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)N3CCC3CN4C=C(N=N4)C=5C=NC=6NC=CC6C5,Z9302749137,484.511,484.511,-0.338,-5.365,2,6,129.11,5,https://real.enamine.net/public-enum-files/Z9302749137
CC=1C=CC(=CC1C(=O)NC2(CO)CCC=3C=C(Br)C=CC3C2)N4CCC(=O)NC4=O,Z9302749194,486.359,486.359,1.524,-5.618,3,4,98.74,4,https://real.enamine.net/public-enum-files/Z9302749194
CC(CN1C=C(Br)C=N1)(NC(=O)C=2C=CC=C(C2)N3CCC(=O)NC3=O)C=4N=NNN4,Z9302749270,488.299,488.299,-0.684,-3.251,3,7,150.79,6,https://real.enamine.net/public-enum-files/Z9302749270
COC=1C=CC=C(C1)C2(CCC2)N3C=C(N=N3)C(C)NC(=O)C=4C=CC(=CC4)N5CCC(=O)NC5=O,Z9302749302,488.54,488.54,0.727,-4.529,2,6,118.45,7,https://real.enamine.net/public-enum-files/Z9302749302
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)NCC3=CN(N=N3)[C@H](C)C4=CSC=5C=CC=CC45,Z9302749313,488.564,488.564,1.434,-5.137,2,5,109.22,6,https://real.enamine.net/public-enum-files/Z9302749313
O=C(O)C(F)(F)F.NC(CC1=CC=2C=C(Br)C=CC2O1)C(=O)NC=3C=CC(=C(F)C3)N4CCC(=O)NC4=O,Z9402912150,603.318,489.295,1.472,-6.583,3,4,117.67,6,https://real.enamine.net/public-enum-files/Z9402912150
C[C@@H](CNC(=O)C=1C=CC(=CC1)N2CCC(=O)NC2=O)N3C=C(CN4C=NC=5C(N)=NC=NC54)N=N3,Z9302749357,489.491,489.491,-2.503,-3.633,3,9,178.84,7,https://real.enamine.net/public-enum-files/Z9302749357
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)N[C@H](C)CN3C=C(N=N3)C=4C=CC=5N=CSC5C4,Z9302749394,489.552,489.552,1.056,-5.244,2,6,122.11,6,https://real.enamine.net/public-enum-files/Z9302749394
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C(=O)NC3CCN(C3=O)C4=CC=CC(=C4)OC(F)(F)F,Z9302749409,490.433,490.433,1.865,-6.622,2,5,108.05,6,https://real.enamine.net/public-enum-files/Z9302749409
CC1=CC(=CC(=O)O1)N2C=C(CC3CCCN3C(=O)C=4C=CC(=C(C)C4)N5CCC(=O)NC5=O)N=N2,Z9302749425,490.512,490.512,-0.136,-4.045,1,6,126.73,5,https://real.enamine.net/public-enum-files/Z9302749425
CC1=CC(=CC(=C1)C(=O)N[C@@H]2CCN(C2)C=3N=C(N=C(C)C3C)C(=O)N(C)C)N4CCC(=O)NC4=O,Z9302749560,493.559,493.559,-0.99,-4.566,2,7,127.84,5,https://real.enamine.net/public-enum-files/Z9302749560
COCCN(C(=O)C=1C=CC(Br)=C(C1)N2CCC(=O)NC2=O)C(C)C3=CC=C(C)S3,Z9302749575,494.403,494.403,2.162,-5.475,1,4,78.95,7,https://real.enamine.net/public-enum-files/Z9302749575
CC=1C=C(CN2C=C(N=N2)C3(C)CCN(C3)C(=O)C4=CC(=CC=C4F)N5CCC(=O)NC5=O)N(C)N1,Z9302749581,494.523,494.523,-1.542,-2.614,1,6,118.25,5,https://real.enamine.net/public-enum-files/Z9302749581
CC=1C=CC(=CC1C(=O)NC(CC=2C=CC=CC2)C3=NC(=NO3)C=4C=CC=CC4)N5CCC(=O)NC5=O,Z9302749631,495.53,495.53,1.986,-6.85,2,5,117.43,7,https://real.enamine.net/public-enum-files/Z9302749631
O=C(C=1C=CC(=CC1)N2CCC(=O)NC2=O)N3CCCC3CCC4=CN(N=N4)C=5C=CC=C6NN=CC56,Z9302749747,498.538,498.538,0.8,-4.576,2,6,129.11,6,https://real.enamine.net/public-enum-files/Z9302749747
O=C(C=1C=CC(=CC1)N2CCC(=O)NC2=O)N3CC(F)(F)C[C@H]3CN4C=C(CCN5C=NC=N5)N=N4,Z9302749828,499.475,499.475,-2.313,-3.728,1,7,131.14,7,https://real.enamine.net/public-enum-files/Z9302749828
O=C(C=1C=C(C=CC1F)N2CCC(=O)NC2=O)N3CCC(C3)C4=CN(N=N4)C=5C=CC=C6N=CC=CC56,Z9302749835,499.498,499.498,0.388,-4.908,1,6,113.32,4,https://real.enamine.net/public-enum-files/Z9302749835
CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)N(C)C(C)C=3C=CC=C(C3)C=4C=CC(=CC4)OC(C)C,Z9302749873,499.602,499.602,3.919,-6.998,1,4,78.95,7,https://real.enamine.net/public-enum-files/Z9302749873
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C(=O)NC3CCCC4=C3C=NN4C=5C=CC(=CC5)C(C)(C)C,Z9302749877,499.605,499.605,3.622,-6.426,2,4,96.33,5,https://real.enamine.net/public-enum-files/Z9302749877
CC=1C=CC=C2C=3CCCC(NC(=O)N4CCC(CC4)C=5C=CC(=CC5)N6CCC(=O)NC6=O)C3NC12,Z9302749881,499.605,499.605,3.09,-6.215,3,3,97.54,3,https://real.enamine.net/public-enum-files/Z9302749881
CC1=NN=C2C=CC(=CN12)C=3C=CC(=CC3)N4CCC(=O)NC4=O,Z9302749924,321.334,321.334,0.138,-3.984,1,4,79.6,2,https://real.enamine.net/public-enum-files/Z9302749924
CC=1C=CC(=CC1N2CCC(=O)NC2=O)C=3C=NC=C(C3)N4C=CC=N4,Z9302749999,347.372,347.372,1.175,-3.705,1,4,80.12,3,https://real.enamine.net/public-enum-files/Z9302749999
CC=1C=C(C=CC1N2CCC(=O)NC2=O)C=3C=NN(C3)C=4C=CN=CN4,Z9302750002,348.36,348.36,0.229,-4.263,1,5,93.01,3,
CCC1=CN2N=C(Cl)C=C(NC=3C=CC(=C(C)C3)N4CCC(=O)NC4=O)C2=N1,Z9302750247,398.847,398.847,2.416,-5.171,2,5,91.63,4,https://real.enamine.net/public-enum-files/Z9302750247
O=C(O)C(F)(F)F.CC1=CC(=CC(=C1)N2CCC(=O)NC2=O)C(=O)N3CCN4C(C3)=NC=5CCCCCC54,Z9401520910,535.517,421.493,0.611,-4.937,1,4,87.54,3,https://real.enamine.net/public-enum-files/Z9401520910
O=C(NC1(CC1)C=2N=CC=3CCCC3N2)C=4C=C(Cl)C=C(C4)N5CCC(=O)NC5=O,Z9302750613,425.869,425.869,0.318,-4.452,2,5,104.29,4,https://real.enamine.net/public-enum-files/Z9302750613
CC=1C(=CC=CC1N2CCC(=O)NC2=O)C(=O)NC(C)(C)C3=CN(N=N3)C=4C=CC=CC4,Z9302750756,432.476,432.476,0.914,-4.489,2,5,109.22,5,https://real.enamine.net/public-enum-files/Z9302750756
O=C(CC=1C=C(F)C=C2COCOC12)NC=3C=C(Cl)C=C(C3)N4CCC(=O)NC4=O,Z9302750777,433.818,433.818,0.593,-4.779,2,5,96.97,4,https://real.enamine.net/public-enum-files/Z9302750777
O=C(NCCCC1=NC(=NO1)C=2C=NC=CN2)C=3C=C(C=CC3F)N4CCC(=O)NC4=O,Z9302750867,439.401,439.401,-2.005,-2.59,2,7,143.21,7,https://real.enamine.net/public-enum-files/Z9302750867
CC=1C=CC(=CC1C(=O)N2CCCC2(C)C3=CN(N=N3)C4=CC=CN=C4Cl)N5CCC(=O)NC5=O,Z9302749565,493.946,493.946,1.618,-5.215,1,6,113.32,4,https://real.enamine.net/public-enum-files/Z9302749565
O=C(O)C(F)(F)F.COC1CCN(CC2=CN(C)N=C2C(=O)N3CCC(CC3)C=4C=CC(=CC4)N5CCC(=O)NC5=O)C1,Z9310315220,608.611,494.587,-0.747,-2.983,1,6,100.01,7,https://real.enamine.net/public-enum-files/Z9310315220
CCN1CCCC(C1=O)N2C=C(N=N2)C3(O)CN(C3)C(=O)C4=CC(=CC=C4C)N5CCC(=O)NC5=O,Z9302749634,495.532,495.532,-1.174,-3.593,2,7,140.97,5,https://real.enamine.net/public-enum-files/Z9302749634
CC1=NC=2C=C(C=CC2N1C3CCS(=O)(=O)C3)C(=O)NC4=CC(=CC=C4C)N5CCC(=O)NC5=O,Z9302749640,495.553,495.553,-1.286,-4.064,2,6,130.47,4,https://real.enamine.net/public-enum-files/Z9302749640
CC1=CC(=CC(=C1)NC(=O)C2CCCN(C2)C3=NS(=O)(=O)C=4C=CC=CC34)N5CCC(=O)NC5=O,Z9302749646,495.553,495.553,1.405,-5.434,2,7,128.25,3,https://real.enamine.net/public-enum-files/Z9302749646
